Match ID,Year,Home Goals,Away Goals,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18
1900,2017,4,3,4263,5824,563,915,4819,1687,2078,900,5520,6447,4285,4067,2784,3379,3555,1423,1574,2150,2791,6002,5040,4185,1897,3264,4304,5523,3522,597,4154,1264,3170,749,5738,2098,5020,1605
1901,2017,3,3,2234,365,1484,3192,4076,4705,3872,270,3247,2469,307,441,3352,6541,723,1515,3694,4725,4985,79,1141,6284,4921,627,2066,282,5789,4719,3117,5794,4213,2304,1079,5659,6442,6698
1902,2017,2,3,754,3210,1302,4698,3279,3211,2364,4842,3852,5450,1857,566,14,1310,5541,3328,2228,6214,1883,5269,6491,2945,6060,3429,2882,3039,935,183,747,4315,5479,6323,3329,2584,1877,5118
1903,2017,0,3,3577,5448,5881,5672,3935,2583,4205,4969,1028,4626,4253,5418,1703,5817,767,6370,2697,1430,6202,2014,2921,3299,3436,709,6417,6185,5968,5831,110,6170,4557,4733,4935,5217,2851,3746
1904,2017,1,0,5459,1272,4043,3243,3304,407,1602,4908,62,3887,3262,4458,2331,3306,2822,5926,1151,5107,5705,4400,6290,4841,4525,4918,2606,4748,1994,4567,4353,2288,1709,1959,6033,6017,2314,3584
1905,2017,0,0,4963,5421,2093,5591,2241,4909,5330,6036,6517,4389,3378,5201,1749,540,3114,2878,5218,5725,498,6304,6007,2445,3983,2101,2433,4836,5654,6233,4930,2381,1871,3955,5888,6689,4036,5890
1906,2017,1,0,5711,5449,33,5424,5457,4984,444,4033,3505,2167,2269,1257,1363,2765,340,6045,6203,3006,5033,1210,1297,3664,1053,2387,2350,854,3359,632,6124,3372,2575,4362,5808,949,5458,3366
1907,2017,0,2,2367,2378,3228,2948,2347,5140,3349,1623,4466,814,2590,3527,3272,1976,2052,5923,1604,3360,5684,5288,4070,2926,820,1640,823,2077,1547,1728,2982,2230,2549,2687,731,5008,2321,1860
1908,2017,0,2,2696,2168,4581,845,2664,3666,3119,2173,3612,4824,4222,3906,1629,524,4201,6401,5782,3148,2125,486,1783,1339,3230,5423,1311,1312,3750,3662,3363,2293,86,6424,2044,4150,2587,4768
1909,2017,4,0,1791,1186,1903,5997,2835,492,1216,2670,2701,886,4130,4146,975,5929,4976,3147,6712,1354,546,123,3580,5367,5493,4424,6559,2816,5119,1812,6141,5865,318,2827,5852,5853,1513,6530
2010,2017,0,4,498,1871,3983,2445,5654,4836,6689,6304,6007,4930,6233,4322,2381,2433,3955,5888,4036,5890,1791,1903,5997,2835,1186,2670,2701,886,492,1216,4130,2841,975,4976,3147,5929,6712,1354
2011,2017,0,2,5033,3664,2575,1210,1053,854,2350,3359,5808,632,6124,1954,3372,4362,2387,949,5458,3366,2234,3352,1484,4076,441,270,4705,3872,1515,3694,2469,3434,723,585,6541,4685,3247,4725
2012,2017,0,1,1883,6060,5269,6491,2945,2882,935,3429,3039,183,747,5479,4315,6323,3329,2584,1877,5118,5711,5449,33,5424,5457,4033,3505,3204,2167,4984,2269,1257,2765,340,1363,6203,6045,3006
2013,2017,2,0,2791,6002,1897,4185,5040,3522,4304,3264,5523,4154,597,1264,3170,5738,749,5146,5020,1605,2367,2378,2948,2347,3228,5140,1623,1604,4466,5923,814,3527,3272,1503,2180,1976,2590,3360
2014,2017,1,0,4985,1141,3141,2304,4213,5794,627,2066,5789,4719,3954,6614,79,282,3117,5659,6442,6698,3577,5448,5418,5672,1028,3935,2583,4969,4205,4253,767,1703,728,4374,1693,1360,6370,1430
2015,2017,3,2,4963,5421,2093,5591,2241,4389,4909,5330,3114,6517,3378,5201,1749,6036,540,2878,5218,3219,546,5853,5493,5865,5367,4424,6559,4794,5852,1812,6141,3580,318,2816,1513,5119,6530,
2016,2017,1,0,5705,4400,4841,6290,2606,4918,4748,4525,3133,4567,2314,5973,2288,6033,1994,6017,4353,3584,4263,563,4067,915,2784,4819,1687,2078,5520,6447,4285,2997,3379,3555,900,1423,1574,2150
2017,2017,1,0,6202,2014,2921,3299,3436,5831,5968,6417,4935,709,110,4557,6170,6185,4733,295,5217,3746,2696,2664,1629,2168,3906,2173,3612,4201,3666,3119,4222,524,1366,5102,6401,5782,751,3148
2018,2017,1,2,2125,1783,107,1339,486,6424,1311,1312,3750,3662,3363,2293,3230,2044,4150,5423,2587,4768,754,4842,3210,566,326,4698,4338,3279,3211,3852,2228,14,1310,5541,3328,2483,5450,6214
2019,2017,1,1,5684,2926,5288,4070,731,2077,1547,820,1640,1728,2982,2230,823,2687,5008,2321,2549,1860,5459,3243,1272,4043,2822,2331,3304,407,1602,4908,62,4458,1906,3306,3262,1151,5926,5107
2120,2017,1,2,5033,1210,3372,1053,3664,2575,2350,3359,4362,949,6124,1954,2092,854,5808,5458,632,3366,5684,823,3565,2926,5288,2077,1547,1640,2549,2687,1728,2230,4070,5008,731,3965,2982,1860
2121,2017,0,2,3577,5448,5418,5672,4205,2583,3935,1360,4969,767,4253,728,1703,5817,4374,6370,685,1430,498,3983,2445,4322,6007,6304,4836,5654,2455,4930,6233,2381,3955,2433,6689,5888,4036,5890
2122,2017,0,0,6202,3436,2921,2014,3299,6417,4935,5831,5968,709,110,4557,6170,6185,4733,5217,295,3746,4963,5591,2241,5421,2093,3114,6517,4389,4909,5330,3378,5201,505,6036,540,5218,2878,3219
2123,2017,3,0,2696,2168,3906,2664,1629,3666,3119,2173,3612,4201,751,122,5102,524,1366,6401,5782,1594,546,5367,5493,5865,2827,6559,4794,5119,5852,1812,6141,5853,3580,2978,2816,2419,1513,6530
2124,2017,0,0,2234,3434,3352,1484,441,3872,4705,270,3694,1515,2469,4946,723,6541,4685,5636,1060,4725,2367,2378,2347,2948,3228,4466,5140,1976,1623,2590,814,3272,3527,2180,2052,1604,6278,3360
2125,2017,2,0,1791,1186,1903,5997,2835,492,1216,2670,6712,886,4130,975,4146,5929,4976,3147,2701,1354,2791,1897,4185,5040,6002,5523,3264,3522,4304,597,4154,1264,3170,5738,749,5020,2098,1605
2126,2017,2,0,754,4698,4842,3210,2364,4338,3279,3211,3852,2483,2228,14,566,1310,326,5541,5450,6214,5459,4043,3243,1272,1602,2822,2331,3304,3887,62,1906,4458,221,3306,966,4908,1151,5107
2127,2017,1,1,5711,5424,5449,5457,33,2269,2167,3204,5134,4984,6045,1257,3673,1363,3505,4033,444,3006,5705,5973,4841,6290,2606,4918,4525,4400,4567,3133,2314,2288,1959,6033,1994,4353,6017,3584
2128,2017,4,0,6698,1141,6284,4213,79,282,627,2066,5789,4719,3117,4921,5794,2304,1079,6442,3954,6078,4263,563,1168,5824,2784,4819,1687,2078,5520,6447,1899,4067,915,3379,1574,4285,1423,2150
2129,2017,1,1,2125,1339,486,1783,107,1311,2044,1312,3750,3662,3363,3230,5569,4150,5423,2587,537,4768,1883,6060,2945,5269,6491,3429,3039,935,2882,183,6323,534,5479,4315,3329,2584,5961,5118
2220,2017,5,0,5684,5288,4070,823,2077,1547,820,1640,3565,1728,2982,2230,2687,731,2321,3965,3034,1860,4985,6284,4921,2304,1141,282,627,2066,5789,4719,3117,5794,4213,79,4819,6442,3954,6698
2221,2017,3,0,4263,1168,4067,563,2784,1687,2078,915,6447,4285,5520,2997,3379,3555,1574,1423,1899,2150,5033,3372,3664,1053,3359,2575,854,1210,4362,6124,949,1297,2387,5808,2350,2092,5458,3366
2222,2017,3,1,2367,2347,2378,3228,2948,4466,1976,5140,1623,2590,814,3272,3527,2180,1604,5923,6278,3360,5711,5449,33,5424,2505,2269,2167,4984,1938,3204,6045,2940,444,4033,3673,5134,5457,3006
2223,2017,0,3,5459,3304,1272,4458,4043,62,407,1906,1602,3262,3887,3243,2331,2822,1115,4908,5926,5107,2125,5569,486,1783,1311,1312,1339,5423,107,3363,3750,6103,3230,2044,4150,3662,2502,4768
2224,2017,1,2,2791,4185,6002,1897,5040,4304,5523,3264,3522,5020,4154,1264,3170,5738,749,5146,2098,1605,754,4842,3210,4698,4338,3279,3211,326,2483,2228,2364,5916,566,6014,3852,6472,5450,6214
2225,2017,0,2,4963,2093,505,5591,2241,4909,5330,6036,540,6517,3378,5421,5201,4389,3114,2878,5218,3219,2234,365,4076,3434,441,3872,4705,5636,270,3694,1515,3192,3432,6541,723,1060,4685,6721
2226,2017,2,2,5705,4841,4400,2293,4748,4525,4918,2606,2314,3133,4567,5973,1709,1959,6033,1994,6017,3584,1791,1903,5997,2835,4146,5929,1216,2670,492,4130,2701,975,1186,4976,6206,886,6712,1354
2227,2017,1,0,1883,6060,2945,6491,5269,2882,3039,935,3429,183,5961,4315,534,6323,3329,2584,1877,5118,3577,2583,5448,5672,1703,4205,1360,4374,5817,767,4253,4969,5881,728,3935,5238,1693,1430
2228,2017,0,1,498,6007,2445,3983,6304,2455,401,4836,5654,6233,4930,4322,2381,6689,3955,2433,2396,5890,2696,122,2168,3906,2664,2173,3612,4201,3666,524,751,6194,4581,1366,4824,3119,4222,1594
2229,2017,2,0,546,123,2827,5853,2978,5865,2816,5367,4794,4923,6141,3580,318,5852,5493,6559,1513,6530,6202,2921,3436,3299,2014,4935,5831,709,5968,6417,110,4557,6170,6701,4733,830,2851,3746
2230,2017,2,1,5033,1053,1297,2575,1210,854,3359,2387,2350,949,6124,3372,2092,4362,5808,632,5458,3366,2367,2948,3272,2378,2347,1623,1976,4466,5140,814,2590,4608,3527,1606,1604,6278,5923,3360
2231,2017,0,1,3577,1703,5672,5448,2583,767,4205,4374,1360,1028,4253,5418,4969,728,4220,3935,5817,1430,4963,2241,5421,505,5591,4389,4909,5330,3114,6517,5218,2093,1573,5213,6036,540,3378,3219
2232,2017,1,1,6202,2921,3299,3436,2014,6417,4733,5968,830,5831,2851,4557,6170,709,4935,3515,5217,3746,2791,4185,3170,6002,5040,3522,5738,5523,4304,4154,2098,2736,1264,749,6209,597,5020,1605
2233,2017,1,1,4985,3141,2304,4921,1141,4880,282,5794,5789,3117,3954,6284,79,4819,627,2066,6442,6698,5118,5269,6491,6060,2945,935,2882,3039,3429,6323,5961,534,4315,3329,2584,183,1877,3982
2234,2017,2,1,2696,3906,1629,6194,2168,3119,2173,3612,4201,3666,751,4581,2664,524,1366,4824,4222,1594,5705,4841,2293,5973,4748,2606,4525,4918,4567,3133,2314,2288,1709,1959,6033,1994,6017,3584
2235,2017,0,6,2234,3432,3192,4076,3434,270,3872,5636,3694,4705,1515,3886,355,307,723,1060,4685,6721,5684,5288,820,4070,3565,2077,1547,1640,2549,1728,2982,2230,823,2687,731,3965,3034,1860
2236,2017,0,0,5711,2940,5449,5424,2505,4984,3204,1938,5134,5457,2269,33,5669,444,4033,6203,6045,3006,546,123,2827,5853,2978,5865,2816,5367,6141,4794,4923,3580,5852,5493,6559,1513,4424,6530
2237,2017,0,0,2125,5569,486,1783,1311,2044,1312,5423,107,3363,3750,6103,1339,4504,4150,3662,2502,4768,498,3983,2445,4322,401,2455,6007,5654,6304,6233,4930,2381,2433,3955,6689,4836,2396,5890
2238,2017,0,0,754,1302,4698,4842,3279,3211,2364,4338,2483,2228,3852,3210,5916,566,326,6014,5450,6214,4263,1168,4067,563,1687,2078,915,2784,6447,4285,3555,2997,900,5943,1423,1899,1574,2150
2239,2017,4,0,1791,1903,2835,1921,5997,3147,886,492,1216,2701,4130,4146,975,5929,4976,6206,6712,1354,5459,1272,4043,3243,407,4458,1602,3304,62,1906,2822,2331,3306,3262,5926,3887,4908,5107
2240,2017,2,3,546,5853,5493,123,5367,2978,5865,1812,4424,6141,4794,3580,318,5852,4923,6559,1513,6530,2125,486,1783,5569,5423,6103,1311,1312,1339,3363,3750,107,3230,2044,4150,1111,2502,4768
2241,2017,0,0,5118,2945,6491,5269,6060,3039,747,6323,2882,3429,5961,534,4315,935,3329,2584,183,3982,6202,3436,2014,2921,3299,6417,5968,5831,3515,830,2851,4557,6170,6701,709,4935,1798,827
2242,2017,2,1,5459,4458,2331,3304,1272,1602,3262,407,4908,62,1906,221,2822,1115,3887,4001,1151,5107,5033,2575,1210,1297,1053,5808,4362,1152,2350,949,6124,3664,2092,2387,854,5458,632,6593
2243,2017,5,0,5684,5288,820,4070,3565,1640,2077,1547,2549,731,2982,2230,823,2687,5008,3965,1728,1860,3577,2636,4969,5448,5672,4374,767,3935,1028,1703,4253,5881,2583,5418,1360,4220,4205,1430
2244,2017,0,1,4963,2241,5421,505,5591,4389,4909,5330,6517,3114,5218,1573,310,6036,2577,3378,2878,3219,1791,1903,2835,1921,5997,2701,3147,886,492,1216,4130,975,1186,4976,6206,5929,6712,1354
2245,2017,0,4,5705,2288,4525,5973,6033,2606,4918,4748,3133,2314,4567,1709,2974,1959,4865,1994,6017,3584,754,3210,566,4842,3279,3211,326,4338,2483,2228,3852,5916,1302,2364,5541,6014,5450,6214
2246,2017,1,2,498,4322,3983,2445,2455,6007,4836,6304,5654,2396,4930,2381,401,3955,2433,6689,6233,5890,2234,4076,3434,3432,441,5636,3694,270,4705,723,1515,355,3192,307,6541,4685,1060,6721
2247,2017,2,3,2791,3170,4185,5040,6002,5738,3522,4304,5523,597,4154,1897,1264,749,6209,5020,2098,1605,4985,4213,79,1141,6284,282,627,2066,3117,4880,5789,4921,5794,2304,4819,6442,3954,6698
2248,2017,1,0,2367,2378,3228,2347,2948,4466,1623,1976,5140,814,2590,3527,1606,3272,6278,1604,3349,6053,2696,2168,3906,1629,6194,2173,3612,4201,3666,3119,751,122,2664,1366,4824,524,4222,3148
2249,2017,2,0,4263,563,1168,4067,1687,2078,915,900,2784,4285,1899,2997,344,5943,5520,1574,1423,2150,5711,5424,5449,2505,3204,2167,1938,2940,33,2269,6203,4984,5134,5457,4033,444,6045,3006
