Match ID,Average Assists per Min Home,Average Assists per Min Away,Average Blocks per Min Home,Average Blocks per Min Away,Average Clearances per Min Home,Average Clearances per Min Away,Average Crosses per Min Home,Average Crosses per Min Away,Average Errors Leading To Goal per Min Home,Average Errors Leading To Goal per Min Away,Average Goals Conceded per Min Home,Average Goals Conceded per Min Away,Average Goals From Freekick per Min Home,Average Goals From Freekick per Min Away,Average Goals From Header per Min Home,Average Goals From Header per Min Away,Average Goals From Penalty per Min Home,Average Goals From Penalty per Min Away,Average Goals per Min Home,Average Goals per Min Away,Average Interceptions per Min Home,Average Interceptions per Min Away,Average Last Man Tackles per Min Home,Average Last Man Tackles per Min Away,Average Offsides per Min Home,Average Offsides per Min Away,Average Own Goals per Min Home,Average Own Goals per Min Away,Average Passes per Min Home,Average Passes per Min Away,Average Penalties Conceded per Min Home,Average Penalties Conceded per Min Away,Average Penalties Saved per Min Home,Average Penalties Saved per Min Away,Average Saves per Min Home,Average Saves per Min Away,Average Shots On Target per Min Home,Average Shots On Target per Min Away,Average Shots per Min Home,Average Shots per Min Away,Average Tackles per Min Home,Average Tackles per Min Away,Average Through Balls per Min Home,Average Through Balls per Min Away,Average Touches per Min Home,Average Touches per Min Away,Result,Home Goal Difference
1900,0.000512556,0.000528824,0.000193819,0.001635118,0.004159055,0.010477145,0.007323551,0.010239834,7.408816743568333e-05,2.0830729492144445e-05,0.000738384,0.000979044,0,1.87184836626e-05,0.000188775,0.000150814,0,7.750743134043333e-05,0.000567916,0.000580683,0.00366574,0.004668687,7.48739346504e-05,3.648427403838889e-05,0.00105645,0.000969603,1.7932716447883334e-05,0,0.19247764142049525,0.065564066,0.000128359,5.601742068826111e-05,0,0,0.002137136,0.002353872,0.001493074,0.001326037,0.00409372,0.003829487,0.005404362,0.005886087,0.001266862,0.000232522,0.2226625256356986,0.14265560470168573,1,1
1901,0.000188702,0.000572205,0.001450254,0.000467962,0.011087279038315705,0.006905095,0.006688554,0.006858073,9.455252283641111e-05,0.000130941,0.00113973,0.000786176,0,0,5.7485886688444445e-05,0.000166546,3.74369673252e-05,0.000123105,0.00024334,0.000902301,0.003889898,0.002364874,0,3.74369673252e-05,0.000954643,0.000830734,1.6638381418255553e-05,0,0.022115274435659443,0.20342823243472366,7.41242681067e-05,7.374188832732222e-05,1.6638381418255553e-05,3.74369673252e-05,0.002025725,0.001366449,0.000580273,0.002423239,0.000879769,0.006184955,0.001184065,0.00558604,0,0.00044375,0.041977006,0.26671434163471186,0,0
1902,0.000351465,0.000112311,0.000583372,0.001997975,0.009529004,0.011191693611962995,0.00567867,0.007810764,7.114786268657777e-05,3.561560550747777e-05,0.00072345,0.000846561,5.813460821453888e-05,0,7.118830130322222e-05,9.54882409789889e-05,0,9.3592418313e-05,0.000561797,0.00037437,0.00403889,0.005563248,0,3.6852773171177776e-05,7.48739346504e-05,0.001130692,1.685544768068889e-05,7.428974049637778e-05,0.1512154903319139,0.084381831,3.4002224086722225e-05,7.271803323981111e-05,1.87184836626e-05,1.763668430335e-05,0.001746254,0.002486772,0.000779283,0.001010798,0.001772223,0.002732899,0.003412691,0.0049055,0.000780683,0.000180898,0.16882563339362372,0.13713326848886387,-1,-1
1903,0.000240163,0,0.00094625,0,0.007625091,0,0.009055058,0,4.000413713216111e-05,0,0.00097914,0,0,0,0.000161405,0,7.285651182985555e-05,0,0.000543953,0,0.003542126,0,1.87184836626e-05,0,0.000860056,0,0,0,0.021097458,0,3.74369673252e-05,0,0,0,0.001766709,0,0.00152565,0,0.004444098,0,0.004265324,0,7.346189164370556e-05,0,0.10168378378873662,0,-1,-3
1904,0.000321139,0.000107675,0.001868825,0.001384958,0.016044516622351915,0.007177285,0.006567086,0.005964981,0.000138731,0.000162125,0.001513526,0.000786176,1.87184836626e-05,3.74369673252e-05,7.379213529115e-05,7.507764293451112e-05,5.810561982392778e-05,5.61554509878e-05,0.000168466,0.000319436,0.005443502,0.004634031,7.472254159824444e-05,1.892219194671111e-05,0.000205903,0.000280777,1.87184836626e-05,3.52733686067e-05,0.13767706536835334,0.06876774,9.138414148353334e-05,1.763668430335e-05,3.74369673252e-05,0,0.00365974,0.002021596,0.000804895,0.000845999,0.002133907,0.003115417,0.004987058,0.006143397,0.000168466,0.000738211,0.1891263351922257,0.077647992,1,1
1905,0.000362532,0.000112311,0.001271124,0.001206807,0.00682784,0.009014365,0.013342460513730378,0.004254056,3.2488628979855556e-05,0.000108241,0.000779727,0.00116987,0,0,5.61554509878e-05,0.000112311,5.61554509878e-05,0,0.000395835,0.000187185,0.003368423,0.001794399,1.87184836626e-05,0,0.000997574,0.000280777,0,5.7876833239677776e-05,0.16421125282470492,0.095427028,0.000114997,9.327866691896111e-05,1.6244314489927778e-05,1.6683350016683334e-05,0.001234568,0.002026826,0.002051304,0.000205903,0.005011692,0.000673865,0.004804164,0.002562507,0.000696861,9.3592418313e-05,0.23363627673570286,0.077867926,0,0
1906,0.000318214,0.000368949,0.001295121,0.001873611,0.002491357,0.013952584679992294,0.010313141555713116,0.006096885,3.543448912051667e-05,0.000126982,0.00082846,0.001204704,1.87184836626e-05,0,0.000165513,5.3681281815127776e-05,1.87184836626e-05,0.000124482,0.000445935,0.000818858,0.002944123,0.005814789,0,1.815541031227222e-05,0.000762418,0.000966267,0,9.032669531172222e-05,0.048120638,0.17681778845679888,1.8667861409794443e-05,9.180216491601112e-05,0,3.52733686067e-05,0.00188434,0.0020293,0.001285121,0.001919913,0.004909946,0.004748041,0.005246799,0.0072807,0.000414434,0.000373077,0.07118092,0.21565799396854263,1,1
1907,0,0.000889681,0,0.000583561,0,0.008116128,0,0.011354648234874955,0,7.48739346504e-05,0,0.000486681,0,1.9270050487527777e-05,0,0.000135199,0,0.000131029,0,0.001019574,0,0.003029684,0,0,0,0.001223535,0,0,0,0.25320381039391554,0,5.906383991209444e-05,0,1.87184836626e-05,0,0.00061771,0,0.003158081,0,0.007765091,0,0.005534255,0,0.00190281,0,0.3616834095886281,-1,-2
1908,0,0.000634518,0,0.001326846,0,0.01185771,0,0.005462414,0,0.000133341,0,0.000481142,0,0,0,0.000165743,0,0.000130568,0,0.001347693,0,0.001542486,0,0,9.3592418313e-05,0.001080594,0,1.87184836626e-05,0,0.2309754590961461,0,1.87184836626e-05,0,0,0,0.00157307,0,0.003798424,0,0.00834501,0,0.004681754,0,0.000606769,0,0.29847547793491136,-1,-2
1909,0.000668364,0.00015813,0.001140034,0.001527891,0.010613380236694222,0.013399788373454704,0.008629221,0.004059126,5.507365162855e-05,0.000112521,0.000511464,0.000467962,1.7005067510116665e-05,1.87184836626e-05,0.000182071,9.633224116085e-05,1.7005067510116665e-05,1.87184836626e-05,0.000887288,0.00023468,0.006027786,0.004676708,5.61554509878e-05,1.87184836626e-05,0.001454514,0.001027005,1.87184836626e-05,0,0.14953880987622664,0.057752143,9.617591147384443e-05,0.000113152,1.87184836626e-05,0,0.001492299,0.00099208,0.003208013,0.000630842,0.008210464,0.001860119,0.00717739,0.003005045,0.001775343,0.000236356,0.1959970816795879,0.072693202,1,4
2010,0.000112311,0.000668364,0.001206807,0.001140034,0.009014365,0.009284368,0.004254056,0.008629221,0.000108241,5.507365162855e-05,0.00116987,0.000511464,0,1.7005067510116665e-05,0.000131029,0.000182071,0,1.7005067510116665e-05,0.000187185,0.000887288,0.001794399,0.005279047,0,5.61554509878e-05,0.000280777,0.001454514,5.7876833239677776e-05,1.87184836626e-05,0.095427028,0.1495388098762266,0.000111997,9.617591147384443e-05,1.6683350016683334e-05,1.87184836626e-05,0.002026826,0.001492299,0.000205903,0.003208013,0.000673865,0.008210464,0.002562507,0.00717739,9.3592418313e-05,0.001775343,0.077867926,0.1959970816795879,-1,-4
2011,0.000368949,0.000264262,0.001514578,0.001169476,0.009795366,0.008541565,0.00484972,0.006688554,7.029279480853889e-05,7.58340391738111e-05,0.001204704,0.00113973,0,0,5.3681281815127776e-05,0.000113984,0.000124482,9.410703419587779e-05,0.000818858,0.000432241,0.004832174,0.00301013,1.815541031227222e-05,0,0.000966267,0.001219961,9.032669531172222e-05,3.5528403708477776e-05,0.14554416789746402,0.022115274435659443,5.400926998026111e-05,7.412426810669999e-05,3.52733686067e-05,1.6638381418255553e-05,0.0020293,0.002025725,0.001919913,0.000920293,0.004748041,0.00167315,0.00610912,0.001184065,0.000373077,9.445011145112778e-05,0.17172375360573083,0.041977006,-1,-2
2012,0.000112311,0.000318214,0.001997975,0.001369995,0.011191693611962995,0.002491357,0.007810764,0.010313141555713116,3.561560550747777e-05,3.543448912051667e-05,0.000846561,0.00082846,0,1.87184836626e-05,9.54882409789889e-05,0.000184232,9.3592418313e-05,1.87184836626e-05,0.00037437,0.000445935,0.005563248,0.001933325,3.6852773171177776e-05,0,0.001130692,0.000762418,7.428974049637778e-05,0,0.084381831,0.073858553,7.271803323981111e-05,1.8667861409794443e-05,1.763668430335e-05,0,0.002486772,0.00188434,0.001010798,0.001285121,0.002732899,0.004909946,0.0049055,0.004797556,0.000180898,0.000508027,0.13713326848886387,0.10360133373237296,-1,-1
2013,0.000472668,0,0.001635118,0,0.010477145,0,0.010239833629098562,0,2.0830729492144445e-05,0,0.000979044,0,1.87184836626e-05,0,0.000169533,0,7.750743134043333e-05,0,0.000505809,0,0.004668687,0,3.648427403838889e-05,0,0.000857292,0,0,0,0.065564066,0,5.601742068826111e-05,0,0,0,0.002353872,0,0.001326037,0,0.003829487,0,0.005886087,0,0.000232522,0,0.14265560470168573,0,1,2
2014,0.000572205,0.000187185,0.000467962,0.001264464,0.006905095,0.010095930422060518,0.006858073,0.009166998,0.000130941,9.615958811996111e-05,0.000786176,0.00097914,0,0,0.000185265,0.000217561,0.000123105,7.285651182985555e-05,0.000902301,0.000583861,0.002364874,0.004889857,3.74369673252e-05,1.87184836626e-05,0.000961763,0.000749863,0,0,0.20342823243472366,0.021097458,5.502340466472222e-05,3.74369673252e-05,3.74369673252e-05,0,0.001366449,0.001766709,0.002816328,0.001400975,0.006933694,0.004292929,0.00558604,0.005134131,0.00044375,0.000131029,0.2667143416347118,0.069911516,1,1
2015,0.000362532,0.000304065,0.001271124,0.000697417,0.00682784,0.005412344,0.013342460513730378,0.008458181,3.2488628979855556e-05,0.000148433,0.000779727,0.000467962,0,1.87184836626e-05,5.61554509878e-05,0.000168466,5.61554509878e-05,1.87184836626e-05,0.000395835,0.000403146,0.003368423,0.002205824,1.87184836626e-05,1.87184836626e-05,0.000997574,0.001401374,0,0,0.16421125282470492,0.084111404,0.000114997,0.00013187,1.6244314489927778e-05,0,0.001234568,0.00099208,0.002051304,0.001258882,0.005011692,0.004109458,0.004804164,0.004315826,0.000696861,0.000292512,0.23363627673570284,0.11056219587473776,1,1
2016,5.1519835136522226e-05,0.000512556,0.001738028,0.000193819,0.010884519,0.004159055,0.00437391,0.007323551,0.000124688,7.408816743568333e-05,0.000786176,0.000738384,3.74369673252e-05,0,7.507764293451112e-05,0.000188775,3.74369673252e-05,0,0.000319436,0.000567916,0.005657934,0.00366574,3.657568910449444e-05,7.48739346504e-05,0.000280777,0.00105645,3.52733686067e-05,1.7932716447883334e-05,0.088451389,0.19247764142049528,1.763668430335e-05,0.000109641,0,0,0.002021596,0.002137136,0.000640095,0.001493074,0.002347959,0.00409372,0.007220261,0.005404362,0.000607182,0.001266862,0.077647992,0.22266252563569866,1,1
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3592418313e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2018,0.00072811,0.000126843,0.001326846,0.000263118,0.01185771,0.006714145,0.005462414,0.006333817,0.000133341,1.87184836626e-05,0.000481142,0.00072345,0,5.813460821453888e-05,0.000165743,2.0621958261155557e-05,0.000130568,0,0.001347693,0.000367072,0.001542486,0.004030997,0,0,0.001080594,7.48739346504e-05,1.87184836626e-05,0,0.2309754590961461,0.095229058,1.87184836626e-05,1.7146776406033335e-05,0,1.87184836626e-05,0.00157307,0.001746254,0.003798424,0.000891506,0.00834501,0.002614555,0.004681754,0.003399121,0.000606769,0.00044375,0.2984754779349113,0.16446853017937096,-1,-1
2019,0.000889681,0.000538153,0.000583561,0.001868825,0.008116128,0.016044516622351915,0.011354648234874955,0.011625179267138217,7.48739346504e-05,0.000138731,0.000486681,0.001513526,1.9270050487527777e-05,5.2105235799350006e-05,0.000135199,7.379213529115e-05,0.000131029,0.000108186,0.001019574,0.000318707,0.003029684,0.005443502,0,7.472254159824444e-05,0.001223535,0.000205903,0,1.87184836626e-05,0.25320381039391554,0.13767706536835334,5.906383991209444e-05,9.138414148353335e-05,1.87184836626e-05,3.74369673252e-05,0.00061771,0.00365974,0.003158081,0.001639564,0.007765091,0.004070339,0.005534255,0.004987058,0.00190281,0.000268627,0.36168340958862816,0.22097729673068725,0,0
2120,0.000368949,0.000786953,0.001514578,0.000583561,0.009795366,0.006184833,0.00484972,0.009382262,7.029279480853889e-05,7.48739346504e-05,0.001204704,0.000486681,0,1.9270050487527777e-05,5.3681281815127776e-05,0.000135199,0.000124482,0.000131029,0.000818858,0.001019574,0.004832174,0.003029684,1.815541031227222e-05,0,0.000966267,0.001223535,9.032669531172222e-05,0,0.14554416789746402,0.2231249149304047,5.400926998026111e-05,5.906383991209444e-05,3.52733686067e-05,1.87184836626e-05,0.0020293,0.00061771,0.001919913,0.003158081,0.004748041,0.007765091,0.00610912,0.004054965,0.000373077,0.00190281,0.17172375360573083,0.313072298,-1,-1
2121,0.000187185,0.000112311,0.001264464,0.001363645,0.010095930422060518,0.010181937606654966,0.009166998,0.005334496,9.615958811996111e-05,0.000108241,0.00097914,0.00116987,0,0,0.000217561,0.000131029,7.285651182985555e-05,0,0.000583861,0.000239464,0.004889857,0.002700574,1.87184836626e-05,0,0.000749863,0.000280777,0,5.7876833239677776e-05,0.021097458,0.12229862973797283,3.74369673252e-05,0.000129424,0,1.6683350016683334e-05,0.001766709,0.002026826,0.001400975,0.000205903,0.004292929,0.001405777,0.005134131,0.004148314,0.000131029,9.3592418313e-05,0.069911516,0.11489915436523582,-1,-2
2122,0,0.000362532,0,0.001271124,0,0.00682784,0,0.013342460513730378,0,3.2488628979855556e-05,0,0.000779727,0,0,0,5.61554509878e-05,0,5.61554509878e-05,0,0.000395835,0,0.003368423,0,1.87184836626e-05,0,0.000997574,0,0,0,0.16421125282470492,0,0.000114997,0,1.6244314489927778e-05,0,0.001234568,0,0.002051304,0,0.005011692,0,0.004804164,0,0.000696861,0,0.23363627673570284,0,0
