id|first_name|last_name|nickname|dob|nationality|height|weight|role
0|Alexis|Mac Allister||1998-12-24|Argentina|176|72|midfielder
1|Mohamed|Bayo||1998-06-04|Guinea|188|76|striker
2|Paul|Wade||2000-04-17|France|179|67|
3|Han-Noah|Massengo||2001-07-07|France|178||
4|Andrey|Lunev||1991-11-13|Russia|190|80|goalkeeper
5|Milan|Djuric||1990-05-22|Bosnia and Herzegovina|199|85|striker
6|Jan|Thielmann||2002-05-26|Germany|178|72|midfielder
7|Sambou|Sissoko||1999-04-27|France|186|73|Defensive Midfielder
8|Álvaro|Medrán||1994-03-15|Spain|176|71|midfielder
9|Taiwo|Awoniyi||1997-08-12|Nigeria|183|84|striker
10|Armand|Laurienté||1998-12-04|France|171|59|midfielder
11|Evan|Ferguson||2004-10-19|Republic of Ireland|||
12|Bakaye|Dibassy||1989-08-11|Mali|183|74|defender
13|Erik|Lamela||1992-03-04|Argentina|181|79|midfielder
14|Fikayo|Tomori||1997-12-19|England|185|75|defender
15|Abdoul Hate|Bane||2001-03-21|Italy|||defender
16|Ahmed|Musa||1992-10-14|Nigeria|171|66|midfielder
17|Niccolò|Zanellato||1998-06-24|Italy|195|74|
18|Benjamin|Bourigeaud||1994-01-14|France|178|68|midfielder
19|Adrián|Marín||1997-01-09|Spain|181|73|defender
20|Lamine|Ghezali||1999-07-06|France|175|60|
21|Ellis|Simms||2001-01-05|England|||striker
22|Iker|Recio||2001-06-17|Spain|||defender
23|Nicholas|Gioacchini||2000-07-25|USA|183||striker
24|Reinildo Isnard|Mandava|Reinildo|1994-01-21|Mozambique|180|73|defender
25|Salvatore|Esposito|Salvatore Esposito|2000-10-07|Italy|178|70|
26|Filippo|Ranocchia||2001-05-14|Italy|178||midfielder
27|Alejandro|Domínguez|Álex Domínguez|1998-07-30|Spain|187|80|
28|Sardar|Azmoun||1995-01-01|IR Iran|186|78|striker
29|Roman|Tugarinov||1999-10-20|Russia|189||defender
30|Anthony|Walongwa||1993-10-15|Congo DR|182|81|defender
31|Mickael|Nade||1999-03-04|France|||defender
32|Fousseni|Diabaté||1995-10-18|Mali|175|60|striker
33|Allan-Roméo|Nyom||1988-05-10|Cameroon|188|78|defender
34|Alexander|Sørloth||1995-12-05|Norway|195|90|striker
35|Carlos|Martínez||1986-04-09|Spain|189|79|defender
36|Leonardo|Koutris||1995-07-23|Greece|170|70|
37|Alessandro|D&#39;Andrea||2000-03-22|Italy|188||goalkeeper
38|Óttar|Karlsson||1997-02-21|Iceland|190|84|striker
39|Juan|Artola|Juan Artola|2000-04-07|Spain|||striker
40|Kris|Moore||2003-11-13|England|||defender
41|Jamal|Lewis||1998-01-25|Northern Ireland|178|70|defender
42|Nathaniel|Phillips||1997-03-21|England|190||defender
43|Simone|Muratore||1998-05-30|Italy|186|74|Defensive Midfielder
44|Robert|Bauer||1995-04-09|Germany|183|76|
45|Celso|Borges||1988-05-27|Costa Rica|182|79|midfielder
46|Harry|Lewis||1997-12-20|England|191|77|goalkeeper
47|Luca|Palmiero||1996-05-01|Italy|177|75|Defensive Midfielder
