Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Ivan Toney,Brentford,England,118
2022,2,Morgan Gibbs-White,Nottingham Forest,England,115
2022,3,Aleksandar Mitrovic,-,Serbia,107
2022,4,Ché Adams,-,Scotland,103
2022,5,Ollie Watkins,Aston Villa,England,100
2022,6,Dominic Solanke,Bournemouth,England,99
2022,7,Ben Mee,Brentford,England,98
2022,8,Jordan Ayew,Crystal Palace,Ghana,92
2022,8,Tomás Soucek,West Ham United,Czech Republic,92
2022,10,Michail Antonio,West Ham United,Jamaica,88
2022,11,Harry Kane,-,England,81
2022,12,Gabriel Jesus,Arsenal,Brazil,78
2022,12,Gabriel Magalhães,Arsenal,Brazil,78
2022,12,Jamie Vardy,-,England,78
2022,15,Odsonne Édouard,Crystal Palace,France,77
2022,16,Dominic Calvert-Lewin,Everton,England,72
2022,17,Robin Koch,-,Germany,69
2022,18,Jarrod Bowen,West Ham United,England,68
2022,19,Rodrigo,-,Spain,66
2022,20,Carlos Vinícius,Fulham,Brazil,64
2022,20,Gabriel Martinelli,Arsenal,Brazil,64
2022,20,Bryan Mbeumo,Brentford,Cameroon,64
2022,23,Timothy Castagne,-,Belgium,62
2022,24,Taiwo Awoniyi,Nottingham Forest,Nigeria,61
2022,24,Kai Havertz,-,Germany,61
2022,26,Diego Costa,-,Spain,60
2022,26,Kieffer Moore,Bournemouth,Wales,60
2022,28,Joelinton,Newcastle United,Brazil,59
2022,29,Harvey Barnes,Leicester City,England,58
2022,30,Luke Ayling,-,England,57
2022,31,Rico Henry,Brentford,England,56
2022,31,Fabian Schär,Newcastle United,Switzerland,56
2022,33,Amadou Onana,Everton,Belgium,55
2022,34,Emiliano Buendía,Aston Villa,Argentina,54
2022,34,Ethan Pinnock,Brentford,Jamaica,54
2022,36,Ben Davies,Tottenham Hotspur,Wales,53
2022,37,James Ward-Prowse,-,England,52
2022,38,Darwin Núñez,Liverpool,Uruguay,51
2022,39,Erling Haaland,Manchester City,Norway,50
2022,40,James Tarkowski,Everton,England,49
2022,41,Brennan Johnson,-,Wales,48
2022,41,Neal Maupay,-,France,48
2022,41,Callum Wilson,Newcastle United,England,48
2022,44,Lewis Dunk,Brighton & Hove Albion,England,47
2022,44,Chris Wood,-,New Zealand,47
2022,46,Leon Bailey,Aston Villa,Jamaica,46
2022,47,Patson Daka,-,Zambia,45
2022,47,Mohamed Elyounoussi,-,Norway,45
2022,47,Demarai Gray,-,Jamaica,45
2022,50,Jean-Philippe Mateta,Crystal Palace,France,44
2022,50,Jeffrey Schlupp,Crystal Palace,Ghana,44
2022,52,Joe Aribo,-,Nigeria,43
2022,52,Patrick Bamford,-,England,43
2022,52,Bruno Fernandes,Manchester United,Portugal,43
2022,52,Craig Dawson,Wolverhampton Wanderers,England,43
2022,52,Marc Guéhi,Crystal Palace,England,43
2022,52,William Saliba,Arsenal,France,43
2022,52,Pascal Struijk,-,Netherlands,43
2022,59,Jack Harrison,-,England,42
2022,59,Maximilian Kilman,Wolverhampton Wanderers,England,42
2022,61,Bobby De Cordova-Reid,Fulham,Jamaica,41
2022,61,Wout Faes,-,Belgium,41
2022,61,Jefferson Lerma,-,Colombia,41
2022,61,Ben White,Arsenal,England,41
2022,65,Sven Botman,Newcastle United,Netherlands,40
2022,65,João Palhinha,Fulham,Portugal,40
2022,65,Sékou Mara,-,France,40
2022,65,Marcus Rashford,Manchester United,England,40
2022,69,Brenden Aaronson,-,United States,39
2022,69,Michael Olise,Crystal Palace,France,39
2022,69,Joel Ward,Crystal Palace,England,39
2022,72,Joe Gomez,Liverpool,England,38
2022,72,Ezri Konsa,Aston Villa,England,38
2022,72,Solly March,Brighton & Hove Albion,England,38
2022,72,Bukayo Saka,Arsenal,England,38
2022,72,Adam Smith,Bournemouth,England,38
2022,77,Dan Burn,Newcastle United,England,37
2022,77,Nélson Semedo,Wolverhampton Wanderers,Portugal,37
2022,77,Matheus Cunha,-,Brazil,37
2022,77,Danny Ings,West Ham United,England,37
2022,77,Dango Ouattara,Bournemouth,Burkina Faso,37
2022,82,Pascal Groß,Brighton & Hove Albion,Germany,36
2022,82,Harrison Reed,Fulham,England,36
2022,84,Philip Billing,Bournemouth,Denmark,35
2022,84,Eric Dier,Tottenham Hotspur,England,35
2022,84,Jacob Ramsey,Aston Villa,England,35
2022,84,Kieran Trippier,Newcastle United,England,35
2022,84,Virgil van Dijk,Liverpool,Netherlands,35
2022,89,Manuel Akanji,Manchester City,Switzerland,34
2022,89,Joachim Andersen,Crystal Palace,Denmark,34
2022,89,Vitaliy Mykolenko,Everton,Ukraine,34
2022,92,Rodri,Manchester City,Spain,33
2022,92,Michael Keane,Everton,England,33
2022,92,Thilo Kehrer,-,Germany,33
2022,92,Eddie Nketiah,Arsenal,England,33
2022,92,Joe Worrall,Nottingham Forest,England,33
2022,97,Sèrge Aurier,Nottingham Forest,Cote D’Ivoire,32
2022,97,Trevoh Chalobah,Chelsea,England,32
2022,97,Liam Cooper,-,Scotland,32
2022,97,Eberechi Eze,Crystal Palace,England,32
2021,1,Chris Wood,-,New Zealand,191
2021,2,Armando Broja,Southampton,Albania,167
2021,3,Richarlison,-,Brazil,157
2021,4,Tomás Soucek,West Ham United,Czech Republic,141
2021,5,Joshua King,-,Norway,120
2021,6,Ivan Toney,Brentford,England,116
2021,7,Michail Antonio,West Ham United,Jamaica,114
2021,8,Bryan Mbeumo,Brentford,Cameroon,105
2021,9,Joelinton,Newcastle United,Brazil,98
2021,10,Ollie Watkins,Aston Villa,England,96
2021,11,Dominic Calvert-Lewin,Everton,England,94
2021,11,Dominic Calvert-Lewin,Everton,England,94
2021,11,Dominic Calvert-Lewin,Everton,England,94
2021,11,Dominic Calvert-Lewin,Everton,England,94
2021,11,Dominic Calvert-Lewin,Everton,England,94
2021,11,Dominic Calvert-Lewin,Everton,England,94
2021,12,Ché Adams,-,Scotland,93
2021,12,Ché Adams,-,Scotland,93
2021,12,Ché Adams,-,Scotland,93
2021,12,Ché Adams,-,Scotland,93
2021,12,Ché Adams,-,Scotland,93
2021,12,Ché Adams,-,Scotland,93
2021,13,João Pedro,Watford,Brazil,92
2021,13,João Pedro,Watford,Brazil,92
2021,13,João Pedro,Watford,Brazil,92
2021,13,João Pedro,Watford,Brazil,92
2021,13,João Pedro,Watford,Brazil,92
2021,13,João Pedro,Watford,Brazil,92
2021,14,Raúl Jiménez,-,Mexico,85
2021,14,Raúl Jiménez,-,Mexico,85
2021,14,Raúl Jiménez,-,Mexico,85
2021,14,Raúl Jiménez,-,Mexico,85
2021,14,Raúl Jiménez,-,Mexico,85
2021,14,Raúl Jiménez,-,Mexico,85
2021,15,Diogo Jota,Liverpool,Portugal,83
2021,15,Diogo Jota,Liverpool,Portugal,83
2021,15,Diogo Jota,Liverpool,Portugal,83
2021,15,Diogo Jota,Liverpool,Portugal,83
2021,15,Diogo Jota,Liverpool,Portugal,83
2021,15,Diogo Jota,Liverpool,Portugal,83
2021,16,Harry Kane,-,England,82
2021,16,Harry Kane,-,England,82
2021,16,Harry Kane,-,England,82
2021,16,Harry Kane,-,England,82
2021,16,Harry Kane,-,England,82
2021,16,Harry Kane,-,England,82
2021,17,Pontus Jansson,-,Sweden,81
2021,17,Pontus Jansson,-,Sweden,81
2021,17,Pontus Jansson,-,Sweden,81
