Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Ben Mee,Brentford,England,132
2022,2,James Tarkowski,Everton,England,120
2022,3,Tomás Soucek,West Ham United,Czech Republic,114
2022,4,Fabian Schär,Newcastle United,Switzerland,112
2022,5,Robin Koch,-,Germany,111
2022,6,Ivan Toney,Brentford,England,109
2022,7,Ethan Pinnock,Brentford,Jamaica,105
2022,8,Gabriel Magalhães,Arsenal,Brazil,100
2022,8,Aleksandar Mitrovic,-,Serbia,100
2022,10,Virgil van Dijk,Liverpool,Netherlands,98
2022,11,Joachim Andersen,Crystal Palace,Denmark,87
2022,12,Maximilian Kilman,Wolverhampton Wanderers,England,86
2022,13,Dan Burn,Newcastle United,England,85
2022,14,Eric Dier,Tottenham Hotspur,England,80
2022,15,Kai Havertz,-,Germany,79
2022,16,Sven Botman,Newcastle United,Netherlands,77
2022,17,Rodri,Manchester City,Spain,72
2022,17,João Palhinha,Fulham,Portugal,72
2022,19,Ben Davies,Tottenham Hotspur,Wales,70
2022,19,Ollie Watkins,Aston Villa,England,70
2022,21,Lewis Dunk,Brighton & Hove Albion,England,69
2022,22,Kieffer Moore,Bournemouth,Wales,68
2022,23,Michael Keane,Everton,England,67
2022,24,Joelinton,Newcastle United,Brazil,66
2022,24,Dominic Calvert-Lewin,Everton,England,66
2022,24,Harry Kane,-,England,66
2022,27,Thiago Silva,Chelsea,Brazil,62
2022,27,Jefferson Lerma,-,Colombia,62
2022,27,Tyrone Mings,Aston Villa,England,62
2022,30,Ché Adams,-,Scotland,61
2022,31,Amadou Onana,Everton,Belgium,60
2022,31,Pascal Struijk,-,Netherlands,60
2022,31,Adam Webster,Brighton & Hove Albion,England,60
2022,34,Tosin Adarabioyo,Fulham,England,59
2022,34,Morgan Gibbs-White,Nottingham Forest,England,59
2022,36,Wout Faes,-,Belgium,58
2022,36,Joel Ward,Crystal Palace,England,58
2022,38,Ezri Konsa,Aston Villa,England,57
2022,38,Cristian Romero,Tottenham Hotspur,Argentina,57
2022,40,Casemiro,Manchester United,Brazil,56
2022,40,Liam Cooper,-,Scotland,56
2022,40,Kurt Zouma,West Ham United,France,56
2022,43,Timothy Castagne,-,Belgium,55
2022,43,Mohammed Salisu,-,Ghana,55
2022,43,Joe Worrall,Nottingham Forest,England,55
2022,46,Marc Guéhi,Crystal Palace,England,54
2022,47,Chris Mepham,Bournemouth,Wales,53
2022,47,William Saliba,Arsenal,France,53
2022,49,Philip Billing,Bournemouth,Denmark,52
2022,49,Felipe,Nottingham Forest,Brazil,52
2022,49,Dominic Solanke,Bournemouth,England,52
2022,52,Jordan Ayew,Crystal Palace,Ghana,51
2022,52,Oleksandr Zinchenko,Arsenal,Ukraine,51
2022,54,Michail Antonio,West Ham United,Jamaica,50
2022,54,Erling Haaland,Manchester City,Norway,50
2022,56,Kieran Trippier,Newcastle United,England,49
2022,57,Craig Dawson,Wolverhampton Wanderers,England,48
2022,57,Tim Ream,Fulham,United States,48
2022,59,Luke Ayling,-,England,47
2022,59,Jamie Vardy,-,England,47
