Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Jordan Ayew,Crystal Palace,Ghana,38
2022,1,Jarrod Bowen,West Ham United,England,38
2022,1,Emiliano Buendía,Aston Villa,Argentina,38
2022,1,Dan Burn,Newcastle United,England,38
2022,1,David de Gea,-,Spain,38
2022,1,Gabriel Magalhães,Arsenal,Brazil,38
2022,1,Eberechi Eze,Crystal Palace,England,38
2022,1,Alex Iwobi,-,Nigeria,38
2022,1,Brennan Johnson,-,Wales,38
2022,1,Harry Kane,-,England,38
2022,1,Ezri Konsa,Aston Villa,England,38
2022,1,Bryan Mbeumo,Brentford,Cameroon,38
2022,1,Aaron Ramsdale,Arsenal,England,38
2022,1,David Raya,-,Spain,38
2022,1,Bukayo Saka,Arsenal,England,38
2022,1,Mohamed Salah,Liverpool,Egypt,38
2022,1,James Tarkowski,Everton,England,38
2022,1,Kieran Trippier,Newcastle United,England,38
2022,1,James Ward-Prowse,-,England,38
2022,1,Ben White,Arsenal,England,38
2022,1,Yoane Wissa,Brentford,DR Congo,38
2022,22,Trent Alexander-Arnold,Liverpool,England,37
2022,22,Alisson Becker,Liverpool,Brazil,37
2022,22,Bruno Fernandes,Manchester United,Portugal,37
2022,22,Moisés Caicedo,-,Ecuador,37
2022,22,Timothy Castagne,-,Belgium,37
2022,22,Morgan Gibbs-White,Nottingham Forest,England,37
2022,22,Pascal Groß,Brighton & Hove Albion,Germany,37
2022,22,Marc Guéhi,Crystal Palace,England,37
2022,22,Rico Henry,Brentford,England,37
2022,22,Mathias Jensen,Brentford,Denmark,37
2022,22,Maximilian Kilman,Wolverhampton Wanderers,England,37
2022,22,Jefferson Lerma,-,Colombia,37
2022,22,Ben Mee,Brentford,England,37
2022,22,Michael Olise,Crystal Palace,France,37
2022,22,Jordan Pickford,Everton,England,37
2022,22,Nick Pope,Newcastle United,England,37
2022,22,Harrison Reed,Fulham,England,37
2022,22,Declan Rice,-,England,37
2022,22,Adam Smith,Bournemouth,England,37
2022,22,Douglas Luiz,Aston Villa,Brazil,37
2022,22,Jamie Vardy,-,England,37
2022,22,Ollie Watkins,Aston Villa,England,37
2022,22,Granit Xhaka,-,Switzerland,37
2022,22,Martin Ødegaard,Arsenal,Norway,37
2022,46,Brenden Aaronson,-,United States,36
2022,46,Philip Billing,Bournemouth,Denmark,36
2022,46,Sven Botman,Newcastle United,Netherlands,36
2022,46,Nélson Semedo,Wolverhampton Wanderers,Portugal,36
2022,46,Josh Dasilva,Brentford,England,36
2022,46,Bobby De Cordova-Reid,Fulham,Jamaica,36
2022,46,Lewis Dunk,Brighton & Hove Albion,England,36
2022,46,Lukasz Fabianski,West Ham United,Poland,36
2022,46,Jack Harrison,-,England,36
2022,46,Rodri,Manchester City,Spain,36
2022,46,Robin Koch,-,Germany,36
2022,46,Bernd Leno,Fulham,Germany,36
2022,46,José Sá,Wolverhampton Wanderers,Portugal,36
2022,46,Gabriel Martinelli,Arsenal,Brazil,36
2022,46,Emiliano Martínez,Aston Villa,Argentina,36
2022,46,Dwight McNeil,Everton,England,36
2022,46,Tyrick Mitchell,Crystal Palace,England,36
2022,46,Jacob Murphy,Newcastle United,England,36
2022,46,Fabian Schär,Newcastle United,Switzerland,36
2022,46,Son Heung-Min,Tottenham Hotspur,South Korea,36
2022,46,Tomás Soucek,West Ham United,Czech Republic,36
2022,46,Fabinho,-,Brazil,36
2022,46,Leandro Trossard,Arsenal,Belgium,36
2022,69,Saïd Benrahma,West Ham United,Algeria,35
2022,69,Rúben Neves,-,Portugal,35
2022,69,Odsonne Édouard,Crystal Palace,France,35
2022,69,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,35
2022,69,Conor Gallagher,Chelsea,England,35
2022,69,Erling Haaland,Manchester City,Norway,35
2022,69,Kai Havertz,-,Germany,35
2022,69,Jordan Henderson,-,England,35
2022,69,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,35
2022,69,Danny Ings,West Ham United,England,35
2022,69,Vitaly Janelt,Brentford,Germany,35
2022,69,João Palhinha,Fulham,Portugal,35
2022,69,Alexis Mac Allister,-,Argentina,35
2022,69,Tyrone Mings,Aston Villa,England,35
2022,69,Jacob Ramsey,Aston Villa,England,35
2022,69,Marcus Rashford,Manchester United,England,35
2022,69,Antonee Robinson,Fulham,United States,35
2022,69,Fred,-,Brazil,35
2022,69,Ederson,Manchester City,Brazil,35
2022,69,Joe Willock,Newcastle United,England,35
2022,89,Miguel Almirón,Newcastle United,Paraguay,34
2022,89,Harvey Barnes,Leicester City,England,34
2022,89,Cheick Doucouré,Crystal Palace,Mali,34
2022,89,John McGinn,Aston Villa,Scotland,34
2022,89,Illan Meslier,-,France,34
2022,89,Bernardo Silva,Manchester City,Portugal,34
2022,89,Vitaliy Mykolenko,Everton,Ukraine,34
2022,89,Matheus Nunes,-,Portugal,34
2022,89,Ivan Perisic,Tottenham Hotspur,Croatia,34
2022,89,Andy Robertson,Liverpool,Scotland,34
2022,89,Jeffrey Schlupp,Crystal Palace,Ghana,34
2022,89,Adama Traoré,-,Spain,34
2021,1,Matty Cash,Aston Villa,Poland,38
2021,1,Conor Coady,-,England,38
2021,1,David de Gea,-,Spain,38
2021,1,Hugo Lloris,Tottenham Hotspur,France,38
2021,1,Dwight McNeil,Burnley,England,38
2021,1,Illan Meslier,-,France,38
2021,1,Bukayo Saka,Arsenal,England,38
