Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,James Tarkowski,Everton,England,78
2022,2,Maximilian Kilman,Wolverhampton Wanderers,England,42
2022,2,Ben Mee,Brentford,England,42
2022,4,Wout Faes,-,Belgium,37
2022,5,Ethan Pinnock,Brentford,Jamaica,31
2022,6,Craig Dawson,Wolverhampton Wanderers,England,29
2022,6,Thiago Silva,Chelsea,Brazil,29
2022,8,Jan Bednarek,-,Poland,28
2022,8,Nathan Collins,-,Ireland,28
2022,10,Lewis Dunk,Brighton & Hove Albion,England,27
2022,10,Lisandro Martínez,Manchester United,Argentina,27
2022,10,Chris Mepham,Bournemouth,Wales,27
2022,13,Gabriel Magalhães,Arsenal,Brazil,26
2022,14,Mohammed Salisu,-,Ghana,25
2022,14,Lyanco,-,Brazil,25
2022,16,Nayef Aguerd,West Ham United,Morocco,24
2022,16,Sven Botman,Newcastle United,Netherlands,24
2022,16,Eric Dier,Tottenham Hotspur,England,24
2022,16,Marc Guéhi,Crystal Palace,England,24
2022,16,Tim Ream,Fulham,United States,24
2022,21,Ezri Konsa,Aston Villa,England,23
2022,21,Joe Worrall,Nottingham Forest,England,23
2022,23,Rúben Neves,-,Portugal,22
2022,24,Robin Koch,-,Germany,21
2022,24,Tyrone Mings,Aston Villa,England,21
2022,26,Marcos Senesi,Bournemouth,Argentina,20
2022,27,Fabian Schär,Newcastle United,Switzerland,19
2022,27,Adam Webster,Brighton & Hove Albion,England,19
2022,29,Cristian Romero,Tottenham Hotspur,Argentina,18
2022,30,Daniel Amartey,-,Ghana,17
2022,30,Conor Coady,-,England,17
2022,30,Issa Diop,Fulham,France,17
2022,30,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,17
2022,30,Luke Shaw,Manchester United,England,17
2022,30,Tomás Soucek,West Ham United,Czech Republic,17
2022,30,Jack Stephens,-,England,17
2022,30,Kenny Tete,Fulham,Netherlands,17
2022,30,Raphaël Varane,Manchester United,France,17
2022,39,Dan Burn,Newcastle United,England,16
2022,39,Vitaliy Mykolenko,Everton,Ukraine,16
2022,39,Virgil van Dijk,Liverpool,Netherlands,16
2022,39,Joel Ward,Crystal Palace,England,16
2022,43,Tosin Adarabioyo,Fulham,England,15
2022,43,Rodrigo Bentancur,Tottenham Hotspur,Uruguay,15
2022,43,Nélson Semedo,Wolverhampton Wanderers,Portugal,15
2022,43,Lloyd Kelly,Bournemouth,England,15
2022,43,Jefferson Lerma,-,Colombia,15
2022,43,Declan Rice,-,England,15
2022,43,Kieran Trippier,Newcastle United,England,15
2022,50,Rodri,Manchester City,Spain,14
2022,50,Rasmus Kristensen,-,Denmark,14
2022,50,Scott McKenna,Nottingham Forest,Scotland,14
2022,50,Wilfred Ndidi,-,Nigeria,14
2022,50,Maximilian Wöber,-,Austria,14
2022,50,Kurt Zouma,West Ham United,France,14
2022,56,Joachim Andersen,Crystal Palace,Denmark,13
2022,56,Timothy Castagne,-,Belgium,13
2022,56,Felipe,Nottingham Forest,Brazil,13
2022,56,Kiernan Dewsbury-Hall,-,England,13
