Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,David de Gea,-,Spain,17
2022,2,Alisson Becker,Liverpool,Brazil,14
2022,2,Nick Pope,Newcastle United,England,14
2022,2,Aaron Ramsdale,Arsenal,England,14
2022,5,David Raya,-,Spain,12
2022,6,José Sá,Wolverhampton Wanderers,Portugal,11
2022,6,Emiliano Martínez,Aston Villa,Argentina,11
2022,6,Ederson,Manchester City,Brazil,11
2022,9,Kepa,-,Spain,9
2022,10,Lukasz Fabianski,West Ham United,Poland,8
2022,10,Bernd Leno,Fulham,Germany,8
2022,10,Jordan Pickford,Everton,England,8
2022,13,Hugo Lloris,Tottenham Hotspur,France,7
2022,14,Vicente Guaita,-,Spain,6
2022,14,Dean Henderson,-,England,6
2022,14,Neto,Bournemouth,Brazil,6
2022,14,Robert Sánchez,-,Spain,6
2022,14,Jason Steele,Brighton & Hove Albion,England,6
2022,14,Danny Ward,-,Wales,6
2022,20,Illan Meslier,-,France,5
2022,21,Gavin Bazunu,-,Ireland,4
2022,22,Fraser Forster,Tottenham Hotspur,England,3
2022,22,Sam Johnstone,Crystal Palace,England,3
2022,24,Stefan Ortega,Manchester City,Germany,2
2022,24,Mark Travers,-,Ireland,2
2022,26,Asmir Begovic,-,Bosnia & Herzegovina,1
2022,26,Daniel Iversen,-,Denmark,1
2022,26,Édouard Mendy,-,Senegal,1
2022,26,Keylor Navas,-,Costa Rica,1
2022,26,Robin Olsen,Aston Villa,Sweden,1
2022,26,Marek Rodák,Fulham,Slovakia,1
2021,1,Alisson Becker,Liverpool,Brazil,20
2021,1,Ederson,Manchester City,Brazil,20
2021,3,Hugo Lloris,Tottenham Hotspur,France,16
2021,4,Édouard Mendy,-,Senegal,14
2021,5,Aaron Ramsdale,Arsenal,England,12
2021,6,Vicente Guaita,-,Spain,11
2021,6,José Sá,Wolverhampton Wanderers,Portugal,11
2021,6,Emiliano Martínez,Aston Villa,Argentina,11
2021,6,Robert Sánchez,-,Spain,11
2021,10,Nick Pope,Burnley,England,9
2021,11,David de Gea,-,Spain,8
2021,11,Martin Dúbravka,Newcastle United,Slovakia,8
2021,11,Lukasz Fabianski,West Ham United,Poland,8
2021,11,David Raya,-,Spain,8
2021,15,Jordan Pickford,Everton,England,7
2021,15,Kasper Schmeichel,-,Denmark,7
2021,17,Tim Krul,-,Netherlands,5
2021,17,Alex McCarthy,-,England,5
2021,17,Illan Meslier,-,France,5
2021,20,Ben Foster,-,England,4
2021,21,Fraser Forster,-,England,3
2021,22,Kepa,-,Spain,2
2021,23,Asmir Begovic,-,Bosnia & Herzegovina,1
2021,23,Jack Butland,-,England,1
2021,23,Álvaro Fernández,-,Spain,1
2021,23,Angus Gunn,-,Scotland,1
2021,23,Caoimhín Kelleher,Liverpool,Ireland,1
2021,23,Bernd Leno,-,Germany,1
2021,23,Zack Steffen,Manchester City,United States,1
2020,1,Ederson,Manchester City,Brazil,19
2020,2,Édouard Mendy,-,Senegal,16
2020,3,Emiliano Martínez,Aston Villa,Argentina,15
2020,4,Hugo Lloris,Tottenham Hotspur,France,12
2020,5,Bernd Leno,-,Germany,11
2020,5,Illan Meslier,-,France,11
2020,5,Nick Pope,Burnley,England,11
2020,5,Kasper Schmeichel,-,Denmark,11
2020,9,Alisson Becker,Liverpool,Brazil,10
2020,9,Rui Patrício,-,Portugal,10
2020,9,Lukasz Fabianski,West Ham United,Poland,10
2020,9,Jordan Pickford,Everton,England,10
2020,9,Robert Sánchez,-,Spain,10
2020,14,Alphonse Areola,Fulham,France,9
2020,14,David de Gea,-,Spain,9
2020,16,Vicente Guaita,-,Spain,8
2020,17,Alex McCarthy,-,England,7
2020,18,Sam Johnstone,West Bromwich Albion,England,6
2020,19,Aaron Ramsdale,-,England,5
2020,20,Karl Darlow,-,England,4
2020,20,Dean Henderson,-,England,4
2020,20,Dean Henderson,-,England,4
2020,20,Dean Henderson,-,England,4
2020,20,Dean Henderson,-,England,4
2020,20,Dean Henderson,-,England,4
2020,20,Dean Henderson,-,England,4
2020,20,Dean Henderson,-,England,4
2020,20,Dean Henderson,-,England,4
2020,22,Martin Dúbravka,Newcastle United,Slovakia,3
2020,22,Mathew Ryan,-,Australia,3
2020,22,Martin Dúbravka,Newcastle United,Slovakia,3
2020,22,Mathew Ryan,-,Australia,3
2020,22,Martin Dúbravka,Newcastle United,Slovakia,3
2020,22,Mathew Ryan,-,Australia,3
2020,22,Martin Dúbravka,Newcastle United,Slovakia,3
2020,22,Mathew Ryan,-,Australia,3
2020,22,Martin Dúbravka,Newcastle United,Slovakia,3
2020,22,Mathew Ryan,-,Australia,3
2020,22,Martin Dúbravka,Newcastle United,Slovakia,3
2020,22,Mathew Ryan,-,Australia,3
2020,22,Martin Dúbravka,Newcastle United,Slovakia,3
2020,22,Mathew Ryan,-,Australia,3
2020,22,Martin Dúbravka,Newcastle United,Slovakia,3
2020,22,Mathew Ryan,-,Australia,3
2020,24,Kepa,-,Spain,2
2020,24,Fraser Forster,-,England,2
2020,24,Robin Olsen,-,Sweden,2
2020,24,Kepa,-,Spain,2
2020,24,Fraser Forster,-,England,2
2020,24,Robin Olsen,-,Sweden,2
2020,24,Kepa,-,Spain,2
2020,24,Fraser Forster,-,England,2
2020,24,Robin Olsen,-,Sweden,2
2020,24,Kepa,-,Spain,2
2020,24,Fraser Forster,-,England,2
2020,24,Robin Olsen,-,Sweden,2
2020,24,Kepa,-,Spain,2
2020,24,Fraser Forster,-,England,2
2020,24,Robin Olsen,-,Sweden,2
2020,24,Kepa,-,Spain,2
2020,24,Fraser Forster,-,England,2
2020,24,Robin Olsen,-,Sweden,2
2020,24,Kepa,-,Spain,2
2020,24,Fraser Forster,-,England,2
2020,24,Robin Olsen,-,Sweden,2
2020,24,Kepa,-,Spain,2
2020,24,Fraser Forster,-,England,2
2020,24,Robin Olsen,-,Sweden,2
2020,27,Kiko Casilla,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Adrián,Liverpool,Spain,1
2020,27,Kiko Casilla,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Adrián,Liverpool,Spain,1
2020,27,Kiko Casilla,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Adrián,Liverpool,Spain,1
2020,27,Kiko Casilla,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Adrián,Liverpool,Spain,1
2020,27,Kiko Casilla,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Adrián,Liverpool,Spain,1
2020,27,Kiko Casilla,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Adrián,Liverpool,Spain,1
2020,27,Kiko Casilla,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Adrián,Liverpool,Spain,1
2020,27,Kiko Casilla,-,Spain,1
2020,27,Caoimhín Kelleher,Liverpool,Ireland,1
2020,27,Darren Randolph,West Ham United,Ireland,1
2020,27,Adrián,Liverpool,Spain,1
2019,1,Ederson,Manchester City,Brazil,16
2019,2,Nick Pope,Burnley,England,15
2019,3,Alisson Becker,Liverpool,Brazil,13
2019,3,David de Gea,-,Spain,13
2019,3,Rui Patrício,-,Portugal,13
2019,3,Dean Henderson,-,England,13
2019,3,Kasper Schmeichel,-,Denmark,13
2019,8,Martin Dúbravka,Newcastle United,Slovakia,11
2019,9,Vicente Guaita,-,Spain,10
2019,10,Ben Foster,-,England,9
2019,10,Jordan Pickford,Everton,England,9
