Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Ethan Pinnock,Brentford,Jamaica,214
2022,2,James Tarkowski,Everton,England,196
2022,3,Joachim Andersen,Crystal Palace,Denmark,187
2022,4,Maximilian Kilman,Wolverhampton Wanderers,England,163
2022,5,Tyrone Mings,Aston Villa,England,158
2022,6,Robin Koch,-,Germany,147
2022,7,Chris Mepham,Bournemouth,Wales,146
2022,8,Marcos Senesi,Bournemouth,Argentina,140
2022,9,Tosin Adarabioyo,Fulham,England,138
2022,10,Fabian Schär,Newcastle United,Switzerland,137
2022,11,Virgil van Dijk,Liverpool,Netherlands,135
2022,12,Marc Guéhi,Crystal Palace,England,132
2022,13,Sven Botman,Newcastle United,Netherlands,120
2022,13,Gabriel Magalhães,Arsenal,Brazil,120
2022,15,Mohammed Salisu,-,Ghana,119
2022,16,Kurt Zouma,West Ham United,France,118
2022,17,Ben Mee,Brentford,England,116
2022,18,Ezri Konsa,Aston Villa,England,114
2022,19,Tim Ream,Fulham,United States,112
2022,20,Wout Faes,-,Belgium,111
2022,21,Eric Dier,Tottenham Hotspur,England,109
2022,21,Thiago Silva,Chelsea,Brazil,109
2022,23,Armel Bella-Kotchap,-,Germany,108
2022,23,Joe Worrall,Nottingham Forest,England,108
2022,25,Dan Burn,Newcastle United,England,103
2022,26,Craig Dawson,Wolverhampton Wanderers,England,99
2022,26,Lloyd Kelly,Bournemouth,England,99
2022,28,Lisandro Martínez,Manchester United,Argentina,97
2022,28,Cristian Romero,Tottenham Hotspur,Argentina,97
2022,30,Timothy Castagne,-,Belgium,94
2022,31,Jan Bednarek,-,Poland,92
2022,32,Felipe,Nottingham Forest,Brazil,89
2022,32,Vitaliy Mykolenko,Everton,Ukraine,89
2022,32,Raphaël Varane,Manchester United,France,89
2022,35,Jefferson Lerma,-,Colombia,87
2022,36,Issa Diop,Fulham,France,86
2022,37,Conor Coady,-,England,85
2022,38,Nathan Collins,-,Ireland,83
2022,38,Scott McKenna,Nottingham Forest,Scotland,83
2022,40,Rúben Neves,-,Portugal,82
2022,40,William Saliba,Arsenal,France,82
2022,42,Lewis Dunk,Brighton & Hove Albion,England,81
2022,43,Nayef Aguerd,West Ham United,Morocco,78
2022,44,Joel Ward,Crystal Palace,England,77
2022,45,Nélson Semedo,Wolverhampton Wanderers,Portugal,76
2022,45,Antonee Robinson,Fulham,United States,76
2022,47,Kieran Trippier,Newcastle United,England,75
2022,47,Ben White,Arsenal,England,75
2022,49,Thilo Kehrer,-,Germany,73
2022,49,Angelo Ogbonna,West Ham United,Italy,73
2022,49,Kenny Tete,Fulham,Netherlands,73
2022,52,Kalidou Koulibaly,-,Senegal,72
