Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Kieran Trippier,Newcastle United,England,216
2022,2,James Ward-Prowse,-,England,145
2022,3,Pascal Groß,Brighton & Hove Albion,Germany,140
2022,4,Michael Olise,Crystal Palace,France,127
2022,5,Andreas Pereira,Fulham,Brazil,116
2022,6,Bukayo Saka,Arsenal,England,99
2022,7,Trent Alexander-Arnold,Liverpool,England,98
2022,7,Morgan Gibbs-White,Nottingham Forest,England,98
2022,9,Jarrod Bowen,West Ham United,England,90
2022,9,Douglas Luiz,Aston Villa,Brazil,90
2022,11,Bruno Fernandes,Manchester United,Portugal,83
2022,11,Son Heung-Min,Tottenham Hotspur,South Korea,83
2022,13,Andy Robertson,Liverpool,Scotland,81
2022,14,Mathias Jensen,Brentford,Denmark,76
2022,15,Demarai Gray,-,Jamaica,74
2022,16,Kevin De Bruyne,Manchester City,Belgium,72
2022,17,Solly March,Brighton & Hove Albion,England,71
2022,17,Bryan Mbeumo,Brentford,Cameroon,71
2022,19,James Maddison,-,England,69
2022,20,Jack Harrison,-,England,68
2022,21,Ivan Perisic,Tottenham Hotspur,Croatia,67
2022,22,Riyad Mahrez,-,Algeria,65
2022,23,Gabriel Martinelli,Arsenal,Brazil,63
2022,24,Christian Eriksen,Manchester United,Denmark,62
2022,24,Dwight McNeil,Everton,England,62
2022,26,Aaron Cresswell,West Ham United,England,56
2022,27,Ben Chilwell,Chelsea,England,52
2022,28,Eberechi Eze,Crystal Palace,England,51
2022,29,Marcus Tavernier,Bournemouth,England,42
2022,30,Marc Roca,-,Spain,40
2022,31,Phil Foden,Manchester City,England,39
2022,32,Brenden Aaronson,-,United States,38
2022,32,Luke Shaw,Manchester United,England,38
2022,34,Kostas Tsimikas,Liverpool,Greece,36
2022,35,Mason Mount,-,England,34
2022,35,João Moutinho,-,Portugal,34
2022,37,Willian,Fulham,Brazil,32
2022,38,Leandro Trossard,Arsenal,Belgium,31
2022,39,Pablo Sarabia,Wolverhampton Wanderers,Spain,28
2022,40,Daniel Podence,-,Portugal,26
2022,40,Sam Greenwood,-,England,26
2022,42,Pedro Neto,Wolverhampton Wanderers,Portugal,25
2022,42,John McGinn,Aston Villa,Scotland,25
2022,44,Jack Grealish,Manchester City,England,24
2022,44,Pedro Porro,-,Spain,24
2022,46,Dejan Kulusevski,-,Sweden,23
2022,47,Rúben Neves,-,Portugal,21
2022,47,Pablo Fornals,West Ham United,Spain,21
2022,47,Conor Gallagher,Chelsea,England,21
2022,47,Ilkay Gündogan,-,Germany,21
2022,47,Reece James,Chelsea,England,21
2022,47,Joe Rothwell,Bournemouth,England,21
2022,53,Ryan Christie,Bournemouth,Scotland,20
2022,53,Youri Tielemans,-,Belgium,20
2022,53,Hakim Ziyech,-,Morocco,20
2022,56,Declan Rice,-,England,19
2022,57,Leon Bailey,Aston Villa,Jamaica,18
2022,57,Hugo Bueno,Wolverhampton Wanderers,Spain,18
2022,57,Matt Targett,Newcastle United,England,18
2022,57,Hamed Traorè,-,Cote D’Ivoire,18
2022,57,Martin Ødegaard,Arsenal,Norway,18
2022,62,Tom Cairney,Fulham,Scotland,17
2022,62,James Garner,Everton,England,17
