Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Kieran Trippier,Newcastle United,England,393
2022,2,Trent Alexander-Arnold,Liverpool,England,252
2022,3,Michael Olise,Crystal Palace,France,242
2022,4,James Ward-Prowse,-,England,241
2022,5,Kevin De Bruyne,Manchester City,Belgium,226
2022,6,Pascal Groß,Brighton & Hove Albion,Germany,224
2022,7,Andreas Pereira,Fulham,Brazil,196
2022,7,Ivan Perisic,Tottenham Hotspur,Croatia,196
2022,9,Andy Robertson,Liverpool,Scotland,195
2022,10,Dwight McNeil,Everton,England,194
2022,11,Jack Harrison,-,England,186
2022,12,Demarai Gray,-,Jamaica,173
2022,13,Bukayo Saka,Arsenal,England,172
2022,14,Morgan Gibbs-White,Nottingham Forest,England,170
2022,15,Jarrod Bowen,West Ham United,England,159
2022,16,Mathias Jensen,Brentford,Denmark,158
2022,17,Bryan Mbeumo,Brentford,Cameroon,156
2022,18,Solly March,Brighton & Hove Albion,England,155
2022,19,Bruno Fernandes,Manchester United,Portugal,141
2022,20,Antonee Robinson,Fulham,United States,134
2022,21,Aaron Cresswell,West Ham United,England,133
2022,22,James Maddison,-,England,123
2022,23,Vladimír Coufal,West Ham United,Czech Republic,113
2022,23,Gabriel Martinelli,Arsenal,Brazil,113
2022,23,Son Heung-Min,Tottenham Hotspur,South Korea,113
2022,26,Douglas Luiz,Aston Villa,Brazil,106
2022,27,Alex Iwobi,-,Nigeria,104
2022,28,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,101
2022,29,Kenny Tete,Fulham,Netherlands,99
2022,30,Leon Bailey,Aston Villa,Jamaica,96
2022,30,Riyad Mahrez,-,Algeria,96
2022,32,Marcus Tavernier,Bournemouth,England,93
2022,33,Ben Chilwell,Chelsea,England,92
2022,34,Phil Foden,Manchester City,England,91
2022,34,Reece James,Chelsea,England,91
2022,34,Martin Ødegaard,Arsenal,Norway,91
2022,37,Leandro Trossard,Arsenal,Belgium,90
2022,38,Luke Shaw,Manchester United,England,89
2022,38,Neco Williams,Nottingham Forest,Wales,89
2022,40,Rico Henry,Brentford,England,87
2022,41,Kostas Tsimikas,Liverpool,Greece,85
2022,42,Saïd Benrahma,West Ham United,Algeria,83
2022,43,Christian Eriksen,Manchester United,Denmark,81
2022,43,Adama Traoré,-,Spain,81
2022,45,Eberechi Eze,Crystal Palace,England,78
2022,46,Lucas Digne,Aston Villa,France,77
2022,46,Romain Perraud,-,France,77
2022,46,Pedro Porro,-,Spain,77
2022,49,Marc Roca,-,Spain,76
2022,50,Renan Lodi,-,Brazil,75
2022,50,Bernardo Silva,Manchester City,Portugal,75
2022,52,Brenden Aaronson,-,United States,72
2022,53,Tyrick Mitchell,Crystal Palace,England,70
2022,54,Pedro Neto,Wolverhampton Wanderers,Portugal,66
2022,54,Hakim Ziyech,-,Morocco,66
2022,56,Mason Mount,-,England,64
2022,57,Luke Ayling,-,England,62
2022,57,Dejan Kulusevski,-,Sweden,62
2022,59,Willian,Fulham,Brazil,60
2022,59,Hugo Bueno,Wolverhampton Wanderers,Spain,60
2022,59,Nélson Semedo,Wolverhampton Wanderers,Portugal,60
2022,62,Pablo Fornals,West Ham United,Spain,59
2022,62,Brennan Johnson,-,Wales,59
2022,62,João Moutinho,-,Portugal,59
2022,65,Timothy Castagne,-,Belgium,58
2022,66,Vitaliy Mykolenko,Everton,Ukraine,57
2022,66,Ben White,Arsenal,England,57
2022,68,Daniel Podence,-,Portugal,56
2022,69,Harrison Reed,Fulham,England,54
2022,70,Rúben Neves,-,Portugal,53
2022,70,Bobby De Cordova-Reid,Fulham,Jamaica,53
2022,70,Jack Grealish,Manchester City,England,53
2022,70,Jacob Murphy,Newcastle United,England,53
2022,74,James Milner,-,England,52
2022,75,Joe Willock,Newcastle United,England,51
2022,76,John McGinn,Aston Villa,Scotland,50
2022,76,Kyle Walker-Peters,-,England,50
2022,78,Conor Gallagher,Chelsea,England,49
2022,78,Adam Smith,Bournemouth,England,49
2022,80,Álex Moreno,Aston Villa,Spain,48
2022,81,Emerson,West Ham United,Italy,47
2022,82,Matty Cash,Aston Villa,Poland,46
2022,82,Kiernan Dewsbury-Hall,-,England,46
2022,82,Emerson Royal,Tottenham Hotspur,Brazil,46
2022,82,Pablo Sarabia,Wolverhampton Wanderers,Spain,46
2022,82,Raheem Sterling,Chelsea,England,46
2022,87,João Cancelo,-,Portugal,45
2022,87,Lewis Cook,Bournemouth,England,45
2022,87,Jordan Henderson,-,England,45
2022,87,Youri Tielemans,-,Belgium,45
2022,91,Jaidon Anthony,-,England,44
2022,91,Harvey Barnes,Leicester City,England,44
2022,91,Marc Cucurella,Chelsea,Spain,44
2022,91,Diogo Dalot,Manchester United,Portugal,44
2022,91,Declan Rice,-,England,44
2022,96,Jordan Ayew,Crystal Palace,Ghana,43
2022,96,Sam Greenwood,-,England,43
2022,96,Matheus Nunes,-,Portugal,43
2022,99,Wilfried Gnonto,-,Italy,42
2022,99,Ashley Young,-,England,42
2021,1,James Ward-Prowse,Southampton,England,302
2021,2,Trent Alexander-Arnold,Liverpool,England,273
2021,3,Dwight McNeil,Burnley,England,199
2021,4,Andy Robertson,Liverpool,Scotland,195
2021,5,Son Heung-Min,Tottenham Hotspur,South Korea,192
2021,6,Pascal Groß,Brighton & Hove Albion,Germany,189
2021,7,Kevin De Bruyne,Manchester City,Belgium,180
2021,8,Lucas Digne,Aston Villa,France,172
2021,9,Raphinha,-,Brazil,162
2021,10,Mason Mount,-,England,153
2021,11,Marcos Alonso,-,Spain,149
2021,12,Bruno Fernandes,Manchester United,Portugal,148
2021,13,Aaron Cresswell,West Ham United,England,145
2021,14,Jack Harrison,-,England,142
2021,15,Jarrod Bowen,West Ham United,England,141
2021,16,Matt Targett,Newcastle United,England,133
2021,17,Phil Foden,Manchester City,England,132
2021,18,Demarai Gray,-,Jamaica,129
2021,19,Conor Gallagher,Chelsea,England,128
