Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Hugo Lloris,Tottenham Hotspur,France,5
2022,2,Idrissa Gueye,Everton,Senegal,3
2022,2,Illan Meslier,-,France,3
2022,4,David de Gea,-,Spain,2
2022,4,Gabriel Magalhães,Arsenal,Brazil,2
2022,4,Wesley Fofana,Chelsea,France,2
2022,4,Boubacar Kamara,Aston Villa,France,2
2022,4,Ibrahima Konaté,Liverpool,France,2
2022,4,Diego Llorente,-,Spain,2
2022,4,José Sá,Wolverhampton Wanderers,Portugal,2
2022,4,Édouard Mendy,-,Senegal,2
2022,4,Tyrone Mings,Aston Villa,England,2
2022,4,Keylor Navas,-,Costa Rica,2
2022,4,Wilfred Ndidi,-,Nigeria,2
2022,4,Jordan Pickford,Everton,England,2
2022,4,Ethan Pinnock,Brentford,Jamaica,2
2022,4,Aaron Ramsdale,Arsenal,England,2
2022,4,David Raya,-,Spain,2
2022,4,Lyanco,-,Brazil,2
2022,4,Virgil van Dijk,Liverpool,Netherlands,2
2022,21,Brenden Aaronson,-,United States,1
2022,21,Nayef Aguerd,West Ham United,Morocco,1
2022,21,Manuel Akanji,Manchester City,Switzerland,1
2022,21,Joachim Andersen,Crystal Palace,Denmark,1
2022,21,Stuart Armstrong,-,Scotland,1
2022,21,Gavin Bazunu,-,Ireland,1
2022,21,Dan Bentley,Wolverhampton Wanderers,England,1
2022,21,Philip Billing,Bournemouth,Denmark,1
2022,21,Sven Botman,Newcastle United,Netherlands,1
2022,21,Moisés Caicedo,-,Ecuador,1
2022,21,João Cancelo,-,Portugal,1
2022,21,Calum Chambers,Aston Villa,England,1
2022,21,Conor Coady,-,England,1
2022,21,Séamus Coleman,Everton,Ireland,1
2022,21,Liam Cooper,-,Scotland,1
2022,21,Marc Cucurella,Chelsea,Spain,1
2022,21,Eric Dier,Tottenham Hotspur,England,1
2022,21,Shane Duffy,-,Ireland,1
2022,21,Thiago Silva,Chelsea,Brazil,1
2022,21,Christian Eriksen,Manchester United,Denmark,1
2022,21,Lukasz Fabianski,West Ham United,Poland,1
2022,21,João Félix,-,Portugal,1
2022,21,Joe Gomez,Liverpool,England,1
2022,21,Marc Guéhi,Crystal Palace,England,1
2022,21,Jordan Henderson,-,England,1
2022,21,Dean Henderson,-,England,1
2022,21,Rodri,Manchester City,Spain,1
2022,21,Thilo Kehrer,-,Germany,1
2022,21,Maximilian Kilman,Wolverhampton Wanderers,England,1
2022,21,Victor Kristiansen,-,Denmark,1
2022,21,Roméo Lavia,-,Belgium,1
2022,21,Bernd Leno,Fulham,Germany,1
2022,21,Jefferson Lerma,-,Colombia,1
2022,21,Alexis Mac Allister,-,Argentina,1
2022,21,James Maddison,-,England,1
2022,21,Ainsley Maitland-Niles,-,England,1
2022,21,Emiliano Martínez,Aston Villa,Argentina,1
2022,21,Joël Matip,Liverpool,Cameroon,1
2022,21,Scott McKenna,Nottingham Forest,Scotland,1
2022,21,Scott McTominay,Manchester United,Scotland,1
2022,21,Ben Mee,Brentford,England,1
2022,21,Luka Milivojevic,-,Serbia,1
2022,21,Álex Moreno,Aston Villa,Spain,1
2022,21,Matheus Nunes,-,Portugal,1
2022,21,Angelo Ogbonna,West Ham United,Italy,1
2022,21,Jonny Otto,Wolverhampton Wanderers,Spain,1
2022,21,Nick Pope,Newcastle United,England,1
2022,21,Pedro Porro,-,Spain,1
2022,21,Tim Ream,Fulham,United States,1
2022,21,Antonee Robinson,Fulham,United States,1
2022,21,Marc Roca,-,Spain,1
2022,21,Lucas Moura,-,Brazil,1
2022,21,Cristian Romero,Tottenham Hotspur,Argentina,1
2022,21,William Saliba,Arsenal,France,1
2022,21,Robert Sánchez,-,Spain,1
2022,21,Ederson,Manchester City,Brazil,1
2022,21,Jonjo Shelvey,-,England,1
