Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Jordan Pickford,Everton,England,315
2022,2,David Raya,-,Spain,269
2022,3,José Sá,Wolverhampton Wanderers,Portugal,260
2022,4,Lukasz Fabianski,West Ham United,Poland,249
2022,5,Bernd Leno,Fulham,Germany,242
2022,5,Illan Meslier,-,France,242
2022,7,Gavin Bazunu,-,Ireland,237
2022,8,Neto,Bournemouth,Brazil,231
2022,9,Emiliano Martínez,Aston Villa,Argentina,212
2022,10,Nick Pope,Newcastle United,England,207
2022,11,Vicente Guaita,-,Spain,206
2022,12,Alisson Becker,Liverpool,Brazil,193
2022,13,Danny Ward,-,Wales,190
2022,14,Hugo Lloris,Tottenham Hotspur,France,186
2022,15,Kepa,-,Spain,182
2022,16,David de Gea,-,Spain,179
2022,17,Dean Henderson,-,England,156
2022,18,Aaron Ramsdale,Arsenal,England,153
2022,19,Ederson,Manchester City,Brazil,152
2022,20,Keylor Navas,-,Costa Rica,151
2022,21,Robert Sánchez,-,Spain,131
2022,22,Mark Travers,-,Ireland,118
2022,23,Daniel Iversen,-,Denmark,114
2022,24,Fraser Forster,Tottenham Hotspur,England,93
2022,25,Édouard Mendy,-,Senegal,63
2022,26,Jason Steele,Brighton & Hove Albion,England,55
2022,27,Alex McCarthy,-,England,52
2022,28,Sam Johnstone,Crystal Palace,England,46
2022,29,Joel Robles,-,Spain,32
2022,30,Alphonse Areola,West Ham United,France,30
2022,31,Robin Olsen,Aston Villa,Sweden,28
2022,32,Wayne Hennessey,Nottingham Forest,Wales,25
2022,33,Dan Bentley,Wolverhampton Wanderers,England,23
2022,34,Martin Dúbravka,Newcastle United,Slovakia,15
2022,34,Marek Rodák,Fulham,Slovakia,15
2022,34,Joe Whitworth,Crystal Palace,England,15
2022,37,Stefan Ortega,Manchester City,Germany,12
2022,38,Asmir Begovic,-,Bosnia & Herzegovina,8
2022,39,Caoimhín Kelleher,Liverpool,Ireland,2
2021,1,David de Gea,-,Spain,299
2021,2,Kasper Schmeichel,-,Denmark,291
2021,3,Illan Meslier,-,France,288
2021,4,Nick Pope,Burnley,England,283
2021,5,Hugo Lloris,Tottenham Hotspur,France,278
2021,6,Lukasz Fabianski,West Ham United,Poland,277
2021,7,Emiliano Martínez,Aston Villa,Argentina,275
2021,8,Jordan Pickford,Everton,England,267
2021,9,José Sá,Wolverhampton Wanderers,Portugal,261
2021,10,Martin Dúbravka,Newcastle United,Slovakia,236
2021,11,Robert Sánchez,-,Spain,234
2021,12,Tim Krul,-,Netherlands,224
2021,13,Ben Foster,-,England,223
2021,14,David Raya,-,Spain,202
2021,15,Vicente Guaita,-,Spain,201
2021,16,Aaron Ramsdale,Arsenal,England,181
2021,17,Édouard Mendy,-,Senegal,177
2021,18,Alisson Becker,Liverpool,Brazil,172
2021,19,Fraser Forster,-,England,140
2021,20,Ederson,Manchester City,Brazil,138
2021,21,Alex McCarthy,-,England,125
2021,22,Daniel Bachmann,-,Austria,87
2021,23,Angus Gunn,-,Scotland,86
2021,24,Álvaro Fernández,-,Spain,83
2021,25,Jack Butland,-,England,66
2021,26,Karl Darlow,-,England,62
2021,27,Freddie Woodman,-,England,39
2021,28,Bernd Leno,-,Germany,37
2021,29,Asmir Begovic,-,Bosnia & Herzegovina,31
2021,30,Kepa,-,Spain,21
2021,30,Wayne Hennessey,Burnley,Wales,21
2021,32,Robin Olsen,Aston Villa,Sweden,20
2021,33,Alphonse Areola,West Ham United,France,14
2021,33,John Ruddy,-,England,14
2021,35,Willy Caballero,-,Argentina,13
2021,35,Caoimhín Kelleher,Liverpool,Ireland,13
2021,35,Jonas Lössl,-,Denmark,13
2021,38,Zack Steffen,Manchester City,United States,7
2021,38,Danny Ward,-,Wales,7
2021,40,Jason Steele,Brighton & Hove Albion,England,6
2021,40,Jed Steer,-,England,6
2021,42,Kristoffer Klaesson,-,Norway,3
2020,1,Vicente Guaita,-,Spain,315
2020,2,Sam Johnstone,West Bromwich Albion,England,296
2020,3,Aaron Ramsdale,-,England,281
2020,4,Lukasz Fabianski,West Ham United,Poland,272
2020,5,Rui Patrício,-,Portugal,268
2020,6,Illan Meslier,-,France,267
2020,7,Hugo Lloris,Tottenham Hotspur,France,264
2020,8,Emiliano Martínez,Aston Villa,Argentina,253
2020,9,Alphonse Areola,Fulham,France,251
2020,9,Nick Pope,Burnley,England,251
2020,11,Bernd Leno,-,Germany,227
2020,12,Karl Darlow,-,England,216
2020,13,Kasper Schmeichel,-,Denmark,210
2020,14,Jordan Pickford,Everton,England,198
2020,15,Édouard Mendy,-,Senegal,179
2020,16,Robert Sánchez,-,Spain,177
2020,17,Alisson Becker,Liverpool,Brazil,173
2020,18,David de Gea,-,Spain,172
2020,19,Alex McCarthy,-,England,171
2020,20,Ederson,Manchester City,Brazil,153
2020,21,Martin Dúbravka,Newcastle United,Slovakia,122
2020,22,Dean Henderson,-,England,94
2020,23,Mathew Ryan,-,Australia,65
2020,24,Fraser Forster,-,England,64
2020,25,Robin Olsen,-,Sweden,51
2020,26,Kepa,-,Spain,46
2020,27,Kiko Casilla,-,Spain,31
2020,28,Bailey Peacock-Farrell,-,Northern Ireland,29
2020,29,Darren Randolph,West Ham United,Ireland,23
2020,30,Adrián,Liverpool,Spain,22
2020,31,Will Norris,-,England,18
2020,32,Caoimhín Kelleher,Liverpool,Ireland,14
2020,33,David Button,-,England,12
2020,34,Jack Butland,-,England,8
2020,34,Zack Steffen,Manchester City,United States,8
2020,36,Marek Rodák,Fulham,Slovakia,7
2020,37,Willy Caballero,-,Argentina,6
2020,38,John Ruddy,-,England,5
2020,39,João Virgínia,Everton,Portugal,3
2020,40,Scott Carson,-,England,2
2020,41,Rúnar Rúnarsson,-,Iceland,1
2019,1,Martin Dúbravka,Newcastle United,Slovakia,340
2019,2,Tim Krul,-,Netherlands,332
2019,3,Nick Pope,Burnley,England,304
2019,4,Ben Foster,-,England,295
2019,5,Aaron Ramsdale,-,England,288
2019,6,Rui Patrício,-,Portugal,283
2019,7,Vicente Guaita,-,Spain,274
2019,7,Mathew Ryan,-,Australia,274
2019,9,David de Gea,-,Spain,268
2019,10,Jordan Pickford,Everton,England,264
2019,11,Dean Henderson,-,England,261
2019,12,Bernd Leno,-,Germany,253
2019,13,Kasper Schmeichel,-,Denmark,241
2019,14,Kepa,-,Spain,198
2019,15,Tom Heaton,-,England,195
2019,16,Lukasz Fabianski,West Ham United,Poland,192
2019,17,Alex McCarthy,-,England,178
2019,18,Alisson Becker,Liverpool,Brazil,167
2019,19,Hugo Lloris,Tottenham Hotspur,France,150
2019,20,Paulo Gazzaniga,-,Argentina,142
2019,21,Ederson,Manchester City,Brazil,139
2019,22,Pepe Reina,-,Spain,94
2019,23,Angus Gunn,-,Scotland,77
2019,24,Adrián,Liverpool,Spain,70
2019,25,Emiliano Martínez,-,Argentina,61
2019,26,Ørjan Nyland,-,Norway,53
2019,27,David Martin,-,England,44
2019,28,Roberto Jiménez,-,Spain,41
2019,29,Wayne Hennessey,-,Wales,39
2019,30,Claudio Bravo,-,Chile,28
2019,30,Willy Caballero,-,Argentina,28
2019,32,Michael McGovern,-,Northern Ireland,14
2019,32,Darren Randolph,West Ham United,Ireland,14
2019,34,Simon Moore,-,England,11
2019,35,Mark Travers,Bournemouth,Ireland,7
2019,36,Ralf Fährmann,-,Germany,3
