Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Illan Meslier,-,France,67
2022,2,Jordan Pickford,Everton,England,57
2022,3,Gavin Bazunu,-,Ireland,56
2022,4,José Sá,Wolverhampton Wanderers,Portugal,55
2022,5,Bernd Leno,Fulham,Germany,51
2022,6,Lukasz Fabianski,West Ham United,Poland,48
2022,7,David Raya,-,Spain,46
2022,7,Danny Ward,-,Wales,46
2022,9,Alisson Becker,Liverpool,Brazil,43
2022,9,David de Gea,-,Spain,43
2022,9,Aaron Ramsdale,Arsenal,England,43
2022,12,Hugo Lloris,Tottenham Hotspur,France,39
2022,12,Neto,Bournemouth,Brazil,39
2022,14,Emiliano Martínez,Aston Villa,Argentina,38
2022,15,Vicente Guaita,-,Spain,34
2022,16,Kepa,-,Spain,33
2022,17,Keylor Navas,-,Costa Rica,32
2022,17,Nick Pope,Newcastle United,England,32
2022,17,Ederson,Manchester City,Brazil,32
2022,17,Mark Travers,-,Ireland,32
2022,21,Dean Henderson,-,England,31
2022,22,Robert Sánchez,-,Spain,30
2022,23,Fraser Forster,Tottenham Hotspur,England,24
2022,24,Jason Steele,Brighton & Hove Albion,England,23
2022,25,Daniel Iversen,-,Denmark,22
2022,26,Alex McCarthy,-,England,17
2022,27,Édouard Mendy,-,Senegal,14
2022,28,Joel Robles,-,Spain,11
2022,29,Sam Johnstone,Crystal Palace,England,10
2022,30,Robin Olsen,Aston Villa,Sweden,8
2022,31,Alphonse Areola,West Ham United,France,7
2022,32,Wayne Hennessey,Nottingham Forest,Wales,5
2022,32,Joe Whitworth,Crystal Palace,England,5
2022,34,Caoimhín Kelleher,Liverpool,Ireland,4
2022,35,Dan Bentley,Wolverhampton Wanderers,England,3
2022,36,Marek Rodák,Fulham,Slovakia,2
2022,37,Martin Dúbravka,Newcastle United,Slovakia,1
2022,37,Stefan Ortega,Manchester City,Germany,1
2021,1,Illan Meslier,-,France,79
2021,2,Tim Krul,-,Netherlands,62
2021,3,Jordan Pickford,Everton,England,58
2021,3,Kasper Schmeichel,-,Denmark,58
2021,5,David de Gea,-,Spain,57
2021,6,Lukasz Fabianski,West Ham United,Poland,50
2021,7,Ben Foster,-,England,49
2021,8,Emiliano Martínez,Aston Villa,Argentina,48
2021,9,Nick Pope,Burnley,England,47
2021,10,Robert Sánchez,-,Spain,42
2021,11,Hugo Lloris,Tottenham Hotspur,France,40
2021,11,José Sá,Wolverhampton Wanderers,Portugal,40
2021,13,Aaron Ramsdale,Arsenal,England,39
2021,14,Martin Dúbravka,Newcastle United,Slovakia,35
2021,14,Fraser Forster,-,England,35
2021,16,Vicente Guaita,-,Spain,33
2021,17,Édouard Mendy,-,Senegal,31
2021,18,Daniel Bachmann,-,Austria,28
2021,19,Alex McCarthy,-,England,27
2021,19,David Raya,-,Spain,27
2021,21,Ederson,Manchester City,Brazil,26
2021,22,Alisson Becker,Liverpool,Brazil,24
2021,22,Álvaro Fernández,-,Spain,24
2021,24,Angus Gunn,-,Scotland,22
2021,25,Karl Darlow,-,England,15
2021,26,Jack Butland,-,England,13
2021,27,Freddie Woodman,-,England,12
2021,28,Bernd Leno,-,Germany,9
2021,29,Asmir Begovic,-,Bosnia & Herzegovina,8
2021,30,Wayne Hennessey,Burnley,Wales,6
2021,31,Willy Caballero,-,Argentina,5
2021,31,Jonas Lössl,-,Denmark,5
2021,31,Willy Caballero,-,Argentina,5
2021,31,Jonas Lössl,-,Denmark,5
2021,31,Willy Caballero,-,Argentina,5
2021,31,Jonas Lössl,-,Denmark,5
2021,31,Willy Caballero,-,Argentina,5
2021,31,Jonas Lössl,-,Denmark,5
