Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,James Ward-Prowse,-,England,3
2022,2,James Maddison,-,England,2
2022,2,Ivan Toney,Brentford,England,2
2022,4,Trent Alexander-Arnold,Liverpool,England,1
2022,4,Willian,Fulham,Brazil,1
2022,4,Kevin De Bruyne,Manchester City,Belgium,1
2022,4,Lucas Digne,Aston Villa,France,1
2022,4,Ilkay Gündogan,-,Germany,1
2022,4,Alexis Mac Allister,-,Argentina,1
2022,4,Mason Mount,-,England,1
2022,4,Michael Olise,Crystal Palace,France,1
2022,4,Douglas Luiz,Aston Villa,Brazil,1
2022,4,Kieran Trippier,Newcastle United,England,1
2021,1,James Ward-Prowse,Southampton,England,4
2021,1,James Ward-Prowse,Southampton,England,4
2021,2,Kieran Trippier,Newcastle United,England,2
2021,2,Kieran Trippier,Newcastle United,England,2
2021,3,Trent Alexander-Arnold,Liverpool,England,1
2021,3,Marcos Alonso,-,Spain,1
2021,3,Maxwel Cornet,Burnley,Cote D’Ivoire,1
2021,3,Aaron Cresswell,West Ham United,England,1
2021,3,Rúben Neves,-,Portugal,1
2021,3,Raphinha,-,Brazil,1
2021,3,Cristiano Ronaldo,-,Portugal,1
2021,3,James Maddison,-,England,1
2021,3,Trent Alexander-Arnold,Liverpool,England,1
2021,3,Marcos Alonso,-,Spain,1
2021,3,Maxwel Cornet,Burnley,Cote D’Ivoire,1
2021,3,Aaron Cresswell,West Ham United,England,1
2021,3,Rúben Neves,-,Portugal,1
2021,3,Raphinha,-,Brazil,1
2021,3,Cristiano Ronaldo,-,Portugal,1
2021,3,James Maddison,-,England,1
2021,3,Michael Olise,Crystal Palace,France,1
2021,3,Fabian Schär,Newcastle United,Switzerland,1
2021,3,Jonjo Shelvey,-,England,1
2021,3,Son Heung-Min,Tottenham Hotspur,South Korea,1
2021,3,Martin Ødegaard,Arsenal,Norway,1
2020,1,James Ward-Prowse,-,England,4
2020,2,Willian,-,Brazil,1
2020,2,Matheus Pereira,-,Brazil,1
2020,2,Raphinha,-,Brazil,1
2020,2,Eberechi Eze,Crystal Palace,England,1
2020,2,James Maddison,-,England,1
2020,2,Jacob Murphy,Newcastle United,England,1
2020,2,Kalvin Phillips,-,England,1
2020,2,Raheem Sterling,-,England,1
2020,2,Granit Xhaka,-,Switzerland,1
2020,11,Lewis Dunk,Brighton & Hove Albion,England,0
2020,11,Ivan Cavaleiro,-,Angola,0
2019,1,Trent Alexander-Arnold,Liverpool,England,2
2019,1,Riyad Mahrez,-,Algeria,2
2019,1,David Silva,-,Spain,2
2019,1,James Ward-Prowse,-,England,2
2019,1,Harry Wilson,-,Wales,2
2019,1,Trent Alexander-Arnold,Liverpool,England,2
2019,1,Riyad Mahrez,-,Algeria,2
2019,1,David Silva,-,Spain,2
2019,1,James Ward-Prowse,-,England,2
2019,1,Harry Wilson,-,Wales,2
2019,1,Trent Alexander-Arnold,Liverpool,England,2
2019,1,Riyad Mahrez,-,Algeria,2
2019,1,David Silva,-,Spain,2
2019,1,James Ward-Prowse,-,England,2
2019,1,Harry Wilson,-,Wales,2
2019,6,Pierre-Emerick Aubameyang,-,Gabon,1
2019,6,Willian,-,Brazil,1
2019,6,Bruno Fernandes,Manchester United,Portugal,1
2019,6,Aaron Cresswell,West Ham United,England,1
2019,6,Kevin De Bruyne,Manchester City,Belgium,1
2019,6,Pierre-Emerick Aubameyang,-,Gabon,1
2019,6,Willian,-,Brazil,1
2019,6,Bruno Fernandes,Manchester United,Portugal,1
2019,6,Aaron Cresswell,West Ham United,England,1
2019,6,Kevin De Bruyne,Manchester City,Belgium,1
2019,6,Pierre-Emerick Aubameyang,-,Gabon,1
2019,6,Willian,-,Brazil,1
2019,6,Bruno Fernandes,Manchester United,Portugal,1
2019,6,Aaron Cresswell,West Ham United,England,1
2019,6,Kevin De Bruyne,Manchester City,Belgium,1
2019,6,Lewis Dunk,Brighton & Hove Albion,England,1
2019,6,Christian Eriksen,-,Denmark,1
2019,6,Ryan Fraser,-,Scotland,1
2019,6,Pascal Groß,Brighton & Hove Albion,Germany,1
2019,6,Conor Hourihane,-,Ireland,1
2019,6,James Maddison,-,England,1
2019,6,Luka Milivojevic,-,Serbia,1
2019,6,Mason Mount,-,England,1
2019,6,João Moutinho,-,Portugal,1
2019,6,Jonjo Shelvey,-,England,1
2019,6,Lewis Dunk,Brighton & Hove Albion,England,1
2019,6,Christian Eriksen,-,Denmark,1
2019,6,Ryan Fraser,-,Scotland,1
2019,6,Pascal Groß,Brighton & Hove Albion,Germany,1
2019,6,Conor Hourihane,-,Ireland,1
2019,6,James Maddison,-,England,1
2019,6,Luka Milivojevic,-,Serbia,1
2019,6,Mason Mount,-,England,1
2019,6,João Moutinho,-,Portugal,1
2019,6,Jonjo Shelvey,-,England,1
2019,6,Lewis Dunk,Brighton & Hove Albion,England,1
2019,6,Christian Eriksen,-,Denmark,1
2019,6,Ryan Fraser,-,Scotland,1
2019,6,Pascal Groß,Brighton & Hove Albion,Germany,1
2019,6,Conor Hourihane,-,Ireland,1
2019,6,James Maddison,-,England,1
2019,6,Luka Milivojevic,-,Serbia,1
2019,6,Mason Mount,-,England,1
2019,6,João Moutinho,-,Portugal,1
2019,6,Jonjo Shelvey,-,England,1
2019,6,Lewis Dunk,Brighton & Hove Albion,England,1
2019,6,Christian Eriksen,-,Denmark,1
2019,6,Ryan Fraser,-,Scotland,1
2019,6,Pascal Groß,Brighton & Hove Albion,Germany,1
2019,6,Conor Hourihane,-,Ireland,1
2019,6,James Maddison,-,England,1
2019,6,Luka Milivojevic,-,Serbia,1
2019,6,Mason Mount,-,England,1
2019,6,João Moutinho,-,Portugal,1
2019,6,Jonjo Shelvey,-,England,1
2019,6,Lewis Dunk,Brighton & Hove Albion,England,1
2019,6,Christian Eriksen,-,Denmark,1
2019,6,Ryan Fraser,-,Scotland,1
2019,6,Pascal Groß,Brighton & Hove Albion,Germany,1
2019,6,Conor Hourihane,-,Ireland,1
2019,6,James Maddison,-,England,1
2019,6,Luka Milivojevic,-,Serbia,1
2019,6,Mason Mount,-,England,1
2019,6,João Moutinho,-,Portugal,1
2019,6,Jonjo Shelvey,-,England,1
2019,6,Lewis Dunk,Brighton & Hove Albion,England,1
2019,6,Christian Eriksen,-,Denmark,1
2019,6,Ryan Fraser,-,Scotland,1
2019,6,Pascal Groß,Brighton & Hove Albion,Germany,1
2019,6,Conor Hourihane,-,Ireland,1
2019,6,James Maddison,-,England,1
2019,6,Luka Milivojevic,-,Serbia,1
2019,6,Mason Mount,-,England,1
2019,6,João Moutinho,-,Portugal,1
2019,6,Jonjo Shelvey,-,England,1
2019,6,Lewis Dunk,Brighton & Hove Albion,England,1
2019,6,Christian Eriksen,-,Denmark,1
2019,6,Ryan Fraser,-,Scotland,1
2019,6,Pascal Groß,Brighton & Hove Albion,Germany,1
