Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Harry Kane,-,England,10
2022,2,Erling Haaland,Manchester City,Norway,7
2022,3,Aleksandar Mitrovic,-,Serbia,6
2022,4,Gabriel Jesus,Arsenal,Brazil,4
2022,5,Michail Antonio,West Ham United,Jamaica,3
2022,5,Taiwo Awoniyi,Nottingham Forest,Nigeria,3
2022,5,Bobby De Cordova-Reid,Fulham,Jamaica,3
2022,5,Kai Havertz,-,Germany,3
2022,5,Gabriel Martinelli,Arsenal,Brazil,3
2022,5,Kieffer Moore,Bournemouth,Wales,3
2022,5,Rodrigo,-,Spain,3
2022,5,Darwin Núñez,Liverpool,Uruguay,3
2022,5,Marcus Rashford,Manchester United,England,3
2022,5,Ollie Watkins,Aston Villa,England,3
2022,5,Danny Welbeck,Brighton & Hove Albion,England,3
2022,5,Callum Wilson,Newcastle United,England,3
2022,5,Yoane Wissa,Brentford,DR Congo,3
2022,18,Ché Adams,-,Scotland,2
2022,18,Nayef Aguerd,West Ham United,Morocco,2
2022,18,Joelinton,Newcastle United,Brazil,2
2022,18,Jordan Ayew,Crystal Palace,Ghana,2
2022,18,Patrick Bamford,-,England,2
2022,18,Roberto Firmino,-,Brazil,2
2022,18,Emiliano Buendía,Aston Villa,Argentina,2
2022,18,Casemiro,Manchester United,Brazil,2
2022,18,Luis Díaz,Liverpool,Colombia,2
2022,18,Eric Dier,Tottenham Hotspur,England,2
2022,18,Abdoulaye Doucouré,Everton,Mali,2
2022,18,Eberechi Eze,Crystal Palace,England,2
2022,18,Alexander Isak,Newcastle United,Sweden,2
2022,18,João Palhinha,Fulham,Portugal,2
2022,18,Ben Mee,Brentford,England,2
2022,18,Kaoru Mitoma,Brighton & Hove Albion,Japan,2
2022,18,Ivan Toney,Brentford,England,2
2022,18,Virgil van Dijk,Liverpool,Netherlands,2
2022,18,Granit Xhaka,-,Switzerland,2
2022,18,Kurt Zouma,West Ham United,France,2
2022,38,Tosin Adarabioyo,Fulham,England,1
2022,38,Nathan Aké,Manchester City,Netherlands,1
2022,38,Carlos Vinícius,Fulham,Brazil,1
2022,38,Joachim Andersen,Crystal Palace,Denmark,1
2022,38,Jaidon Anthony,-,England,1
2022,38,Luke Ayling,-,England,1
2022,38,Dan Burn,Newcastle United,England,1
2022,38,Duje Caleta-Car,-,Croatia,1
2022,38,Timothy Castagne,-,Belgium,1
2022,38,Liam Cooper,-,Scotland,1
2022,38,Ben Davies,Tottenham Hotspur,Wales,1
2022,38,Richarlison,Tottenham Hotspur,Brazil,1
2022,38,Emmanuel Dennis,-,Nigeria,1
2022,38,Gabriel Magalhães,Arsenal,Brazil,1
2022,38,Lewis Dunk,Brighton & Hove Albion,England,1
2022,38,Odsonne Édouard,Crystal Palace,France,1
2022,38,Mohamed Elyounoussi,-,Norway,1
2022,38,Julio Enciso,Brighton & Hove Albion,Paraguay,1
2022,38,Wout Faes,-,Belgium,1
2022,38,Evan Ferguson,Brighton & Hove Albion,Ireland,1
2022,38,Wesley Fofana,Chelsea,France,1
2022,38,Conor Gallagher,Chelsea,England,1
2022,38,Toti,Wolverhampton Wanderers,Portugal,1
2022,38,Jack Grealish,Manchester City,England,1
2022,38,Bruno Guimarães,Newcastle United,Brazil,1
2022,38,Rodri,Manchester City,Spain,1
2022,38,Kelechi Iheanacho,-,Nigeria,1
2022,38,Vitaly Janelt,Brentford,Germany,1
2022,38,Pontus Jansson,-,Sweden,1
2022,38,Mathias Jensen,Brentford,Denmark,1
2022,38,Cheikhou Kouyaté,Nottingham Forest,Senegal,1
2022,38,Adam Lallana,Brighton & Hove Albion,England,1
2022,38,Alexis Mac Allister,-,Argentina,1
2022,38,Anthony Martial,Manchester United,France,1
2022,38,Lisandro Martínez,Manchester United,Argentina,1
2022,38,Joël Matip,Liverpool,Cameroon,1
2022,38,Yerry Mina,-,Colombia,1
2022,38,Tyrone Mings,Aston Villa,England,1
2022,38,Eddie Nketiah,Arsenal,England,1
2022,38,Amadou Onana,Everton,Belgium,1
2022,38,Alex Oxlade-Chamberlain,-,England,1
2022,38,Mohamed Salah,Liverpool,Egypt,1
2022,38,William Saliba,Arsenal,France,1
2022,38,Marcos Senesi,Bournemouth,Argentina,1
2022,38,Ryan Sessegnon,Tottenham Hotspur,England,1
2022,38,Lyanco,-,Brazil,1
2022,38,Luis Sinisterra,-,Colombia,1
2022,38,Manor Solomon,-,Israel,1
2022,38,John Stones,Manchester City,England,1
2022,38,Pascal Struijk,-,Netherlands,1
2022,38,James Tarkowski,Everton,England,1
2022,38,Diogo Jota,Liverpool,Portugal,1
2022,38,Kenny Tete,Fulham,Netherlands,1
2022,38,Lucas Paquetá,West Ham United,Brazil,1
2022,38,James Tomkins,Crystal Palace,England,1
2022,38,Adama Traoré,-,Spain,1
2022,38,James Ward-Prowse,-,England,1
2022,38,Joe Willock,Newcastle United,England,1
2022,38,Joe Worrall,Nottingham Forest,England,1
2022,97,Elliot Anderson,-,Scotland,0
2022,97,Danny Ings,West Ham United,England,0
2022,97,Ryan Yates,Nottingham Forest,England,0
2021,1,Harry Kane,-,England,4
2021,1,Diogo Jota,Liverpool,Portugal,4
2021,1,Danny Welbeck,Brighton & Hove Albion,England,4
2021,4,Conor Coady,-,England,3
2021,4,Emmanuel Dennis,-,Nigeria,3
2021,4,Gabriel Magalhães,Arsenal,Brazil,3
2021,4,Thiago Silva,Chelsea,Brazil,3
2021,4,Kai Havertz,-,Germany,3
2021,4,Sadio Mané,-,Senegal,3
2021,4,Ben Mee,Burnley,England,3
2021,4,Raheem Sterling,-,England,3
2021,4,Jamie Vardy,-,England,3
2021,4,Callum Wilson,Newcastle United,England,3
2021,14,Ché Adams,-,Scotland,2
2021,14,Jan Bednarek,-,Poland,2
2021,14,Jarrod Bowen,West Ham United,England,2
2021,14,Dominic Calvert-Lewin,Everton,England,2
2021,14,Trevoh Chalobah,Chelsea,England,2
2021,14,Richarlison,-,Brazil,2
2021,14,Cristiano Ronaldo,-,Portugal,2
2021,14,Ilkay Gündogan,-,Germany,2
2021,14,Rico Henry,Brentford,England,2
2021,14,Rodri,Manchester City,Spain,2
2021,14,Daniel James,-,Wales,2
2021,14,Pontus Jansson,-,Sweden,2
2021,14,Michael Keane,Everton,England,2
2021,14,Aymeric Laporte,-,Spain,2
2021,14,Romelu Lukaku,-,Belgium,2
2021,14,Jean-Philippe Mateta,Crystal Palace,France,2
2021,14,Andy Robertson,Liverpool,Scotland,2
2021,14,Ivan Toney,Brentford,England,2
2021,14,Virgil van Dijk,Liverpool,Netherlands,2
2021,14,Chris Wood,-,New Zealand,2
2021,34,Rayan Aït-Nouri,Wolverhampton Wanderers,Algeria,1
2021,34,Nathan Aké,Manchester City,Netherlands,1
2021,34,Michail Antonio,West Ham United,Jamaica,1
2021,34,Joelinton,Newcastle United,Brazil,1
2021,34,Stuart Armstrong,-,Scotland,1
2021,34,Jordan Ayew,Crystal Palace,Ghana,1
2021,34,Ricardo Pereira,-,Portugal,1
2021,34,Ross Barkley,Chelsea,England,1
