Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Erling Haaland,Manchester City,Norway,7
2022,2,Alexis Mac Allister,-,Argentina,6
2022,2,Ivan Toney,Brentford,England,6
2022,4,Harry Kane,-,England,5
2022,5,Saïd Benrahma,West Ham United,Algeria,4
2022,5,Aleksandar Mitrovic,-,Serbia,4
2022,7,Rúben Neves,-,Portugal,3
2022,7,Callum Wilson,Newcastle United,England,3
2022,9,Bruno Fernandes,Manchester United,Portugal,2
2022,9,Jorginho,Arsenal,Italy,2
2022,9,Morgan Gibbs-White,Nottingham Forest,England,2
2022,9,Demarai Gray,-,Jamaica,2
2022,9,Danny Ings,West Ham United,England,2
2022,9,Alexander Isak,Newcastle United,Sweden,2
2022,9,Bukayo Saka,Arsenal,England,2
2022,9,Mohamed Salah,Liverpool,Egypt,2
2022,9,James Ward-Prowse,-,England,2
2022,18,Julián Álvarez,Manchester City,Argentina,1
2022,18,Jarrod Bowen,West Ham United,England,1
2022,18,Dominic Calvert-Lewin,Everton,England,1
2022,18,Gabriel Jesus,Arsenal,Brazil,1
2022,18,Eberechi Eze,Crystal Palace,England,1
2022,18,Kai Havertz,-,Germany,1
2022,18,Andreas Pereira,Fulham,Brazil,1
2022,18,Kelechi Iheanacho,-,Nigeria,1
2022,18,Brennan Johnson,-,Wales,1
2022,18,James Maddison,-,England,1
2022,18,Riyad Mahrez,-,Algeria,1
2022,18,Anthony Martial,Manchester United,France,1
2022,18,Bryan Mbeumo,Brentford,Cameroon,1
2022,18,Rodrigo,-,Spain,1
2022,18,Youri Tielemans,-,Belgium,1
2022,18,Lucas Paquetá,West Ham United,Brazil,1
2022,18,Ollie Watkins,Aston Villa,England,1
2022,18,Chris Wood,-,New Zealand,1
2021,1,Jorginho,-,Italy,6
2021,2,Mohamed Salah,Liverpool,Egypt,5
2021,2,Ivan Toney,Brentford,England,5
2021,2,Wilfried Zaha,-,Cote D’Ivoire,5
2021,5,Raphinha,-,Brazil,4
2021,5,Harry Kane,-,England,4
2021,5,Riyad Mahrez,-,Algeria,4
2021,5,James Ward-Prowse,Southampton,England,4
2021,9,Richarlison,-,Brazil,3
2021,9,Cristiano Ronaldo,-,Portugal,3
2021,9,Manuel Lanzini,-,Argentina,3
2021,9,Teemu Pukki,-,Finland,3
2021,13,Dominic Calvert-Lewin,Everton,England,2
2021,13,Alexandre Lacazette,-,France,2
2021,13,Alexis Mac Allister,-,Argentina,2
2021,13,Bukayo Saka,Arsenal,England,2
2021,13,Raheem Sterling,-,England,2
2021,13,Fabinho,-,Brazil,2
2021,13,Youri Tielemans,-,Belgium,2
2021,13,Callum Wilson,Newcastle United,England,2
2021,21,Dele Alli,Everton,England,1
2021,21,Ashley Barnes,-,England,1
2021,21,Gabriel Jesus,-,Brazil,1
2021,21,Odsonne Édouard,Crystal Palace,France,1
2021,21,Anwar El Ghazi,-,Netherlands,1
2021,21,Danny Ings,-,England,1
2021,21,Raúl Jiménez,-,Mexico,1
2021,21,Joshua King,-,Norway,1
2021,21,Romelu Lukaku,-,Belgium,1
2021,21,Gabriel Martinelli,Arsenal,Brazil,1
2021,21,Neal Maupay,Brighton & Hove Albion,France,1
2021,21,Bryan Mbeumo,Brentford,Cameroon,1
2021,21,Rodrigo,-,Spain,1
2021,21,Mason Mount,-,England,1
2021,21,Mark Noble,-,England,1
2021,21,Andros Townsend,-,England,1
2021,21,Leandro Trossard,Brighton & Hove Albion,Belgium,1
2021,21,Ollie Watkins,Aston Villa,England,1
2021,21,Chris Wood,-,New Zealand,1
2020,1,Bruno Fernandes,Manchester United,Portugal,9
2020,2,Jamie Vardy,-,England,8
2020,3,Jorginho,-,Italy,7
2020,4,Mohamed Salah,Liverpool,Egypt,6
2020,5,Matheus Pereira,-,Brazil,4
2020,5,Anwar El Ghazi,-,Netherlands,4
2020,5,Harry Kane,-,England,4
2020,5,Callum Wilson,Newcastle United,England,4
2020,9,Rúben Neves,-,Portugal,3
2020,9,Pascal Groß,Brighton & Hove Albion,Germany,3
2020,9,Alexandre Lacazette,-,France,3
2020,9,Neal Maupay,-,France,3
2020,9,Gylfi Sigurdsson,-,Iceland,3
2020,9,James Ward-Prowse,-,England,3
2020,15,Pierre-Emerick Aubameyang,-,Gabon,2
2020,15,Patrick Bamford,-,England,2
2020,15,Kevin De Bruyne,Manchester City,Belgium,2
2020,15,Danny Ings,-,England,2
2020,15,Mateusz Klich,-,Poland,2
2020,15,Billy Sharp,-,England,2
2020,15,Youri Tielemans,-,Belgium,2
2020,15,Chris Wood,-,New Zealand,2
2020,15,Wilfried Zaha,-,Cote D’Ivoire,2
2020,24,Sergio Agüero,-,Argentina,1
