Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Ethan Pinnock,Brentford,Jamaica,131
2022,2,James Tarkowski,Everton,England,119
2022,3,Joachim Andersen,Crystal Palace,Denmark,110
2022,4,Maximilian Kilman,Wolverhampton Wanderers,England,101
2022,5,Tyrone Mings,Aston Villa,England,89
2022,6,Chris Mepham,Bournemouth,Wales,80
2022,7,Robin Koch,-,Germany,78
2022,8,Tosin Adarabioyo,Fulham,England,71
2022,9,Gabriel Magalhães,Arsenal,Brazil,70
2022,10,Dan Burn,Newcastle United,England,67
2022,10,Marcos Senesi,Bournemouth,Argentina,67
2022,12,Mohammed Salisu,-,Ghana,65
2022,13,Thiago Silva,Chelsea,Brazil,64
2022,13,Ben Mee,Brentford,England,64
2022,15,Eric Dier,Tottenham Hotspur,England,63
2022,15,Fabian Schär,Newcastle United,Switzerland,63
2022,17,Marc Guéhi,Crystal Palace,England,61
2022,17,Cristian Romero,Tottenham Hotspur,Argentina,61
2022,17,Virgil van Dijk,Liverpool,Netherlands,61
2022,17,Raphaël Varane,Manchester United,France,61
2022,17,Kurt Zouma,West Ham United,France,61
2022,22,Craig Dawson,Wolverhampton Wanderers,England,58
2022,23,Armel Bella-Kotchap,-,Germany,56
2022,23,Tim Ream,Fulham,United States,56
2022,25,Issa Diop,Fulham,France,55
2022,26,Timothy Castagne,-,Belgium,54
2022,26,Wout Faes,-,Belgium,54
2022,26,Ezri Konsa,Aston Villa,England,54
2022,29,Joe Worrall,Nottingham Forest,England,53
2022,30,Jefferson Lerma,-,Colombia,51
2022,31,Antonee Robinson,Fulham,United States,47
2022,31,Ben White,Arsenal,England,47
2022,33,Daniel Amartey,-,Ghana,46
2022,33,Nathan Collins,-,Ireland,46
2022,33,Lisandro Martínez,Manchester United,Argentina,46
2022,33,Vitaliy Mykolenko,Everton,Ukraine,46
2022,37,Kieran Trippier,Newcastle United,England,45
2022,37,Joel Ward,Crystal Palace,England,45
2022,39,Sèrge Aurier,Nottingham Forest,Cote D’Ivoire,44
2022,39,Jan Bednarek,-,Poland,44
2022,39,Sven Botman,Newcastle United,Netherlands,44
2022,39,Felipe,Nottingham Forest,Brazil,44
2022,39,Thilo Kehrer,-,Germany,44
2022,39,Adam Smith,Bournemouth,England,44
2022,45,Clément Lenglet,-,France,43
2022,45,Kenny Tete,Fulham,Netherlands,43
2022,47,Casemiro,Manchester United,Brazil,42
2022,47,Lewis Dunk,Brighton & Hove Albion,England,42
2022,47,William Saliba,Arsenal,France,42
2022,47,Tomás Soucek,West Ham United,Czech Republic,42
2022,51,Conor Coady,-,England,41
2022,51,Rúben Neves,-,Portugal,41
2022,53,Nélson Semedo,Wolverhampton Wanderers,Portugal,40
2022,53,Lloyd Kelly,Bournemouth,England,40
2022,55,Angelo Ogbonna,West Ham United,Italy,39
2022,56,Philip Billing,Bournemouth,Denmark,38
2022,57,Nayef Aguerd,West Ham United,Morocco,37
2022,57,Scott McKenna,Nottingham Forest,Scotland,37
2022,59,Ben Davies,Tottenham Hotspur,Wales,36
2022,59,Emerson Royal,Tottenham Hotspur,Brazil,36
2022,61,Michael Keane,Everton,England,35
2022,61,Victor Lindelöf,Manchester United,Sweden,35
2022,61,Harry Souttar,-,Australia,35
2022,64,Rico Henry,Brentford,England,34
2022,64,Dominic Solanke,Bournemouth,England,34
2022,64,Ashley Young,-,England,34
2022,67,Nathan Aké,Manchester City,Netherlands,33
2022,67,Scott McTominay,Manchester United,Scotland,33
2022,67,Pascal Struijk,-,Netherlands,33
2022,67,Ollie Watkins,Aston Villa,England,33
2022,71,Trevoh Chalobah,Chelsea,England,32
2022,71,Kai Havertz,-,Germany,32
2022,71,Renan Lodi,-,Brazil,32
2022,71,Tyrick Mitchell,Crystal Palace,England,32
2022,71,Declan Rice,-,England,32
2022,76,Luke Ayling,-,England,31
2022,76,João Palhinha,Fulham,Portugal,31
2022,78,Liam Cooper,-,Scotland,30
2022,78,Joël Matip,Liverpool,Cameroon,30
2022,78,John Stones,Manchester City,England,30
2022,81,Luke Shaw,Manchester United,England,29
2022,81,Lyanco,-,Brazil,29
2022,83,Duje Caleta-Car,-,Croatia,28
2022,83,Vladimír Coufal,West Ham United,Czech Republic,28
2022,83,Diogo Dalot,Manchester United,Portugal,28
2022,83,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,28
2022,83,Jack Stephens,-,England,28
2022,83,Adam Webster,Brighton & Hove Albion,England,28
2022,83,Maximilian Wöber,-,Austria,28
2022,90,Rúben Dias,Manchester City,Portugal,27
2022,90,Jonny Evans,-,Northern Ireland,27
2022,90,Ibrahima Konaté,Liverpool,France,27
2022,90,Kalidou Koulibaly,-,Senegal,27
2022,90,Harry Maguire,Manchester United,England,27
2022,90,Ivan Toney,Brentford,England,27
2022,90,Ryan Yates,Nottingham Forest,England,27
2022,97,Wilfred Ndidi,-,Nigeria,26
2022,97,Ivan Perisic,Tottenham Hotspur,Croatia,26
2022,97,Fabinho,-,Brazil,26
2022,100,Séamus Coleman,Everton,Ireland,25
2021,1,Grant Hanley,-,Scotland,109
2021,2,James Tarkowski,Burnley,England,101
2021,3,Pontus Jansson,-,Sweden,98
2021,4,Eric Dier,Tottenham Hotspur,England,91
2021,4,Ethan Pinnock,Brentford,Jamaica,91
2021,6,Dan Burn,Newcastle United,England,88
2021,7,Craig Dawson,West Ham United,England,84
