Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Emiliano Martínez,Aston Villa,Argentina,60
2022,2,David Raya,-,Spain,52
2022,3,José Sá,Wolverhampton Wanderers,Portugal,43
2022,4,Gavin Bazunu,-,Ireland,36
2022,5,Bernd Leno,Fulham,Germany,35
2022,6,Illan Meslier,-,France,34
2022,6,Neto,Bournemouth,Brazil,34
2022,6,Nick Pope,Newcastle United,England,34
2022,9,Lukasz Fabianski,West Ham United,Poland,29
2022,10,Vicente Guaita,-,Spain,26
2022,11,Alisson Becker,Liverpool,Brazil,23
2022,12,Jordan Pickford,Everton,England,22
2022,12,Aaron Ramsdale,Arsenal,England,22
2022,14,Dean Henderson,-,England,20
2022,14,Hugo Lloris,Tottenham Hotspur,France,20
2022,14,Danny Ward,-,Wales,20
2022,17,Ederson,Manchester City,Brazil,19
2022,18,Robert Sánchez,-,Spain,17
2022,19,Daniel Iversen,-,Denmark,16
2022,20,Kepa,-,Spain,15
2022,20,David de Gea,-,Spain,15
2022,22,Keylor Navas,-,Costa Rica,14
2022,23,Jason Steele,Brighton & Hove Albion,England,10
2022,24,Édouard Mendy,-,Senegal,9
2022,25,Alex McCarthy,-,England,6
2022,26,Dan Bentley,Wolverhampton Wanderers,England,5
2022,26,Fraser Forster,Tottenham Hotspur,England,5
2022,26,Robin Olsen,Aston Villa,Sweden,5
2022,26,Mark Travers,-,Ireland,5
2022,30,Alphonse Areola,West Ham United,France,2
2022,30,Sam Johnstone,Crystal Palace,England,2
2022,30,Joel Robles,-,Spain,2
2022,33,Asmir Begovic,-,Bosnia & Herzegovina,1
2022,33,Martin Dúbravka,Newcastle United,Slovakia,1
2022,33,Wayne Hennessey,Nottingham Forest,Wales,1
2022,33,Stefan Ortega,Manchester City,Germany,1
2022,33,Marek Rodák,Fulham,Slovakia,1
2022,33,Joe Whitworth,Crystal Palace,England,1
2021,1,Robert Sánchez,-,Spain,60
2021,2,Nick Pope,Burnley,England,46
2021,3,José Sá,Wolverhampton Wanderers,Portugal,43
2021,4,Emiliano Martínez,Aston Villa,Argentina,34
2021,5,Hugo Lloris,Tottenham Hotspur,France,33
2021,6,Lukasz Fabianski,West Ham United,Poland,28
2021,6,Édouard Mendy,-,Senegal,28
2021,8,David Raya,-,Spain,27
2021,9,Aaron Ramsdale,Arsenal,England,26
2021,10,Illan Meslier,-,France,23
2021,10,Jordan Pickford,Everton,England,23
2021,12,Alisson Becker,Liverpool,Brazil,22
2021,12,Alex McCarthy,-,England,22
2021,14,Martin Dúbravka,Newcastle United,Slovakia,21
2021,14,Ederson,Manchester City,Brazil,21
2021,16,Ben Foster,-,England,20
2021,17,Fraser Forster,-,England,18
