Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Bruno Fernandes,Manchester United,Portugal,5
2022,1,Erling Haaland,Manchester City,Norway,5
2022,1,Darwin Núñez,Liverpool,Uruguay,5
2022,1,Son Heung-Min,Tottenham Hotspur,South Korea,5
2022,1,Ollie Watkins,Aston Villa,England,5
2022,6,Brenden Aaronson,-,United States,4
2022,6,Joelinton,Newcastle United,Brazil,4
2022,6,Leon Bailey,Aston Villa,Jamaica,4
2022,6,Saïd Benrahma,West Ham United,Algeria,4
2022,6,Emiliano Buendía,Aston Villa,Argentina,4
2022,6,Antony,Manchester United,Brazil,4
2022,6,Andreas Pereira,Fulham,Brazil,4
2022,6,Mohamed Salah,Liverpool,Egypt,4
2022,6,Ivan Toney,Brentford,England,4
2022,6,Callum Wilson,Newcastle United,England,4
2022,16,Miguel Almirón,Newcastle United,Paraguay,3
2022,16,Jarrod Bowen,West Ham United,England,3
2022,16,Evan Ferguson,Brighton & Hove Albion,Ireland,3
2022,16,Alejandro Garnacho,Manchester United,Argentina,3
2022,16,Ilkay Gündogan,-,Germany,3
2022,16,Gabriel Martinelli,Arsenal,Brazil,3
2022,16,Ivan Perisic,Tottenham Hotspur,Croatia,3
2022,16,Bukayo Saka,Arsenal,England,3
2022,16,Raheem Sterling,Chelsea,England,3
2022,16,Youri Tielemans,-,Belgium,3
2022,16,Leandro Trossard,Arsenal,Belgium,3
2022,16,Wilfried Zaha,-,Cote D’Ivoire,3
2022,28,Ché Adams,-,Scotland,2
2022,28,Nathan Aké,Manchester City,Netherlands,2
2022,28,Michail Antonio,West Ham United,Jamaica,2
2022,28,Taiwo Awoniyi,Nottingham Forest,Nigeria,2
2022,28,Willian,Fulham,Brazil,2
2022,28,Moisés Caicedo,-,Ecuador,2
2022,28,Rúben Neves,-,Portugal,2
2022,28,Richarlison,Tottenham Hotspur,Brazil,2
2022,28,Bobby De Cordova-Reid,Fulham,Jamaica,2
2022,28,Gabriel Jesus,Arsenal,Brazil,2
2022,28,Luis Díaz,Liverpool,Colombia,2
2022,28,Julio Enciso,Brighton & Hove Albion,Paraguay,2
2022,28,João Félix,-,Portugal,2
2022,28,Jack Grealish,Manchester City,England,2
2022,28,Bruno Guimarães,Newcastle United,Brazil,2
2022,28,Jordan Henderson,-,England,2
2022,28,Kelechi Iheanacho,-,Nigeria,2
2022,28,Daniel James,-,Wales,2
2022,28,Brennan Johnson,-,Wales,2
2022,28,Harry Kane,-,England,2
2022,28,Bryan Mbeumo,Brentford,Cameroon,2
2022,28,Kaoru Mitoma,Brighton & Hove Albion,Japan,2
2022,28,Jacob Murphy,Newcastle United,England,2
2022,28,Michael Olise,Crystal Palace,France,2
2022,28,Thomas Partey,Arsenal,Ghana,2
2022,28,Christian Pulisic,-,United States,2
2022,28,Jacob Ramsey,Aston Villa,England,2
2022,28,Marcus Rashford,Manchester United,England,2
2022,28,Cristian Romero,Tottenham Hotspur,Argentina,2
2022,28,Fabian Schär,Newcastle United,Switzerland,2
