Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Declan Rice,-,England,63
2022,2,Moisés Caicedo,-,Ecuador,56
2022,2,Cheick Doucouré,Crystal Palace,Mali,56
2022,2,Idrissa Gueye,Everton,Senegal,56
2022,5,James Ward-Prowse,-,England,55
2022,6,Tyrone Mings,Aston Villa,England,54
2022,7,Antonee Robinson,Fulham,United States,53
2022,7,Tomás Soucek,West Ham United,Czech Republic,53
2022,9,Fabian Schär,Newcastle United,Switzerland,52
2022,9,Kenny Tete,Fulham,Netherlands,52
2022,11,Jan Bednarek,-,Poland,51
2022,11,James Tarkowski,Everton,England,51
2022,13,Rúben Neves,-,Portugal,50
2022,14,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,49
2022,15,Joelinton,Newcastle United,Brazil,48
2022,15,Ben Mee,Brentford,England,48
2022,17,Jefferson Lerma,-,Colombia,47
2022,18,João Palhinha,Fulham,Portugal,46
2022,18,Vitaliy Mykolenko,Everton,Ukraine,46
2022,20,Marc Guéhi,Crystal Palace,England,45
2022,21,Armel Bella-Kotchap,-,Germany,44
2022,21,Cristian Romero,Tottenham Hotspur,Argentina,44
2022,23,Trent Alexander-Arnold,Liverpool,England,43
2022,23,Timothy Castagne,-,Belgium,43
2022,23,Robin Koch,-,Germany,43
2022,23,Marcos Senesi,Bournemouth,Argentina,43
2022,23,Kieran Trippier,Newcastle United,England,43
2022,28,Tyrick Mitchell,Crystal Palace,England,42
2022,29,Wout Faes,-,Belgium,41
2022,29,Tim Ream,Fulham,United States,41
2022,31,Douglas Luiz,Aston Villa,Brazil,40
2022,32,Vladimír Coufal,West Ham United,Czech Republic,38
2022,32,Wilfred Ndidi,-,Nigeria,38
2022,34,Diogo Dalot,Manchester United,Portugal,37
2022,34,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,37
2022,34,Amadou Onana,Everton,Belgium,37
2022,34,Fabinho,-,Brazil,37
2022,38,Jarrod Bowen,West Ham United,England,36
2022,38,Felipe,Nottingham Forest,Brazil,36
2022,38,Bruno Guimarães,Newcastle United,Brazil,36
2022,38,Luke Shaw,Manchester United,England,36
2022,42,Tyler Adams,-,United States,35
2022,42,Eric Dier,Tottenham Hotspur,England,35
2022,42,Issa Diop,Fulham,France,35
2022,42,Rasmus Kristensen,-,Denmark,35
2022,42,Ethan Pinnock,Brentford,Jamaica,35
2022,47,Sven Botman,Newcastle United,Netherlands,34
2022,47,Casemiro,Manchester United,Brazil,34
2022,47,Liam Cooper,-,Scotland,34
2022,47,Lewis Dunk,Brighton & Hove Albion,England,34
2022,47,Thiago Silva,Chelsea,Brazil,34
2022,47,Thilo Kehrer,-,Germany,34
2022,47,Christian Nørgaard,Brentford,Denmark,34
2022,54,Rodri,Manchester City,Spain,33
2022,54,Roméo Lavia,-,Belgium,33
2022,54,Renan Lodi,-,Brazil,33
2022,54,Lisandro Martínez,Manchester United,Argentina,33
2022,54,Boubakary Soumaré,-,France,33
2022,54,Neco Williams,Nottingham Forest,Wales,33
2022,60,Dan Burn,Newcastle United,England,32
2022,60,Gabriel Magalhães,Arsenal,Brazil,32
2022,60,Mathias Jensen,Brentford,Denmark,32
2022,60,Pascal Struijk,-,Netherlands,32
2022,64,Philip Billing,Bournemouth,Denmark,31
2022,64,Dwight McNeil,Everton,England,31
2022,64,Mohammed Salisu,-,Ghana,31
2022,64,Virgil van Dijk,Liverpool,Netherlands,31
2022,68,Jorginho,Arsenal,Italy,30
2022,68,Rico Henry,Brentford,England,30
2022,68,Chris Mepham,Bournemouth,Wales,30
2022,68,Kurt Zouma,West Ham United,France,30
2022,72,Sèrge Aurier,Nottingham Forest,Cote D’Ivoire,29
2022,72,Nélson Semedo,Wolverhampton Wanderers,Portugal,29
2022,72,Wesley Fofana,Chelsea,France,29
2022,72,Remo Freuler,-,Switzerland,29
2022,72,Vitaly Janelt,Brentford,Germany,29
2022,72,Kalidou Koulibaly,-,Senegal,29
2022,78,Kiernan Dewsbury-Hall,-,England,28
2022,78,Thomas Partey,Arsenal,Ghana,28
2022,78,Youri Tielemans,-,Belgium,28
2022,81,Aaron Cresswell,West Ham United,England,27
2022,81,Mohamed Elyounoussi,-,Norway,27
2022,81,Lloyd Kelly,Bournemouth,England,27
2022,81,Luke Thomas,-,England,27
2022,81,Kyle Walker-Peters,-,England,27
2022,81,Maximilian Wöber,-,Austria,27
2022,87,Tosin Adarabioyo,Fulham,England,26
2022,87,Luke Ayling,-,England,26
2022,87,Matty Cash,Aston Villa,Poland,26
2022,87,Ibrahima Konaté,Liverpool,France,26
2022,87,Ezri Konsa,Aston Villa,England,26
2022,87,Michael Olise,Crystal Palace,France,26
2022,87,Joe Worrall,Nottingham Forest,England,26
2022,94,Bruno Fernandes,Manchester United,Portugal,25
2022,94,Ryan Christie,Bournemouth,Scotland,25
2022,94,Alex Iwobi,-,Nigeria,25
2022,94,Tyrell Malacia,Manchester United,Netherlands,25
2022,94,Adam Smith,Bournemouth,England,25
2022,94,Joel Ward,Crystal Palace,England,25
2022,94,Joe Willock,Newcastle United,England,25
2021,1,Mohammed Salisu,-,Ghana,78
2021,2,Jan Bednarek,-,Poland,72
2021,3,Hassane Kamara,-,Cote D’Ivoire,69
2021,4,Josh Brownhill,Burnley,England,68
2021,5,Christian Nørgaard,Brentford,Denmark,64
2021,6,Declan Rice,-,England,63
2021,7,Michael Keane,Everton,England,62
2021,8,João Cancelo,-,Portugal,59
2021,9,Romain Saïss,-,Morocco,58
2021,9,Charlie Taylor,Burnley,England,58
2021,11,Stuart Dallas,-,Northern Ireland,57
2021,12,Grant Hanley,-,Scotland,56
2021,13,Pontus Jansson,-,Sweden,52
2021,13,Tomás Soucek,West Ham United,Czech Republic,52
2021,15,Oriol Romeu,-,Spain,51
2021,16,Yves Bissouma,Brighton & Hove Albion,Mali,50
2021,17,Matty Cash,Aston Villa,Poland,49
2021,17,James Tarkowski,Burnley,England,49
2021,19,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,48
2021,19,Matt Targett,Newcastle United,England,48
2021,21,Tino Livramento,-,England,47
2021,21,Tino Livramento,-,England,47
2021,21,Tino Livramento,-,England,47
2021,22,Tyrone Mings,Aston Villa,England,46
2021,22,Tyrone Mings,Aston Villa,England,46
2021,22,Tyrone Mings,Aston Villa,England,46
2021,23,Maximilian Kilman,Wolverhampton Wanderers,England,45
2021,23,Joël Veltman,Brighton & Hove Albion,Netherlands,45
2021,23,Maximilian Kilman,Wolverhampton Wanderers,England,45
2021,23,Joël Veltman,Brighton & Hove Albion,Netherlands,45
2021,23,Maximilian Kilman,Wolverhampton Wanderers,England,45
2021,23,Joël Veltman,Brighton & Hove Albion,Netherlands,45
2021,25,Dan Burn,Newcastle United,England,44
2021,25,Thiago Silva,Chelsea,Brazil,44
2021,25,Joël Matip,Liverpool,Cameroon,44
2021,25,Ethan Pinnock,Brentford,Jamaica,44
2021,25,Brandon Williams,-,England,44
2021,25,Dan Burn,Newcastle United,England,44
2021,25,Thiago Silva,Chelsea,Brazil,44
2021,25,Joël Matip,Liverpool,Cameroon,44
2021,25,Ethan Pinnock,Brentford,Jamaica,44
2021,25,Brandon Williams,-,England,44
2021,25,Dan Burn,Newcastle United,England,44
2021,25,Thiago Silva,Chelsea,Brazil,44
2021,25,Joël Matip,Liverpool,Cameroon,44
2021,25,Ethan Pinnock,Brentford,Jamaica,44
2021,25,Brandon Williams,-,England,44
2021,30,Trent Alexander-Arnold,Liverpool,England,43
2021,30,Trent Alexander-Arnold,Liverpool,England,43
2021,30,Trent Alexander-Arnold,Liverpool,England,43
2021,30,Marcos Alonso,-,Spain,43
2021,30,Samir,-,Brazil,43
2021,30,Liam Cooper,-,Scotland,43
2021,34,Imrân Louza,-,Morocco,42
2021,34,Wilfred Ndidi,-,Nigeria,42
2021,34,Ben White,Arsenal,England,42
2021,37,Rúben Neves,-,Portugal,41
2021,37,Tyrick Mitchell,Crystal Palace,England,41
2021,39,Luke Thomas,-,England,40
2021,39,James Ward-Prowse,Southampton,England,40
2021,39,Diego Llorente,-,Spain,40
2021,39,Fabinho,-,Brazil,40
2021,43,Cheikhou Kouyaté,-,Senegal,38
2021,44,Joachim Andersen,Crystal Palace,Denmark,37
2021,44,Lucas Digne,Aston Villa,France,37
2021,44,Kiko Femenía,-,Spain,37
2021,44,Kyle Walker-Peters,-,England,37
2021,48,Jorginho,-,Italy,36
2021,49,Aaron Cresswell,West Ham United,England,35
2021,49,John McGinn,Aston Villa,Scotland,35
2021,71,Marc Cucurella,Brighton & Hove Albion,Spain,30
2021,71,Ben Davies,Tottenham Hotspur,Wales,30
2021,71,Marc Guéhi,Crystal Palace,England,30
2021,71,James McArthur,-,Scotland,30
2021,71,Davinson Sánchez,-,Colombia,30
2021,71,Moussa Sissoko,-,France,30
2021,71,Ashley Westwood,-,England,30
2021,78,Timothy Castagne,-,Belgium,29
2021,78,Andreas Christensen,-,Denmark,29
2021,78,Diogo Dalot,Manchester United,Portugal,29
2021,78,Craig Dawson,West Ham United,England,29
2021,78,Raphinha,-,Brazil,29
2021,78,Conor Gallagher,Chelsea,England,29
2021,84,Max Aarons,-,England,28
2021,84,Luke Ayling,-,England,28
2021,84,Craig Cathcart,-,Northern Ireland,28
2021,84,Conor Coady,-,England,28
2021,84,Abdoulaye Doucouré,Everton,Mali,28
2021,84,Rodri,Manchester City,Spain,28
2021,84,Vitaly Janelt,Brentford,Germany,28
2021,84,Marçal,-,Brazil,28
2021,84,Antonio Rüdiger,-,Germany,28
