Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,David de Gea,-,Spain,"3,420"
2022,1,Aaron Ramsdale,Arsenal,England,"3,420"
2022,1,David Raya,-,Spain,"3,420"
2022,1,James Tarkowski,Everton,England,"3,420"
2022,5,Gabriel Magalhães,Arsenal,Brazil,"3,411"
2022,6,Harry Kane,-,England,"3,406"
2022,7,Alex Iwobi,-,Nigeria,"3,381"
2022,8,James Ward-Prowse,-,England,"3,372"
2022,9,Kieran Trippier,Newcastle United,England,"3,347"
2022,10,Alisson Becker,Liverpool,Brazil,"3,330"
2022,10,Jordan Pickford,Everton,England,"3,330"
2022,12,Marc Guéhi,Crystal Palace,England,"3,329"
2022,13,Ezri Konsa,Aston Villa,England,"3,323"
2022,14,Bruno Fernandes,Manchester United,Portugal,"3,318"
2022,15,Maximilian Kilman,Wolverhampton Wanderers,England,"3,308"
2022,16,Mohamed Salah,Liverpool,Egypt,"3,294"
2022,17,Ben Mee,Brentford,England,"3,272"
2022,17,Declan Rice,-,England,"3,272"
2022,19,Nick Pope,Newcastle United,England,"3,262"
2022,20,Timothy Castagne,-,Belgium,"3,256"
2022,22,Pascal Groß,Brighton & Hove Albion,Germany,"3,245"
2022,22,Rico Henry,Brentford,England,"3,244"
2022,23,Bernd Leno,Fulham,Germany,"3,240"
2022,23,José Sá,Wolverhampton Wanderers,Portugal,"3,240"
2022,25,Lewis Dunk,Brighton & Hove Albion,England,"3,239"
2022,26,Jarrod Bowen,West Ham United,England,"3,236"
2022,27,Fabian Schär,Newcastle United,Switzerland,"3,209"
2022,28,Bukayo Saka,Arsenal,England,"3,191"
2022,29,Robin Koch,-,Germany,"3,177"
2022,30,Jefferson Lerma,-,Colombia,"3,165"
2022,31,Morgan Gibbs-White,Nottingham Forest,England,"3,157"
2022,32,Tyrone Mings,Aston Villa,England,"3,150"
2022,32,Ederson,Manchester City,Brazil,"3,150"
2022,34,Martin Ødegaard,Arsenal,Norway,"3,143"
2022,35,Moisés Caicedo,-,Ecuador,"3,140"
2022,35,Emiliano Martínez,Aston Villa,Argentina,"3,140"
2022,37,Ollie Watkins,Aston Villa,England,"3,134"
2022,38,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,"3,133"
2022,39,Sven Botman,Newcastle United,Netherlands,"3,129"
2022,40,Dan Burn,Newcastle United,England,"3,115"
2022,41,Lukasz Fabianski,West Ham United,Poland,"3,113"
2022,41,João Palhinha,Fulham,Portugal,"3,113"
2022,43,Antonee Robinson,Fulham,United States,"3,089"
2022,44,Ben White,Arsenal,England,"3,067"
2022,45,Illan Meslier,-,France,"3,060"
2022,46,Rúben Neves,-,Portugal,"3,023"
2022,47,Granit Xhaka,-,Switzerland,"3,004"
2022,48,Ivan Toney,Brentford,England,"2,953"
2022,49,Adam Smith,Bournemouth,England,"2,948"
2022,50,Douglas Luiz,Aston Villa,Brazil,"2,932"
2022,52,Trent Alexander-Arnold,Liverpool,England,"2,931"
2022,52,Bryan Mbeumo,Brentford,Cameroon,"2,928"
2022,53,Rodri,Manchester City,Spain,"2,920"
2022,54,Tim Ream,Fulham,United States,"2,900"
2022,55,Son Heung-Min,Tottenham Hotspur,South Korea,"2,899"
2022,56,Tyrick Mitchell,Crystal Palace,England,"2,896"
2022,57,Marcus Rashford,Manchester United,England,"2,888"
2022,58,Alexis Mac Allister,-,Argentina,"2,886"
2022,59,Gavin Bazunu,-,Ireland,"2,880"
2022,60,Harrison Reed,Fulham,England,"2,875"
2022,62,Dominic Solanke,Bournemouth,England,"2,866"
2022,62,Brennan Johnson,-,Wales,"2,850"
2022,63,Virgil van Dijk,Liverpool,Netherlands,"2,835"
2022,64,Mathias Jensen,Brentford,Denmark,"2,829"
2022,65,Tomás Soucek,West Ham United,Czech Republic,"2,819"
2022,66,Eric Dier,Tottenham Hotspur,England,"2,817"
2022,67,Gabriel Martinelli,Arsenal,Brazil,"2,805"
2022,68,Wout Faes,-,Belgium,"2,787"
2022,69,Cheick Doucouré,Crystal Palace,Mali,"2,784"
2022,70,Joachim Andersen,Crystal Palace,Denmark,"2,783"
2022,70,Philip Billing,Bournemouth,Denmark,"2,783"
