Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Jamie Vardy,-,England,29
2022,2,Kai Havertz,-,Germany,28
2022,3,Ivan Toney,Brentford,England,27
2022,4,Mohamed Salah,Liverpool,Egypt,22
2022,5,Dominic Calvert-Lewin,Everton,England,19
2022,5,Yoane Wissa,Brentford,DR Congo,19
2022,7,Patrick Bamford,-,England,18
2022,7,Brennan Johnson,-,Wales,18
2022,7,Son Heung-Min,Tottenham Hotspur,South Korea,18
2022,7,Ollie Watkins,Aston Villa,England,18
2022,11,Darwin Núñez,Liverpool,Uruguay,17
2022,12,Diego Costa,-,Spain,16
2022,12,Gabriel Jesus,Arsenal,Brazil,16
2022,12,Harry Kane,-,England,16
2022,15,Taiwo Awoniyi,Nottingham Forest,Nigeria,15
2022,15,Bruno Fernandes,Manchester United,Portugal,15
2022,15,Marcus Rashford,Manchester United,England,15
2022,15,Theo Walcott,-,England,15
2022,15,Callum Wilson,Newcastle United,England,15
2022,20,Ché Adams,-,Scotland,14
2022,20,Danny Ings,West Ham United,England,14
2022,20,Aleksandar Mitrovic,-,Serbia,14
2022,20,Wilfried Zaha,-,Cote D’Ivoire,14
2022,24,Odsonne Édouard,Crystal Palace,France,13
2022,24,Demarai Gray,-,Jamaica,13
2022,26,Michail Antonio,West Ham United,Jamaica,12
2022,26,Kelechi Iheanacho,-,Nigeria,12
2022,26,Solly March,Brighton & Hove Albion,England,12
2022,29,Bobby De Cordova-Reid,Fulham,Jamaica,11
2022,29,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,11
2022,29,Dominic Solanke,Bournemouth,England,11
2022,29,Raheem Sterling,Chelsea,England,11
2022,33,Jarrod Bowen,West Ham United,England,10
2022,33,Pascal Groß,Brighton & Hove Albion,Germany,10
2022,33,Rodrigo,-,Spain,10
2022,36,Miguel Almirón,Newcastle United,Paraguay,9
2022,36,Leon Bailey,Aston Villa,Jamaica,9
2022,36,Harvey Barnes,Leicester City,England,9
2022,36,Maxwel Cornet,West Ham United,Cote D’Ivoire,9
2022,36,Richarlison,Tottenham Hotspur,Brazil,9
2022,36,Raúl Jiménez,-,Mexico,9
2022,36,Bukayo Saka,Arsenal,England,9
2022,43,Cristiano Ronaldo,-,Portugal,8
2022,43,Abdoulaye Doucouré,Everton,Mali,8
2022,43,Cody Gakpo,Liverpool,Netherlands,8
2022,43,Erling Haaland,Manchester City,Norway,8
2022,43,Gabriel Martinelli,Arsenal,Brazil,8
2022,43,Jean-Philippe Mateta,Crystal Palace,France,8
2022,43,Eddie Nketiah,Arsenal,England,8
2022,43,Dango Ouattara,Bournemouth,Burkina Faso,8
2022,43,Jadon Sancho,-,England,8
2022,43,Crysencio Summerville,-,Netherlands,8
2022,43,Leandro Trossard,Arsenal,Belgium,8
2022,54,Saïd Benrahma,West Ham United,Algeria,7
2022,54,Dan Burn,Newcastle United,England,7
2022,54,Patson Daka,-,Zambia,7
2022,54,João Félix,-,Portugal,7
2022,54,Riyad Mahrez,-,Algeria,7
2022,54,Anthony Martial,Manchester United,France,7
2022,54,Michael Olise,Crystal Palace,France,7
2022,54,Andy Robertson,Liverpool,Scotland,7
2022,54,Ryan Sessegnon,Tottenham Hotspur,England,7
2022,54,Adama Traoré,-,Spain,7
2022,54,Kieran Trippier,Newcastle United,England,7
2022,54,Deniz Undav,-,Germany,7
2022,66,Brenden Aaronson,-,United States,6
2022,66,Carlos Vinícius,Fulham,Brazil,6
2022,66,Timothy Castagne,-,Belgium,6
2022,66,Phil Foden,Manchester City,England,6
2022,66,Morgan Gibbs-White,Nottingham Forest,England,6
2022,66,Ilkay Gündogan,-,Germany,6
2022,66,James Maddison,-,England,6
2022,66,Bryan Mbeumo,Brentford,Cameroon,6
2022,66,Kaoru Mitoma,Brighton & Hove Albion,Japan,6
2022,66,Paul Onuachu,-,Nigeria,6
2022,66,Ivan Perisic,Tottenham Hotspur,Croatia,6
2022,66,Gianluca Scamacca,-,Italy,6
2022,66,Kevin Schade,-,Germany,6
2022,66,Fabian Schär,Newcastle United,Switzerland,6
2022,66,Chris Wood,-,New Zealand,6
2022,81,Trent Alexander-Arnold,Liverpool,England,5
2022,81,Jaidon Anthony,-,England,5
2022,81,Roberto Firmino,-,Brazil,5
2022,81,Kevin De Bruyne,Manchester City,Belgium,5
2022,81,Evan Ferguson,Brighton & Hove Albion,Ireland,5
2022,81,Gonçalo Guedes,-,Portugal,5
2022,81,Alexander Isak,Newcastle United,Sweden,5
2022,81,Sean Longstaff,Newcastle United,England,5
2022,81,Luis Sinisterra,-,Colombia,5
2022,81,Wout Weghorst,-,Netherlands,5
2022,81,Danny Welbeck,Brighton & Hove Albion,England,5
2022,81,Granit Xhaka,-,Switzerland,5
2022,93,Jordan Ayew,Crystal Palace,Ghana,4
2022,93,Willian,Fulham,Brazil,4
2022,93,Tetê,-,Brazil,4
2022,93,Daniel Podence,-,Portugal,4
2022,93,João Cancelo,-,Portugal,4
2022,93,Felipe,Nottingham Forest,Brazil,4
2022,93,Emmanuel Dennis,-,Nigeria,4
2022,93,Eberechi Eze,Crystal Palace,England,4
2021,1,Cristiano Ronaldo,-,Portugal,33
2021,2,Maxwel Cornet,Burnley,Cote D’Ivoire,26
2021,2,Chris Wood,-,New Zealand,26
2021,4,Ivan Toney,Brentford,England,25
2021,5,Wilfried Zaha,-,Cote D’Ivoire,24
2021,6,Raúl Jiménez,-,Mexico,23
2021,7,Richarlison,-,Brazil,21
2021,8,Sadio Mané,-,Senegal,19
2021,8,Jamie Vardy,-,England,19
2021,10,Jay Rodríguez,Burnley,England,17
2021,10,Bukayo Saka,Arsenal,England,17
2021,10,Son Heung-Min,Tottenham Hotspur,South Korea,17
2021,10,Callum Wilson,Newcastle United,England,17
2021,14,Harry Kane,-,England,16
2021,14,Ollie Watkins,Aston Villa,England,16
2021,16,Daniel James,-,Wales,15
2021,16,Marcus Rashford,Manchester United,England,15
2021,18,Jarrod Bowen,West Ham United,England,14
2021,18,Raphinha,-,Brazil,14
2021,18,Phil Foden,Manchester City,England,14
2021,18,Romelu Lukaku,-,Belgium,14
2021,22,Michail Antonio,West Ham United,Jamaica,13
2021,22,Armando Broja,Southampton,Albania,13
2021,22,Jean-Philippe Mateta,Crystal Palace,France,13
2021,22,Bryan Mbeumo,Brentford,Cameroon,13
2021,22,Milot Rashica,-,Kosovo,13
2021,22,Allan Saint-Maximin,-,France,13
2021,22,Leandro Trossard,Brighton & Hove Albion,Belgium,13
2021,29,Emmanuel Dennis,-,Nigeria,12
2021,29,Kai Havertz,-,Germany,12
2021,29,Solly March,Brighton & Hove Albion,England,12
2021,29,Teemu Pukki,-,Finland,12
2021,29,Mohamed Salah,Liverpool,Egypt,12
