Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Joachim Andersen,Crystal Palace,Denmark,2
2022,1,Wout Faes,-,Belgium,2
2022,1,Chris Mepham,Bournemouth,Wales,2
2022,4,Rayan Aït-Nouri,Wolverhampton Wanderers,Algeria,1
2022,4,César Azpilicueta,-,Spain,1
2022,4,Jan Bednarek,-,Poland,1
2022,4,Trevoh Chalobah,Chelsea,England,1
2022,4,Lucas Digne,Aston Villa,France,1
2022,4,Lewis Dunk,Brighton & Hove Albion,England,1
2022,4,Pascal Groß,Brighton & Hove Albion,Germany,1
2022,4,Marc Guéhi,Crystal Palace,England,1
2022,4,Daniel Iversen,-,Denmark,1
2022,4,Zanka,Brentford,Denmark,1
2022,4,Thilo Kehrer,-,Germany,1
2022,4,Robin Koch,-,Germany,1
2022,4,Ibrahima Konaté,Liverpool,France,1
2022,4,Jefferson Lerma,-,Colombia,1
2022,4,Hugo Lloris,Tottenham Hotspur,France,1
2022,4,João Palhinha,Fulham,Portugal,1
2022,4,Ruben Loftus-Cheek,-,England,1
2022,4,Alexis Mac Allister,-,Argentina,1
2022,4,Emiliano Martínez,Aston Villa,Argentina,1
2022,4,Joël Matip,Liverpool,Cameroon,1
2022,4,Tyrone Mings,Aston Villa,England,1
2022,4,Romain Perraud,-,France,1
2022,4,Ethan Pinnock,Brentford,Jamaica,1
2022,4,Jacob Ramsey,Aston Villa,England,1
2022,4,David Raya,-,Spain,1
2022,4,Harrison Reed,Fulham,England,1
2022,4,William Saliba,Arsenal,France,1
2022,4,Mohammed Salisu,-,Ghana,1
2022,4,Fabian Schär,Newcastle United,Switzerland,1
2022,4,Harry Souttar,-,Australia,1
2022,4,Jason Steele,Brighton & Hove Albion,England,1
2022,4,John Stones,Manchester City,England,1
2022,4,Luke Thomas,-,England,1
2022,4,Kieran Trippier,Newcastle United,England,1
2022,4,Deniz Undav,-,Germany,1
2022,4,Raphaël Varane,Manchester United,France,1
2022,4,Theo Walcott,-,England,1
2022,4,James Ward-Prowse,-,England,1
2022,4,Adam Webster,Brighton & Hove Albion,England,1
2022,43,Jack Harrison,-,England,0
2022,43,Tyrick Mitchell,Crystal Palace,England,0
2022,43,Antonee Robinson,Fulham,United States,0
2021,1,Michael Keane,Everton,England,2
2021,1,Jamaal Lascelles,Newcastle United,England,2
2021,3,Max Aarons,-,England,1
2021,3,Joachim Andersen,Crystal Palace,Denmark,1
2021,3,Eric Bailly,-,Cote D’Ivoire,1
2021,3,Alisson Becker,Liverpool,Brazil,1
2021,3,Jan Bednarek,-,Poland,1
2021,3,Sergi Canós,-,Spain,1
2021,3,Séamus Coleman,Everton,Ireland,1
2021,3,Vladimír Coufal,West Ham United,Czech Republic,1
2021,3,Eric Dier,Tottenham Hotspur,England,1
2021,3,Lucas Digne,Aston Villa,France,1
2021,3,Álvaro Fernández,-,Spain,1
2021,3,Junior Firpo,-,Spain,1
2021,3,Cucho Hernández,-,Colombia,1
2021,3,Mason Holgate,-,England,1
2021,3,Reece James,Chelsea,England,1
2021,3,Tim Krul,-,Netherlands,1
2021,3,Juraj Kucka,-,Slovakia,1
2021,3,Harry Maguire,Manchester United,England,1
2021,3,José Sá,Wolverhampton Wanderers,Portugal,1
2021,3,Ben Mee,Burnley,England,1
2021,3,Luka Milivojevic,-,Serbia,1
2021,3,Fred,-,Brazil,1
2021,3,Mohammed Salisu,-,Ghana,1
2021,3,Francisco Sierralta,-,Chile,1
2021,3,Matt Targett,Newcastle United,England,1
2021,3,James Tarkowski,Burnley,England,1
2021,3,Jamie Vardy,-,England,1
2021,3,Ben White,Arsenal,England,1
2021,3,Ashley Young,-,England,1
2021,3,Kurt Zouma,West Ham United,France,1
2021,33,Shane Duffy,-,Ireland,0
2020,1,Craig Dawson,-,England,2
2020,2,Tosin Adarabioyo,Fulham,England,1
2020,2,Toby Alderweireld,-,Belgium,1
2020,2,Ethan Ampadu,-,Wales,1
2020,2,Pierre-Emerick Aubameyang,-,Gabon,1
