Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Lewis Dunk,Brighton & Hove Albion,England,4
2022,2,Timothy Castagne,-,Belgium,2
2022,2,João Cancelo,-,Portugal,2
2022,2,Issa Diop,Fulham,France,2
2022,2,Gabriel Magalhães,Arsenal,Brazil,2
2022,2,Michael Keane,Everton,England,2
2022,2,Jefferson Lerma,-,Colombia,2
2022,2,Wilfred Ndidi,-,Nigeria,2
2022,2,William Saliba,Arsenal,France,2
2022,2,Marcos Senesi,Bournemouth,Argentina,2
2022,2,Pascal Struijk,-,Netherlands,2
2022,2,Joe Worrall,Nottingham Forest,England,2
2022,13,Nayef Aguerd,West Ham United,Morocco,1
2022,13,Rayan Aït-Nouri,Wolverhampton Wanderers,Algeria,1
2022,13,Kristoffer Ajer,Brentford,Norway,1
2022,13,Thiago Alcântara,Liverpool,Spain,1
2022,13,Daniel Amartey,-,Ghana,1
2022,13,Michail Antonio,West Ham United,Jamaica,1
2022,13,Joelinton,Newcastle United,Brazil,1
2022,13,Alphonse Areola,West Ham United,France,1
2022,13,Luke Ayling,-,England,1
2022,13,Leon Bailey,Aston Villa,Jamaica,1
2022,13,Gavin Bazunu,-,Ireland,1
2022,13,Sven Botman,Newcastle United,Netherlands,1
2022,13,Jarrod Bowen,West Ham United,England,1
2022,13,Dan Burn,Newcastle United,England,1
2022,13,Matty Cash,Aston Villa,Poland,1
2022,13,Casemiro,Manchester United,Brazil,1
2022,13,Steve Cook,-,England,1
2022,13,Rúben Neves,-,Portugal,1
2022,13,Craig Dawson,Wolverhampton Wanderers,England,1
2022,13,Bobby De Cordova-Reid,Fulham,Jamaica,1
2022,13,Lucas Digne,Aston Villa,France,1
2022,13,Abdoulaye Doucouré,Everton,Mali,1
2022,13,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,1
2022,13,Junior Firpo,-,Spain,1
2022,13,Wesley Fofana,Chelsea,France,1
2022,13,Joe Gomez,Liverpool,England,1
2022,13,Pascal Groß,Brighton & Hove Albion,Germany,1
2022,13,Idrissa Gueye,Everton,Senegal,1
2022,13,Dean Henderson,-,England,1
2022,13,Aaron Hickey,Brentford,Scotland,1
2022,13,Andreas Pereira,Fulham,Brazil,1
2022,13,Rob Holding,-,England,1
2022,13,Will Hughes,Crystal Palace,England,1
2022,13,Alexander Isak,Newcastle United,Sweden,1
2022,13,Sam Johnstone,Crystal Palace,England,1
2022,13,Thilo Kehrer,-,Germany,1
2022,13,Lloyd Kelly,Bournemouth,England,1
2022,13,Ibrahima Konaté,Liverpool,France,1
2022,13,Dejan Kulusevski,-,Sweden,1
2022,13,Bernd Leno,Fulham,Germany,1
2022,13,João Palhinha,Fulham,Portugal,1
2022,13,Ainsley Maitland-Niles,-,England,1
2022,13,José Sá,Wolverhampton Wanderers,Portugal,1
2022,13,Emiliano Martínez,Aston Villa,Argentina,1
2022,13,Scott McKenna,Nottingham Forest,Scotland,1
2022,13,Scott McTominay,Manchester United,Scotland,1
2022,13,Tyrick Mitchell,Crystal Palace,England,1
2022,13,Moussa Niakhaté,Nottingham Forest,Senegal,1
2022,13,Matheus Nunes,-,Portugal,1
2022,13,Michael Olise,Crystal Palace,France,1
2022,13,Jordan Pickford,Everton,England,1
2022,13,Jacob Ramsey,Aston Villa,England,1
2022,13,Tim Ream,Fulham,United States,1
2022,13,Antonee Robinson,Fulham,United States,1
2022,13,Cristian Romero,Tottenham Hotspur,Argentina,1
2022,13,Davinson Sánchez,-,Colombia,1
2022,13,Robert Sánchez,-,Spain,1
2022,13,Ederson,Manchester City,Brazil,1
2022,13,Pape Sarr,Tottenham Hotspur,Senegal,1
2022,13,Luke Shaw,Manchester United,England,1
2022,13,Jonjo Shelvey,-,England,1
2022,13,Luis Sinisterra,-,Colombia,1
2022,13,Adam Smith,Bournemouth,England,1
2022,13,Sam Surridge,-,England,1
2022,13,James Tarkowski,Everton,England,1
2022,13,Harry Toffolo,Nottingham Forest,England,1
2022,13,Kieran Trippier,Newcastle United,England,1
2022,13,Virgil van Dijk,Liverpool,Netherlands,1
2022,13,Joël Veltman,Brighton & Hove Albion,Netherlands,1
2022,13,Kyle Walker-Peters,-,England,1
2022,13,Maximilian Wöber,-,Austria,1
2022,13,Ashley Young,-,England,1
2022,13,Jordan Zemura,-,Zimbabwe,1
2022,86,Alisson Becker,Liverpool,Brazil,0
2022,86,Aaron Cresswell,West Ham United,England,0
2022,86,Marc Guéhi,Crystal Palace,England,0
2022,86,Jakub Kiwior,Arsenal,Poland,0
2022,86,Ben Mee,Brentford,England,0
2022,86,Vitaliy Mykolenko,Everton,Ukraine,0
2022,86,Aaron Ramsdale,Arsenal,England,0
2022,86,Lyanco,-,Brazil,0
2022,86,Youri Tielemans,-,Belgium,0
2022,86,Ollie Watkins,Aston Villa,England,0
2021,1,Youri Tielemans,-,Belgium,4
2021,2,Craig Dawson,West Ham United,England,3
2021,2,Ben Gibson,-,England,3
2021,2,Jamaal Lascelles,Newcastle United,England,3
2021,2,José Sá,Wolverhampton Wanderers,Portugal,3
2021,6,Max Aarons,-,England,2
