Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Illan Meslier,-,France,22
2022,2,Nick Pope,Newcastle United,England,19
2022,3,Jordan Pickford,Everton,England,18
2022,4,Alisson Becker,Liverpool,Brazil,17
2022,4,Vicente Guaita,-,Spain,17
2022,6,Kepa,-,Spain,15
2022,6,Neto,Bournemouth,Brazil,15
2022,8,Lukasz Fabianski,West Ham United,Poland,14
2022,8,Aaron Ramsdale,Arsenal,England,14
2022,10,Gavin Bazunu,-,Ireland,13
2022,10,Keylor Navas,-,Costa Rica,13
2022,12,David de Gea,-,Spain,12
2022,12,Ederson,Manchester City,Brazil,12
2022,14,David Raya,-,Spain,10
2022,15,Dean Henderson,-,England,8
2022,15,Bernd Leno,Fulham,Germany,8
2022,15,José Sá,Wolverhampton Wanderers,Portugal,8
2022,18,Fraser Forster,Tottenham Hotspur,England,7
2022,18,Sam Johnstone,Crystal Palace,England,7
2022,18,Hugo Lloris,Tottenham Hotspur,France,7
2022,21,Emiliano Martínez,Aston Villa,Argentina,6
2022,21,Joel Robles,-,Spain,6
2022,23,Robert Sánchez,-,Spain,5
2022,23,Mark Travers,-,Ireland,5
2022,23,Danny Ward,-,Wales,5
2022,26,Alex McCarthy,-,England,4
2022,26,Édouard Mendy,-,Senegal,4
2022,28,Daniel Iversen,-,Denmark,3
2022,28,Jason Steele,Brighton & Hove Albion,England,3
2022,30,Asmir Begovic,-,Bosnia & Herzegovina,2
2022,31,Alphonse Areola,West Ham United,France,1
2022,31,Dan Bentley,Wolverhampton Wanderers,England,1
2022,31,Wayne Hennessey,Nottingham Forest,Wales,1
2022,31,Robin Olsen,Aston Villa,Sweden,1
2022,31,Stefan Ortega,Manchester City,Germany,1
2022,31,Marek Rodák,Fulham,Slovakia,1
2021,1,Jordan Pickford,Everton,England,22
2021,2,José Sá,Wolverhampton Wanderers,Portugal,20
2021,3,Alisson Becker,Liverpool,Brazil,19
2021,4,Illan Meslier,-,France,18
2021,5,Tim Krul,-,Netherlands,17
2021,6,Nick Pope,Burnley,England,16
2021,7,Vicente Guaita,-,Spain,14
2021,8,Fraser Forster,-,England,12
2021,8,Aaron Ramsdale,Arsenal,England,12
2021,8,Kasper Schmeichel,-,Denmark,12
2021,11,Lukasz Fabianski,West Ham United,Poland,11
2021,11,Édouard Mendy,-,Senegal,11
2021,13,David de Gea,-,Spain,10
2021,13,Hugo Lloris,Tottenham Hotspur,France,10
2021,13,Robert Sánchez,-,Spain,10
2021,16,Ederson,Manchester City,Brazil,9
2021,17,Alex McCarthy,-,England,8
2021,18,Jack Butland,-,England,7
2021,18,David Raya,-,Spain,7
2021,20,Ben Foster,-,England,6
2021,21,Martin Dúbravka,Newcastle United,Slovakia,4
2021,21,Álvaro Fernández,-,Spain,4
2021,21,Bernd Leno,-,Germany,4
2021,24,Daniel Bachmann,-,Austria,3
2021,24,Asmir Begovic,-,Bosnia & Herzegovina,3
2021,24,Karl Darlow,-,England,3
2021,24,Emiliano Martínez,Aston Villa,Argentina,3
2021,28,Kepa,-,Spain,2
2021,28,Angus Gunn,-,Scotland,2
2021,30,Willy Caballero,-,Argentina,1
2021,30,Wayne Hennessey,Burnley,Wales,1
2021,30,Kristoffer Klaesson,-,Norway,1
2021,30,Robin Olsen,Aston Villa,Sweden,1
2021,30,Jason Steele,Brighton & Hove Albion,England,1
2021,35,Zack Steffen,Manchester City,United States,0
2020,1,Alphonse Areola,Fulham,France,26
2020,2,Karl Darlow,-,England,25
2020,3,Illan Meslier,-,France,24
2020,4,Sam Johnstone,West Bromwich Albion,England,23
2020,4,Jordan Pickford,Everton,England,23
2020,6,Vicente Guaita,-,Spain,22
2020,7,Alisson Becker,Liverpool,Brazil,17
2020,8,Bernd Leno,-,Germany,12
2020,8,Aaron Ramsdale,-,England,12
2020,10,Alex McCarthy,-,England,11
2020,10,Nick Pope,Burnley,England,11
2020,12,Mathew Ryan,-,Australia,10
2020,13,Martin Dúbravka,Newcastle United,Slovakia,9
2020,13,Lukasz Fabianski,West Ham United,Poland,9
2020,13,Hugo Lloris,Tottenham Hotspur,France,9
2020,16,Fraser Forster,-,England,7
2020,16,Kasper Schmeichel,-,Denmark,7
2020,18,David de Gea,-,Spain,6
2020,18,Ederson,Manchester City,Brazil,6
2020,20,Rui Patrício,-,Portugal,5
2020,21,Kepa,-,Spain,4
2020,21,Kiko Casilla,-,Spain,4
2020,21,Dean Henderson,-,England,4
2020,21,Emiliano Martínez,Aston Villa,Argentina,4
2020,25,Darren Randolph,West Ham United,Ireland,3
2020,25,Adrián,Liverpool,Spain,3
2020,25,Robert Sánchez,-,Spain,3
2020,28,David Button,-,England,2
2020,28,Édouard Mendy,-,Senegal,2
2020,28,Marek Rodák,Fulham,Slovakia,2
2020,31,Will Norris,-,England,1
2020,31,Robin Olsen,-,Sweden,1
2020,31,Bailey Peacock-Farrell,-,Northern Ireland,1
2019,1,Vicente Guaita,-,Spain,22
2019,2,Tim Krul,-,Netherlands,20
2019,3,Martin Dúbravka,Newcastle United,Slovakia,18
2019,4,Bernd Leno,-,Germany,17
2019,4,Aaron Ramsdale,-,England,17
2019,6,Dean Henderson,-,England,16
2019,7,Lukasz Fabianski,West Ham United,Poland,15
2019,8,Alex McCarthy,-,England,14
2019,9,Ben Foster,-,England,13
2019,10,Jordan Pickford,Everton,England,11
2019,10,Nick Pope,Burnley,England,11
2019,10,Mathew Ryan,-,Australia,11
2019,13,Hugo Lloris,Tottenham Hotspur,France,10
2019,14,Alisson Becker,Liverpool,Brazil,9
2019,14,David de Gea,-,Spain,9
2019,16,Roberto Jiménez,-,Spain,8
2019,16,Ederson,Manchester City,Brazil,8
2019,16,Kasper Schmeichel,-,Denmark,8
2019,19,Tom Heaton,-,England,6
2019,20,Kepa,-,Spain,5
2019,20,Rui Patrício,-,Portugal,5
2019,22,Adrián,Liverpool,Spain,4
2019,23,Paulo Gazzaniga,-,Argentina,3
2019,23,Pepe Reina,-,Spain,3
2019,25,Claudio Bravo,-,Chile,2
2019,25,Angus Gunn,-,Scotland,2
2019,25,Wayne Hennessey,-,Wales,2
2019,25,Michael McGovern,-,Northern Ireland,2
2019,29,Willy Caballero,-,Argentina,1
2019,29,David Martin,-,England,1
2019,29,Emiliano Martínez,-,Argentina,1
2019,29,Ørjan Nyland,-,Norway,1
2018,1,Sergio Rico,-,Spain,21
2018,2,Hugo Lloris,Tottenham Hotspur,France,19
2018,2,Jonas Lössl,-,Denmark,19
2018,4,Alisson Becker,Liverpool,Brazil,17
2018,4,Lukasz Fabianski,West Ham United,Poland,17
2018,4,Alex McCarthy,-,England,17
2018,7,Bernd Leno,-,Germany,16
2018,8,Martin Dúbravka,Newcastle United,Slovakia,15
2018,8,Kasper Schmeichel,-,Denmark,15
2018,10,Vicente Guaita,-,Spain,14
2018,11,Jordan Pickford,Everton,England,13
2018,12,David de Gea,-,Spain,12
2018,13,Neil Etheridge,-,Philippines,11
2018,13,Wayne Hennessey,-,Wales,11
2018,15,Kepa,-,Spain,10
2018,15,Ben Foster,-,England,10
2018,17,Marcus Bettinelli,-,England,8
2018,17,Rui Patrício,-,Portugal,8
2018,19,Mathew Ryan,-,Australia,7
2018,20,Tom Heaton,-,England,6
2018,20,Ederson,Manchester City,Brazil,6
2018,22,Joe Hart,-,England,5
2018,23,Asmir Begovic,-,Bosnia & Herzegovina,4
2018,23,Artur Boruc,-,Poland,4
2018,25,Angus Gunn,-,Scotland,3
2018,26,David Button,-,England,2
2018,26,Petr Cech,-,Czech Republic,2
2018,26,Paulo Gazzaniga,-,Argentina,2
2018,29,Willy Caballero,-,Argentina,1
2018,29,Joel Coleman,-,England,1
2018,29,Ben Hamer,-,England,1
2018,29,Michel Vorm,-,Netherlands,1
2018,33,Julian Speroni,-,Argentina,0
2017,1,Heurelho Gomes,-,Brazil,24
2017,1,Jonas Lössl,-,Denmark,24
