Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Casemiro,Manchester United,Brazil,2
2022,2,Tyler Adams,-,United States,1
2022,2,Shandon Baptiste,Brentford,Grenada,1
2022,2,Nélson Semedo,Wolverhampton Wanderers,Portugal,1
2022,2,João Cancelo,-,Portugal,1
2022,2,Nathaniel Chalobah,-,England,1
2022,2,Nathan Collins,-,Ireland,1
2022,2,Diego Costa,-,Spain,1
2022,2,Kiernan Dewsbury-Hall,-,England,1
2022,2,Cheick Doucouré,Crystal Palace,Mali,1
2022,2,Abdoulaye Doucouré,Everton,Mali,1
2022,2,Wout Faes,-,Belgium,1
2022,2,João Félix,-,Portugal,1
2022,2,Junior Firpo,-,Spain,1
2022,2,Conor Gallagher,Chelsea,England,1
2022,2,Mason Holgate,-,England,1
2022,2,Kalidou Koulibaly,-,Senegal,1
2022,2,Emerson Royal,Tottenham Hotspur,Brazil,1
2022,2,Mario Lemina,Wolverhampton Wanderers,Gabon,1
2022,2,Tyrick Mitchell,Crystal Palace,England,1
2022,2,Matheus Nunes,-,Portugal,1
2022,2,Darwin Núñez,Liverpool,Uruguay,1
2022,2,Jonny Otto,Wolverhampton Wanderers,Spain,1
2022,2,Nick Pope,Newcastle United,England,1
2022,2,Lucas Moura,-,Brazil,1
2022,2,Cristian Romero,Tottenham Hotspur,Argentina,1
2022,2,Luis Sinisterra,-,Colombia,1
2022,2,Douglas Luiz,Aston Villa,Brazil,1
2022,2,James Tomkins,Crystal Palace,England,1
2022,30,Gabriel Magalhães,Arsenal,Brazil,0
2022,30,Kieran Trippier,Newcastle United,England,0
2022,30,Hakim Ziyech,-,Morocco,0
2021,1,Raúl Jiménez,-,Mexico,2
2021,1,Ezri Konsa,Aston Villa,England,2
2021,3,Michail Antonio,West Ham United,Jamaica,1
2021,3,Luke Ayling,-,England,1
2021,3,Shandon Baptiste,Brentford,Grenada,1
2021,3,Jarrad Branthwaite,Everton,England,1
2021,3,Sergi Canós,-,Spain,1
2021,3,Ciaran Clark,-,Ireland,1
2021,3,Nathan Collins,Burnley,Ireland,1
2021,3,Vladimír Coufal,West Ham United,Czech Republic,1
2021,3,Josh Dasilva,Brentford,England,1
2021,3,Craig Dawson,West Ham United,England,1
2021,3,Emmanuel Dennis,-,Nigeria,1
