Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,David Raya,-,Spain,154
2022,2,Bernd Leno,Fulham,Germany,144
2022,3,Jordan Pickford,Everton,England,124
2022,4,Alisson Becker,Liverpool,Brazil,108
2022,4,Lukasz Fabianski,West Ham United,Poland,108
2022,4,José Sá,Wolverhampton Wanderers,Portugal,108
2022,7,David de Gea,-,Spain,101
2022,8,Neto,Bournemouth,Brazil,100
2022,9,Emiliano Martínez,Aston Villa,Argentina,98
2022,10,Aaron Ramsdale,Arsenal,England,95
2022,11,Illan Meslier,-,France,94
2022,12,Kepa,-,Spain,91
2022,13,Nick Pope,Newcastle United,England,87
2022,14,Vicente Guaita,-,Spain,85
2022,15,Hugo Lloris,Tottenham Hotspur,France,79
2022,16,Danny Ward,-,Wales,78
2022,17,Gavin Bazunu,-,Ireland,69
2022,18,Dean Henderson,-,England,55
2022,19,Keylor Navas,-,Costa Rica,51
2022,20,Robert Sánchez,-,Spain,48
2022,21,Ederson,Manchester City,Brazil,46
2022,22,Daniel Iversen,-,Denmark,38
2022,23,Jason Steele,Brighton & Hove Albion,England,37
2022,24,Mark Travers,-,Ireland,36
2022,25,Fraser Forster,Tottenham Hotspur,England,32
2022,26,Sam Johnstone,Crystal Palace,England,26
2022,27,Édouard Mendy,-,Senegal,25
2022,28,Joel Robles,-,Spain,16
2022,29,Alex McCarthy,-,England,14
2022,29,Stefan Ortega,Manchester City,Germany,14
2022,31,Dan Bentley,Wolverhampton Wanderers,England,11
2022,31,Robin Olsen,Aston Villa,Sweden,11
2022,33,Martin Dúbravka,Newcastle United,Slovakia,10
2022,34,Alphonse Areola,West Ham United,France,9
2022,34,Wayne Hennessey,Nottingham Forest,Wales,9
2022,36,Caoimhín Kelleher,Liverpool,Ireland,6
2022,37,Joe Whitworth,Crystal Palace,England,5
2022,38,Asmir Begovic,-,Bosnia & Herzegovina,4
2022,39,Marek Rodák,Fulham,Slovakia,2
2021,1,Illan Meslier,-,France,143
2021,2,Kasper Schmeichel,-,Denmark,131
2021,3,David de Gea,-,Spain,128
2021,4,José Sá,Wolverhampton Wanderers,Portugal,121
2021,4,Nick Pope,Burnley,England,121
2021,6,Jordan Pickford,Everton,England,117
2021,7,Lukasz Fabianski,West Ham United,Poland,114
2021,8,Tim Krul,-,Netherlands,106
2021,9,Robert Sánchez,-,Spain,101
2021,10,Hugo Lloris,Tottenham Hotspur,France,98
2021,11,Emiliano Martínez,Aston Villa,Argentina,95
2021,12,Aaron Ramsdale,Arsenal,England,90
2021,13,Vicente Guaita,-,Spain,84
2021,14,David Raya,-,Spain,78
2021,15,Alisson Becker,Liverpool,Brazil,76
2021,16,Martin Dúbravka,Newcastle United,Slovakia,73
2021,16,Édouard Mendy,-,Senegal,73
2021,18,Ben Foster,-,England,70
2021,19,Fraser Forster,-,England,68
2021,20,Ederson,Manchester City,Brazil,60
2021,21,Álvaro Fernández,-,Spain,49
2021,22,Daniel Bachmann,-,Austria,47
2021,23,Alex McCarthy,-,England,44
2021,24,Angus Gunn,-,Scotland,35
2021,25,Karl Darlow,-,England,24
2021,26,Jack Butland,-,England,17
2021,27,Kepa,-,Spain,11
2021,27,Asmir Begovic,-,Bosnia & Herzegovina,11
2021,29,Bernd Leno,-,Germany,10
2021,29,Freddie Woodman,-,England,10
2021,31,Wayne Hennessey,Burnley,Wales,8
2021,32,Willy Caballero,-,Argentina,6
2021,32,Caoimhín Kelleher,Liverpool,Ireland,6
2021,34,Kristoffer Klaesson,-,Norway,4
2021,34,John Ruddy,-,England,4
2021,34,Danny Ward,-,Wales,4
2021,37,Jason Steele,Brighton & Hove Albion,England,3
2021,38,Alphonse Areola,West Ham United,France,2
2021,38,Jonas Lössl,-,Denmark,2
2021,38,Robin Olsen,Aston Villa,Sweden,2
2021,38,Zack Steffen,Manchester City,United States,2
2021,42,Jed Steer,-,England,1
2020,1,Sam Johnstone,West Bromwich Albion,England,166
2020,2,Aaron Ramsdale,-,England,147
2020,3,Emiliano Martínez,Aston Villa,Argentina,142
2020,4,Illan Meslier,-,France,140
2020,5,Alphonse Areola,Fulham,France,116
2020,6,Hugo Lloris,Tottenham Hotspur,France,114
2020,6,Nick Pope,Burnley,England,114
2020,8,Vicente Guaita,-,Spain,106
2020,9,Lukasz Fabianski,West Ham United,Poland,103
2020,10,Rui Patrício,-,Portugal,100
2020,11,Alex McCarthy,-,England,93
2020,12,Jordan Pickford,Everton,England,90
2020,13,Karl Darlow,-,England,88
2020,13,Kasper Schmeichel,-,Denmark,88
2020,15,Bernd Leno,-,Germany,86
2020,16,Alisson Becker,Liverpool,Brazil,84
2020,17,Robert Sánchez,-,Spain,66
2020,17,Ederson,Manchester City,Brazil,66
2020,19,David de Gea,-,Spain,60
2020,20,Édouard Mendy,-,Senegal,57
2020,21,Martin Dúbravka,Newcastle United,Slovakia,45
2020,22,Dean Henderson,-,England,40
