Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Harry Kane,-,England,63
2022,2,Erling Haaland,Manchester City,Norway,60
2022,3,Marcus Rashford,Manchester United,England,50
2022,4,Mohamed Salah,Liverpool,Egypt,47
2022,4,Ollie Watkins,Aston Villa,England,47
2022,6,Ivan Toney,Brentford,England,42
2022,7,Son Heung-Min,Tottenham Hotspur,South Korea,40
2022,8,Darwin Núñez,Liverpool,Uruguay,37
2022,9,Bruno Fernandes,Manchester United,Portugal,35
2022,9,Aleksandar Mitrovic,-,Serbia,35
2022,9,Callum Wilson,Newcastle United,England,35
2022,12,Harvey Barnes,Leicester City,England,34
2022,12,Alexis Mac Allister,-,Argentina,34
2022,12,Solly March,Brighton & Hove Albion,England,34
2022,15,Kai Havertz,-,Germany,33
2022,15,Bryan Mbeumo,Brentford,Cameroon,33
2022,15,Martin Ødegaard,Arsenal,Norway,33
2022,18,Gabriel Jesus,Arsenal,Brazil,32
2022,18,Gabriel Martinelli,Arsenal,Brazil,32
2022,18,Bukayo Saka,Arsenal,England,32
2022,21,James Maddison,-,England,29
2022,21,Dominic Solanke,Bournemouth,England,29
2022,23,Saïd Benrahma,West Ham United,Algeria,27
2022,23,Brennan Johnson,-,Wales,27
2022,23,Rodrigo,-,Spain,27
2022,26,Eberechi Eze,Crystal Palace,England,26
2022,27,Roberto Firmino,-,Brazil,25
2022,27,Alexander Isak,Newcastle United,Sweden,25
2022,29,Jarrod Bowen,West Ham United,England,24
2022,29,Antony,Manchester United,Brazil,24
2022,29,Demarai Gray,-,Jamaica,24
2022,32,Morgan Gibbs-White,Nottingham Forest,England,23
2022,32,Andreas Pereira,Fulham,Brazil,23
2022,32,Leandro Trossard,Arsenal,Belgium,23
2022,32,Danny Welbeck,Brighton & Hove Albion,England,23
2022,36,Julián Álvarez,Manchester City,Argentina,22
2022,36,Phil Foden,Manchester City,England,22
2022,36,Wilfried Zaha,-,Cote D’Ivoire,22
2022,39,Miguel Almirón,Newcastle United,Paraguay,21
2022,39,Kevin De Bruyne,Manchester City,Belgium,21
2022,39,Kaoru Mitoma,Brighton & Hove Albion,Japan,21
2022,42,Joelinton,Newcastle United,Brazil,20
2022,42,Ilkay Gündogan,-,Germany,20
2022,42,James Ward-Prowse,-,England,20
2022,45,Pascal Groß,Brighton & Hove Albion,Germany,19
2022,46,Philip Billing,Bournemouth,Denmark,18
2022,46,Willian,Fulham,Brazil,18
2022,46,Daniel Podence,-,Portugal,18
2022,46,Julio Enciso,Brighton & Hove Albion,Paraguay,18
2022,46,Anthony Gordon,Newcastle United,England,18
2022,46,Danny Ings,West Ham United,England,18
2022,46,Raheem Sterling,Chelsea,England,18
2022,53,Patrick Bamford,-,England,17
2022,53,Evan Ferguson,Brighton & Hove Albion,Ireland,17
2022,53,Joe Willock,Newcastle United,England,17
2022,56,Rúben Neves,-,Portugal,16
