Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Harry Kane,-,England,130
2022,2,Mohamed Salah,Liverpool,Egypt,125
2022,3,Erling Haaland,Manchester City,Norway,123
2022,4,Marcus Rashford,Manchester United,England,108
2022,5,Ivan Toney,Brentford,England,94
2022,6,Aleksandar Mitrovic,-,Serbia,93
2022,6,Martin Ødegaard,Arsenal,Norway,93
2022,8,Bruno Fernandes,Manchester United,Portugal,92
2022,9,Bukayo Saka,Arsenal,England,89
2022,10,Alexis Mac Allister,-,Argentina,86
2022,10,Ollie Watkins,Aston Villa,England,86
2022,12,James Maddison,-,England,85
2022,13,Darwin Núñez,Liverpool,Uruguay,84
2022,14,Son Heung-Min,Tottenham Hotspur,South Korea,81
2022,15,Gabriel Martinelli,Arsenal,Brazil,79
2022,16,Gabriel Jesus,Arsenal,Brazil,77
2022,17,Dominic Solanke,Bournemouth,England,76
2022,18,Jarrod Bowen,West Ham United,England,75
2022,19,Solly March,Brighton & Hove Albion,England,74
2022,20,Saïd Benrahma,West Ham United,Algeria,73
2022,20,Callum Wilson,Newcastle United,England,73
2022,22,Harvey Barnes,Leicester City,England,72
2022,22,Antony,Manchester United,Brazil,72
2022,24,Eberechi Eze,Crystal Palace,England,71
2022,24,Kai Havertz,-,Germany,71
2022,24,Bryan Mbeumo,Brentford,Cameroon,71
2022,27,Miguel Almirón,Newcastle United,Paraguay,69
2022,28,Rodrigo,-,Spain,67
2022,29,Rúben Neves,-,Portugal,66
2022,29,Wilfried Zaha,-,Cote D’Ivoire,66
2022,31,Kevin De Bruyne,Manchester City,Belgium,65
2022,32,Morgan Gibbs-White,Nottingham Forest,England,62
2022,32,Andreas Pereira,Fulham,Brazil,62
2022,32,Danny Welbeck,Brighton & Hove Albion,England,62
2022,35,Demarai Gray,-,Jamaica,59
2022,36,Joe Willock,Newcastle United,England,58
2022,37,Fabian Schär,Newcastle United,Switzerland,56
2022,38,Brennan Johnson,-,Wales,55
2022,38,Leandro Trossard,Arsenal,Belgium,55
2022,40,Ilkay Gündogan,-,Germany,54
2022,41,Lucas Paquetá,West Ham United,Brazil,53
2022,42,Kaoru Mitoma,Brighton & Hove Albion,Japan,52
2022,43,Joelinton,Newcastle United,Brazil,51
2022,43,Leon Bailey,Aston Villa,Jamaica,51
2022,43,Alexander Isak,Newcastle United,Sweden,51
2022,43,Michael Olise,Crystal Palace,France,51
2022,47,Patrick Bamford,-,England,50
2022,47,Rodri,Manchester City,Spain,50
2022,49,Emiliano Buendía,Aston Villa,Argentina,49
2022,50,Ché Adams,-,Scotland,47
2022,50,Julián Álvarez,Manchester City,Argentina,47
2022,52,João Félix,-,Portugal,46
2022,52,Phil Foden,Manchester City,England,46
2022,52,Dwight McNeil,Everton,England,46
2022,55,James Ward-Prowse,-,England,44
2022,56,Daniel Podence,-,Portugal,43
2022,56,Dejan Kulusevski,-,Sweden,43
2022,56,Riyad Mahrez,-,Algeria,43
2022,59,Danny Ings,West Ham United,England,42
2022,59,Alex Iwobi,-,Nigeria,42
2022,59,John McGinn,Aston Villa,Scotland,42
2022,59,Raheem Sterling,Chelsea,England,42
2022,63,Brenden Aaronson,-,United States,41
2022,63,Willian,Fulham,Brazil,41
2022,63,Jack Grealish,Manchester City,England,41
2022,63,Eddie Nketiah,Arsenal,England,41
2022,67,Trent Alexander-Arnold,Liverpool,England,40
2022,67,Granit Xhaka,-,Switzerland,40
2022,69,Michail Antonio,West Ham United,Jamaica,39
2022,69,Roberto Firmino,-,Brazil,39
2022,69,Odsonne Édouard,Crystal Palace,France,39
2022,69,Christian Eriksen,Manchester United,Denmark,39
2022,69,Cody Gakpo,Liverpool,Netherlands,39
2022,69,Pascal Groß,Brighton & Hove Albion,Germany,39
2022,69,Jack Harrison,-,England,39
2022,69,Kelechi Iheanacho,-,Nigeria,39
2022,69,João Palhinha,Fulham,Portugal,39
2022,78,Philip Billing,Bournemouth,Denmark,38
2022,78,Julio Enciso,Brighton & Hove Albion,Paraguay,38
2022,80,Marcus Tavernier,Bournemouth,England,37
2022,81,Cheick Doucouré,Crystal Palace,Mali,36
2022,81,Harvey Elliott,Liverpool,England,36
2022,81,Mohamed Elyounoussi,-,Norway,36
2022,81,Evan Ferguson,Brighton & Hove Albion,Ireland,36
2022,81,Declan Rice,-,England,36
2022,86,Taiwo Awoniyi,Nottingham Forest,Nigeria,35
2022,86,Jefferson Lerma,-,Colombia,35
2022,86,Marc Roca,-,Spain,35
2022,86,Diogo Jota,Liverpool,Portugal,35
2022,90,Casemiro,Manchester United,Brazil,34
2022,90,Anthony Gordon,Newcastle United,England,34
2022,90,Amadou Onana,Everton,Belgium,34
2022,90,Douglas Luiz,Aston Villa,Brazil,34
2022,90,Tomás Soucek,West Ham United,Czech Republic,34
2022,95,Ryan Christie,Bournemouth,Scotland,33
2022,95,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,33
2022,95,Sean Longstaff,Newcastle United,England,33
2022,95,Mason Mount,-,England,33
2022,95,Jacob Ramsey,Aston Villa,England,33
2022,100,Jordan Ayew,Crystal Palace,Ghana,32
2021,1,Mohamed Salah,Liverpool,Egypt,139
2021,2,Harry Kane,-,England,133
2021,3,Cristiano Ronaldo,-,Portugal,110
2021,4,Sadio Mané,-,Senegal,98
2021,5,Bukayo Saka,Arsenal,England,97
2021,6,Diogo Jota,Liverpool,Portugal,90
2021,7,Bruno Fernandes,Manchester United,Portugal,89
2021,8,Raphinha,-,Brazil,88
2021,8,Ivan Toney,Brentford,England,88
2021,10,Son Heung-Min,Tottenham Hotspur,South Korea,86
2021,11,Michail Antonio,West Ham United,Jamaica,83
2021,12,João Cancelo,-,Portugal,81
2021,13,Jarrod Bowen,West Ham United,England,79
2021,14,Kevin De Bruyne,Manchester City,Belgium,78
