Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Tom Cairney,Fulham,Scotland,27
2022,2,James Milner,-,England,24
2022,3,Jean-Philippe Mateta,Crystal Palace,France,23
2022,4,Josh Dasilva,Brentford,England,22
2022,4,Jacob Murphy,Newcastle United,England,22
2022,4,Fred,-,Brazil,22
2022,4,Adama Traoré,-,Spain,22
2022,4,Yoane Wissa,Brentford,DR Congo,22
2022,9,Eddie Nketiah,Arsenal,England,21
2022,9,Kieran Tierney,-,Scotland,21
2022,11,Will Hughes,Crystal Palace,England,20
2022,11,Danny Ings,West Ham United,England,20
2022,13,Elliot Anderson,-,Scotland,19
2022,13,Jaidon Anthony,-,England,19
2022,13,Shandon Baptiste,Brentford,Grenada,19
2022,13,Fábio Vieira,Arsenal,Portugal,19
2022,17,Julián Álvarez,Manchester City,Argentina,18
2022,17,Stuart Armstrong,-,Scotland,18
2022,17,Sékou Mara,-,France,18
2022,17,Sam Surridge,-,England,18
2022,18,Jamie Vardy,-,England,18
2022,22,Carlos Vinícius,Fulham,Brazil,17
2022,22,Patson Daka,-,Zambia,17
2022,22,Mikkel Damsgaard,Brentford,Denmark,17
2022,22,Conor Gallagher,Chelsea,England,17
2022,22,Kelechi Iheanacho,-,Nigeria,17
2022,22,Daniel James,-,Wales,17
2022,22,Tariq Lamptey,Brighton & Hove Albion,Ghana,17
2022,29,Adam Armstrong,-,England,16
2022,29,Anthony Gordon,Newcastle United,England,16
2022,29,Neal Maupay,-,France,16
2022,29,Dennis Praet,-,Belgium,16
2022,29,Christian Pulisic,-,United States,16
2022,29,Crysencio Summerville,-,Netherlands,16
2022,29,Deniz Undav,-,Germany,16
2022,29,Harry Wilson,Fulham,Wales,16
2022,29,Chris Wood,-,New Zealand,16
2022,38,Tom Davies,-,England,15
2022,38,Richarlison,Tottenham Hotspur,Brazil,15
2022,38,Leander Dendoncker,Aston Villa,Belgium,15
2022,38,Odsonne Édouard,Crystal Palace,France,15
2022,38,Pablo Fornals,West Ham United,Spain,15
2022,38,Saman Ghoddos,-,Iran,15
2022,38,Sam Greenwood,-,England,15
2022,38,Hwang Hee-Chan,Wolverhampton Wanderers,South Korea,15
2022,38,Kieffer Moore,Bournemouth,Wales,15
2022,38,Lucas Moura,-,Brazil,15
2022,38,Manor Solomon,-,Israel,15
2022,38,Takehiro Tomiyasu,Arsenal,Japan,15
2022,50,Flynn Downes,-,England,14
2022,50,Harvey Elliott,Liverpool,England,14
2022,50,Alejandro Garnacho,Manchester United,Argentina,14
2022,50,Joe Gelhardt,-,England,14
2022,50,Mateusz Klich,-,Poland,14
2022,50,Scott McTominay,Manchester United,Scotland,14
2022,56,Saïd Benrahma,West Ham United,Algeria,13
2022,56,Yves Bissouma,Tottenham Hotspur,Mali,13
2022,56,Philippe Coutinho,-,Brazil,13
2022,56,Emmanuel Dennis,-,Nigeria,13
2022,56,Julio Enciso,Brighton & Hove Albion,Paraguay,13
2022,56,Luka Milivojevic,-,Serbia,13
2022,56,Frank Onyeka,Brentford,Nigeria,13
2022,56,Allan Saint-Maximin,-,France,13
2022,64,Rayan Aït-Nouri,Wolverhampton Wanderers,Algeria,12
2022,64,Michail Antonio,West Ham United,Jamaica,12
2022,64,André Ayew,-,Ghana,12
2022,64,Roberto Firmino,-,Brazil,12
2022,64,Daniel Podence,-,Portugal,12
2022,64,Calum Chambers,Aston Villa,England,12
2022,64,Carney Chukwuemeka,Chelsea,England,12
2022,64,Maxwel Cornet,West Ham United,Cote D’Ivoire,12
2022,64,Jhon Durán,Aston Villa,Colombia,12
2022,64,Samuel Edozie,-,England,12
2022,64,Jordan Henderson,-,England,12
2022,64,Nampalys Mendy,-,Senegal,12
2022,64,Cole Palmer,-,England,12
2022,64,Emile Smith Rowe,Arsenal,England,12
2022,64,Hakim Ziyech,-,Morocco,12
2022,79,Emiliano Buendía,Aston Villa,Argentina,11
2022,79,Anthony Elanga,-,Sweden,11
2022,79,Vitaly Janelt,Brentford,Germany,11
2022,79,Cheikhou Kouyaté,Nottingham Forest,Senegal,11
2022,79,Reiss Nelson,Arsenal,England,11
2022,79,Ivan Perisic,Tottenham Hotspur,Croatia,11
2022,79,João Moutinho,-,Portugal,11
2022,79,Kevin Schade,-,Germany,11
2022,79,Matt Targett,Newcastle United,England,11
2022,79,Kostas Tsimikas,Liverpool,Greece,11
2022,79,Neco Williams,Nottingham Forest,Wales,11
2022,90,Pierre-Emerick Aubameyang,-,Gabon,10
2022,90,Taiwo Awoniyi,Nottingham Forest,Nigeria,10
2022,90,Patrick Bamford,-,England,10
2022,90,Armando Broja,Southampton,Albania,10
2022,90,Ryan Christie,Bournemouth,Scotland,10
2022,90,Lewis Cook,Bournemouth,England,10
2022,90,Lucas Digne,Aston Villa,France,10
2022,90,Phil Foden,Manchester City,England,10
2022,90,Wilfried Gnonto,-,Italy,10
2022,90,Sergio Gómez,Manchester City,Spain,10
2022,90,Mateo Kovacic,-,Croatia,10
2021,1,Steven Bergwijn,-,Netherlands,21
2021,2,Jacob Murphy,Newcastle United,England,20
2021,3,Yoane Wissa,Brentford,DR Congo,18
2021,3,Andrii Yarmolenko,-,Ukraine,18
2021,5,Matej Vydra,-,Czech Republic,17
2021,6,Tyler Roberts,-,Wales,16
2021,6,Jay Rodríguez,Burnley,England,16
2021,6,Fábio Silva,-,Portugal,16
2021,9,Ashley Barnes,-,England,15
2021,9,Joe Gelhardt,-,England,15
2021,9,James Milner,-,England,15
2021,9,Nicolas Pépé,-,Cote D’Ivoire,15
2021,9,Lucas Moura,-,Brazil,15
2021,14,Christian Benteke,-,Belgium,14
2021,14,Cucho Hernández,-,Colombia,14
2021,14,Tariq Lamptey,Brighton & Hove Albion,Ghana,14
2021,14,Jesse Lingard,-,England,14
2021,14,Solly March,Brighton & Hove Albion,England,14
2021,14,Michael Olise,Crystal Palace,France,14
2021,14,Ashley Young,-,England,14
2021,21,Shandon Baptiste,Brentford,Grenada,13
2021,21,Emiliano Buendía,Aston Villa,Argentina,13
2021,21,Ibrahima Diallo,-,France,13
2021,21,Saman Ghoddos,Brentford,Iran,13
2021,21,Kelechi Iheanacho,-,Nigeria,13
2021,21,João Pedro,Watford,Brazil,13
2021,21,Riyad Mahrez,-,Algeria,13
2021,21,Eddie Nketiah,Arsenal,England,13
2021,21,Jonathan Rowe,-,England,13
2021,21,Nikola Vlasic,-,Croatia,13
2021,31,Dele Alli,Everton,England,12
2021,31,Mathias Jensen,Brentford,Denmark,12
2021,31,Trincão,-,Portugal,12
2021,31,Marcus Rashford,Manchester United,England,12
2021,31,Salomón Rondón,-,Venezuela,12
2021,31,Lukas Rupp,-,Germany,12
2021,31,Jeffrey Schlupp,Crystal Palace,Ghana,12
2021,31,Emile Smith Rowe,Arsenal,England,12
2021,39,Miguel Almirón,Newcastle United,Paraguay,11
2021,39,Leon Bailey,Aston Villa,Jamaica,11
2021,39,Armando Broja,Southampton,Albania,11
2021,39,Daniel Podence,-,Portugal,11
2021,39,Adam Idah,-,Ireland,11
2021,39,Manuel Lanzini,-,Argentina,11
2021,39,Aaron Lennon,-,England,11
2021,39,Ruben Loftus-Cheek,-,England,11
2021,39,Alexis Mac Allister,-,Argentina,11
2021,39,Ken Sema,-,Sweden,11
2021,39,Christos Tzolis,-,Greece,11
2021,50,Stuart Armstrong,-,Scotland,10
2021,50,Roberto Firmino,-,Brazil,10
2021,50,Carney Chukwuemeka,Aston Villa,England,10
2021,50,Patson Daka,-,Zambia,10
2021,50,Odsonne Édouard,Crystal Palace,France,10
2021,50,Anthony Gordon,Everton,England,10
2021,50,Hwang Hee-Chan,Wolverhampton Wanderers,South Korea,10
2021,50,Alexandre Lacazette,-,France,10
2021,50,Shane Long,-,Ireland,10
2021,50,Ademola Lookman,-,Nigeria,10
2021,50,Romelu Lukaku,-,Belgium,10
2021,50,Takumi Minamino,-,Japan,10
2021,50,Adama Traoré,-,Spain,10
2021,50,Donny van de Beek,-,Netherlands,10
2021,50,Danny Welbeck,Brighton & Hove Albion,England,10
2021,50,Harry Winks,-,England,10
2021,66,Leander Dendoncker,-,Belgium,9
2021,66,Ryan Fraser,-,Scotland,9
2021,66,Bryan Gil,Tottenham Hotspur,Spain,9
2021,66,Naby Keïta,-,Guinea,9
2021,66,Mateo Kovacic,-,Croatia,9
2021,66,Sean Longstaff,Newcastle United,England,9
2021,66,Jean-Philippe Mateta,Crystal Palace,France,9
2021,66,Jakub Moder,Brighton & Hove Albion,Poland,9
2021,66,Christian Pulisic,-,United States,9
2021,66,Mads Roerslev,Brentford,Denmark,9
2021,66,Fernandinho,-,Brazil,9
2021,66,Jadon Sancho,Manchester United,England,9
2021,66,Nuno Tavares,-,Portugal,9
2021,66,Hakim Ziyech,-,Morocco,9
2021,80,Thiago Alcântara,Liverpool,Spain,8
2021,80,Jordan Ayew,Crystal Palace,Ghana,8
2021,80,Harvey Barnes,Leicester City,England,8
2021,80,Edinson Cavani,-,Uruguay,8
2021,80,Tom Cleverley,-,England,8
2021,80,Kieran Dowell,-,England,8
2021,80,Dwight Gayle,-,England,8
2021,80,Danny Ings,-,England,8
2021,80,Pedro Neto,Wolverhampton Wanderers,Portugal,8
2021,80,Gabriel Martinelli,Arsenal,Brazil,8
2021,80,Mark Noble,-,England,8
2021,80,Frank Onyeka,Brentford,Nigeria,8
2021,80,Alex Oxlade-Chamberlain,-,England,8
2021,80,Ayoze Pérez,-,Spain,8
2021,80,Josh Sargent,-,United States,8
2021,80,Diogo Jota,Liverpool,Portugal,8
2021,80,Bertrand Traoré,Aston Villa,Burkina Faso,8
2021,97,Ché Adams,-,Scotland,7
2021,97,Josh Dasilva,Brentford,England,7
2021,97,Gabriel Jesus,-,Brazil,7
2021,97,Moussa Djenepo,-,Mali,7
2020,1,Fábio Silva,-,Portugal,21
2020,2,Jay Rodríguez,Burnley,England,19
2020,3,Érik Lamela,-,Argentina,18
2020,4,Hal Robson-Kanu,-,Wales,17
2020,5,Saïd Benrahma,West Ham United,Algeria,16
2020,5,Jacob Ramsey,Aston Villa,England,16
2020,5,Lucas Moura,-,Brazil,16
2020,8,Rhian Brewster,Sheffield United,England,15
2020,8,Alireza Jahanbakhsh,-,Iran,15
2020,8,James Milner,-,England,15
2020,8,Donny van de Beek,-,Netherlands,15
2020,12,Marc Albrighton,-,England,14
2020,12,Andy Carroll,-,England,14
2020,12,Keinan Davis,-,England,14
2020,12,Dwight Gayle,-,England,14
2020,12,Adam Lallana,Brighton & Hove Albion,England,14
2020,12,Vitinha,-,Portugal,14
2020,12,Aleksandar Mitrovic,-,Serbia,14
2020,12,Ian Poveda,-,Colombia,14
2020,12,Jairo Riedewald,Crystal Palace,Netherlands,14
2020,12,Andrii Yarmolenko,-,Ukraine,14
2020,22,Edinson Cavani,-,Uruguay,13
2020,22,Pablo Hernández,-,Spain,13
2020,22,Callum Hudson-Odoi,-,England,13
2020,22,Alex Iwobi,-,Nigeria,13
2020,22,Eddie Nketiah,Arsenal,England,13
2020,22,Daniel Nlundulu,-,England,13
2020,22,Mark Noble,-,England,13
2020,22,Nicolas Pépé,-,Cote D’Ivoire,13
2020,22,Matt Phillips,-,Scotland,13
2020,22,Tyler Roberts,-,Wales,13
2020,22,Matej Vydra,-,Czech Republic,13
2020,33,Ibrahima Diallo,-,France,12
2020,33,Moussa Djenepo,-,Mali,12
2020,33,Manuel Lanzini,-,Argentina,12
2020,33,Rodrigo,-,Spain,12
2020,33,Nathan Redmond,Southampton,England,12
2020,33,Jeffrey Schlupp,Crystal Palace,Ghana,12
2020,33,Gylfi Sigurdsson,-,Iceland,12
2020,40,Michy Batshuayi,-,Belgium,11
2020,40,Oliver Burke,-,Scotland,11
2020,40,Anwar El Ghazi,-,Netherlands,11
2020,40,Phil Foden,Manchester City,England,11
2020,40,Curtis Jones,Liverpool,England,11
2020,40,Joshua King,-,Norway,11
2020,40,Oliver McBurnie,Sheffield United,Scotland,11
2020,40,Alex Oxlade-Chamberlain,-,England,11
2020,40,André Gomes,Everton,Portugal,11
2020,40,Nathan Tella,-,Nigeria,11
2020,50,Tammy Abraham,-,England,10
2020,50,Jordan Ayew,Crystal Palace,Ghana,10
2020,50,Gareth Bale,-,Wales,10
2020,50,Mason Greenwood,-,England,10
2020,50,Shane Long,-,Ireland,10
2020,50,Ayoze Pérez,-,Spain,10
2020,50,Jamie Shackleton,-,England,10
2020,50,Moussa Sissoko,-,France,10
2020,58,Christian Benteke,-,Belgium,9
2020,58,Willian,-,Brazil,9
2020,58,Joe Bryan,-,England,9
2020,58,Bernard,-,Brazil,9
2020,58,Ryan Fraser,-,Scotland,9
2020,58,Olivier Giroud,-,France,9
2020,58,Trézéguet,-,Egypt,9
2020,58,Kai Havertz,-,Germany,9
2020,58,Kelechi Iheanacho,-,Nigeria,9
2020,58,Ben Johnson,-,England,9
2020,58,Aboubakar Kamara,-,Mauritania,9
2020,58,Alexandre Lacazette,-,France,9
2020,58,Mario Lemina,Fulham,Gabon,9
2020,58,Ruben Loftus-Cheek,-,England,9
2020,58,Lys Mousset,-,France,9
2020,58,Jacob Murphy,Newcastle United,England,9
2020,58,Ivan Cavaleiro,-,Angola,9
2020,58,Christian Pulisic,-,United States,9
2020,58,Fernandinho,-,Brazil,9
2020,58,Xherdan Shaqiri,-,Switzerland,9
2020,58,Billy Sharp,-,England,9
2020,58,Hélder Costa,-,Angola,9
2020,58,Ferran Torres,-,Spain,9
2020,58,Andros Townsend,-,England,9
2020,58,Adama Traoré,-,Spain,9
2020,58,Andi Zeqiri,-,Switzerland,9
2020,84,Dele Alli,-,England,8
2020,84,Joelinton,Newcastle United,Brazil,8
2020,84,Ross Barkley,Chelsea,England,8
2020,84,Steven Bergwijn,-,Netherlands,8
2020,84,Jarrod Bowen,West Ham United,England,8
2020,84,Dani Ceballos,-,Spain,8
2020,84,Aaron Connolly,-,Ireland,8
2020,84,Tom Davies,-,England,8
2020,84,Ryan Fredericks,West Ham United,England,8
2020,84,Alexis Mac Allister,-,Argentina,8
2020,84,Nemanja Matic,-,Serbia,8
2020,84,Scott McTominay,Manchester United,Scotland,8
2020,84,Nampalys Mendy,-,Senegal,8
2020,84,Takumi Minamino,-,Japan,8
2020,84,Callum Robinson,-,Ireland,8
2020,84,Cengiz Ünder,-,Turkey,8
2020,84,Joe Willock,-,England,8
2019,1,Moise Kean,-,Italy,23
2019,2,Divock Origi,-,Belgium,21
2019,2,Joe Willock,-,England,21
2019,4,Pedro Neto,Wolverhampton Wanderers,Portugal,20
2019,5,Mason Greenwood,-,England,19
2019,5,Lys Mousset,-,France,19
2019,7,Ché Adams,-,Scotland,18
2019,7,Demarai Gray,-,Jamaica,18
2019,9,James McCarthy,-,Ireland,17
2019,10,Josip Drmic,-,Switzerland,16
2019,10,Andre Gray,-,Jamaica,16
2019,10,Glenn Murray,-,England,16
2019,10,Jay Rodríguez,Burnley,England,16
2019,14,Michy Batshuayi,-,Belgium,15
2019,14,Andy Carroll,-,England,15
2019,14,Callum Hudson-Odoi,-,England,15
2019,14,Dennis Praet,-,Belgium,15
2019,14,Billy Sharp,-,England,15
2019,14,Dominic Solanke,Bournemouth,England,15
2019,20,Keinan Davis,-,England,14
2019,20,Phil Foden,Manchester City,England,14
2019,20,Trézéguet,-,Egypt,14
2019,20,Mario Vrancic,-,Bosnia & Herzegovina,14
2019,24,Christian Atsu,-,Ghana,13
