Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Nick Pope,Newcastle United,England,38
2022,2,Emiliano Martínez,Aston Villa,Argentina,34
2022,3,Alisson Becker,Liverpool,Brazil,33
2022,4,Illan Meslier,-,France,30
2022,5,Bernd Leno,Fulham,Germany,25
2022,6,David Raya,-,Spain,22
2022,7,Kepa,-,Spain,19
2022,8,Gavin Bazunu,-,Ireland,18
2022,8,Jordan Pickford,Everton,England,18
2022,10,Ederson,Manchester City,Brazil,17
2022,10,Danny Ward,-,Wales,17
2022,12,José Sá,Wolverhampton Wanderers,Portugal,15
2022,12,Aaron Ramsdale,Arsenal,England,15
2022,14,Lukasz Fabianski,West Ham United,Poland,13
2022,15,David de Gea,-,Spain,12
2022,16,Vicente Guaita,-,Spain,11
2022,16,Dean Henderson,-,England,11
2022,16,Neto,Bournemouth,Brazil,11
2022,19,Fraser Forster,Tottenham Hotspur,England,7
2022,19,Hugo Lloris,Tottenham Hotspur,France,7
2022,21,Jason Steele,Brighton & Hove Albion,England,6
2022,22,Sam Johnstone,Crystal Palace,England,5
2022,22,Keylor Navas,-,Costa Rica,5
2022,22,Robert Sánchez,-,Spain,5
2022,25,Daniel Iversen,-,Denmark,4
2022,25,Alex McCarthy,-,England,4
2022,27,Édouard Mendy,-,Senegal,3
2022,27,Robin Olsen,Aston Villa,Sweden,3
2022,29,Martin Dúbravka,Newcastle United,Slovakia,2
2022,29,Stefan Ortega,Manchester City,Germany,2
2022,31,Wayne Hennessey,Nottingham Forest,Wales,1
2022,31,Joel Robles,-,Spain,1
2022,31,Marek Rodák,Fulham,Slovakia,1
2022,31,Mark Travers,-,Ireland,1
2022,31,Joe Whitworth,Crystal Palace,England,1
2021,1,José Sá,Wolverhampton Wanderers,Portugal,31
2021,2,Alisson Becker,Liverpool,Brazil,30
2021,3,Nick Pope,Burnley,England,28
2021,4,Hugo Lloris,Tottenham Hotspur,France,22
2021,4,Illan Meslier,-,France,22
2021,6,Aaron Ramsdale,Arsenal,England,21
2021,7,Édouard Mendy,-,Senegal,19
2021,7,Ederson,Manchester City,Brazil,19
2021,9,Vicente Guaita,-,Spain,17
2021,9,Jordan Pickford,Everton,England,17
2021,11,David Raya,-,Spain,16
2021,12,Fraser Forster,-,England,15
2021,12,Kasper Schmeichel,-,Denmark,15
2021,14,Emiliano Martínez,Aston Villa,Argentina,11
2021,15,Martin Dúbravka,Newcastle United,Slovakia,9
2021,16,David de Gea,-,Spain,7
2021,16,Ben Foster,-,England,7
2021,16,Tim Krul,-,Netherlands,7
2021,19,Daniel Bachmann,-,Austria,6
2021,19,Robert Sánchez,-,Spain,6
2021,21,Lukasz Fabianski,West Ham United,Poland,5
2021,21,Angus Gunn,-,Scotland,5
2021,23,Kepa,-,Spain,4
2021,23,Álvaro Fernández,-,Spain,4
2021,23,Caoimhín Kelleher,Liverpool,Ireland,4
2021,26,Jack Butland,-,England,3
2021,27,Karl Darlow,-,England,2
2021,27,Jonas Lössl,-,Denmark,2
2021,27,Alex McCarthy,-,England,2
