Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,João Palhinha,Fulham,Portugal,148
2022,2,Moisés Caicedo,-,Ecuador,100
2022,3,Idrissa Gueye,Everton,Senegal,97
2022,4,Tyler Adams,-,United States,89
2022,4,Casemiro,Manchester United,Brazil,89
2022,6,Timothy Castagne,-,Belgium,87
2022,7,Pascal Struijk,-,Netherlands,84
2022,8,Kenny Tete,Fulham,Netherlands,83
2022,9,Rúben Neves,-,Portugal,79
2022,9,Declan Rice,-,England,79
2022,11,Bruno Guimarães,Newcastle United,Brazil,78
2022,12,Cheick Doucouré,Crystal Palace,Mali,77
2022,12,Tomás Soucek,West Ham United,Czech Republic,77
2022,14,Douglas Luiz,Aston Villa,Brazil,73
2022,15,Amadou Onana,Everton,Belgium,72
2022,15,Neco Williams,Nottingham Forest,Wales,72
2022,17,Nélson Semedo,Wolverhampton Wanderers,Portugal,71
2022,17,Tyrick Mitchell,Crystal Palace,England,71
2022,17,Lucas Paquetá,West Ham United,Brazil,71
2022,17,Kieran Trippier,Newcastle United,England,71
2022,21,Joelinton,Newcastle United,Brazil,70
2022,21,Mathias Jensen,Brentford,Denmark,70
2022,21,Alexis Mac Allister,-,Argentina,70
2022,21,Thomas Partey,Arsenal,Ghana,70
2022,25,Alex Iwobi,-,Nigeria,69
2022,25,Jacob Ramsey,Aston Villa,England,69
2022,27,Bruno Fernandes,Manchester United,Portugal,68
2022,27,Cristian Romero,Tottenham Hotspur,Argentina,68
2022,29,Rodri,Manchester City,Spain,67
2022,29,Matheus Nunes,-,Portugal,67
2022,31,Jordan Ayew,Crystal Palace,Ghana,66
2022,31,Luke Ayling,-,England,66
2022,31,Marc Cucurella,Chelsea,Spain,66
2022,31,John McGinn,Aston Villa,Scotland,66
2022,31,Marc Roca,-,Spain,66
2022,31,Jeffrey Schlupp,Crystal Palace,Ghana,66
2022,31,Youri Tielemans,-,Belgium,66
2022,38,Fabinho,-,Brazil,65
2022,38,James Ward-Prowse,-,England,65
2022,40,Sèrge Aurier,Nottingham Forest,Cote D’Ivoire,64
2022,40,Dwight McNeil,Everton,England,64
2022,42,Philip Billing,Bournemouth,Denmark,63
2022,42,Bukayo Saka,Arsenal,England,63
2022,44,Rasmus Kristensen,-,Denmark,62
2022,44,Antonee Robinson,Fulham,United States,62
2022,44,Joël Veltman,Brighton & Hove Albion,Netherlands,62
2022,47,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,61
2022,47,Wilfred Ndidi,-,Nigeria,61
2022,47,Kyle Walker-Peters,-,England,61
2022,50,Dan Burn,Newcastle United,England,60
2022,50,Jorginho,Arsenal,Italy,60
2022,50,Roméo Lavia,-,Belgium,60
2022,50,Ben White,Arsenal,England,60
2022,54,Pascal Groß,Brighton & Hove Albion,Germany,59
2022,55,Vladimír Coufal,West Ham United,Czech Republic,58
2022,55,Boubacar Kamara,Aston Villa,France,58
2022,55,Vitaliy Mykolenko,Everton,Ukraine,58
2022,55,Michael Olise,Crystal Palace,France,58
2022,59,Trent Alexander-Arnold,Liverpool,England,57
