Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Nick Pope,Newcastle United,England,232
2022,2,Alisson Becker,Liverpool,Brazil,210
2022,3,Illan Meslier,-,France,194
2022,4,Bernd Leno,Fulham,Germany,190
2022,5,José Sá,Wolverhampton Wanderers,Portugal,182
2022,6,Aaron Ramsdale,Arsenal,England,174
2022,7,David Raya,-,Spain,160
2022,8,Danny Ward,-,Wales,154
2022,9,Lukasz Fabianski,West Ham United,Poland,153
2022,10,Kepa,-,Spain,151
2022,10,Jordan Pickford,Everton,England,151
2022,12,Ederson,Manchester City,Brazil,147
2022,13,Gavin Bazunu,-,Ireland,144
2022,14,Vicente Guaita,-,Spain,140
2022,15,Neto,Bournemouth,Brazil,136
2022,16,Emiliano Martínez,Aston Villa,Argentina,135
2022,17,David de Gea,-,Spain,128
2022,18,Hugo Lloris,Tottenham Hotspur,France,109
2022,19,Dean Henderson,-,England,107
2022,20,Robert Sánchez,-,Spain,103
2022,21,Fraser Forster,Tottenham Hotspur,England,71
2022,22,Keylor Navas,-,Costa Rica,65
2022,23,Mark Travers,-,Ireland,54
2022,24,Daniel Iversen,-,Denmark,49
2022,25,Jason Steele,Brighton & Hove Albion,England,48
2022,26,Édouard Mendy,-,Senegal,47
2022,27,Sam Johnstone,Crystal Palace,England,41
2022,28,Alex McCarthy,-,England,29
2022,29,Joel Robles,-,Spain,20
2022,30,Robin Olsen,Aston Villa,Sweden,18
2022,31,Stefan Ortega,Manchester City,Germany,16
2022,32,Alphonse Areola,West Ham United,France,14
2022,32,Dan Bentley,Wolverhampton Wanderers,England,14
2022,32,Martin Dúbravka,Newcastle United,Slovakia,14
2022,35,Wayne Hennessey,Nottingham Forest,Wales,13
2022,36,Joe Whitworth,Crystal Palace,England,8
2022,37,Caoimhín Kelleher,Liverpool,Ireland,7
2022,38,Asmir Begovic,-,Bosnia & Herzegovina,5
2022,39,Marek Rodák,Fulham,Slovakia,3
2021,1,Illan Meslier,-,France,274
2021,2,José Sá,Wolverhampton Wanderers,Portugal,216
2021,3,Alisson Becker,Liverpool,Brazil,211
2021,4,Robert Sánchez,-,Spain,186
2021,5,Vicente Guaita,-,Spain,182
2021,6,Tim Krul,-,Netherlands,168
2021,7,Kasper Schmeichel,-,Denmark,166
2021,8,Ederson,Manchester City,Brazil,165
2021,9,Lukasz Fabianski,West Ham United,Poland,164
2021,10,Emiliano Martínez,Aston Villa,Argentina,162
2021,10,Aaron Ramsdale,Arsenal,England,162
2021,12,Hugo Lloris,Tottenham Hotspur,France,161
2021,13,Édouard Mendy,-,Senegal,154
2021,14,Nick Pope,Burnley,England,147
2021,15,David de Gea,-,Spain,134
2021,16,Jordan Pickford,Everton,England,119
2021,17,David Raya,-,Spain,118
2021,18,Martin Dúbravka,Newcastle United,Slovakia,88
2021,19,Alex McCarthy,-,England,78
2021,20,Ben Foster,-,England,76
2021,21,Fraser Forster,-,England,71
2021,22,Álvaro Fernández,-,Spain,60
2021,23,Daniel Bachmann,-,Austria,47
2021,23,Angus Gunn,-,Scotland,47
2021,25,Jack Butland,-,England,40
2021,26,Kepa,-,Spain,29
2021,27,Karl Darlow,-,England,28
2021,28,Caoimhín Kelleher,Liverpool,Ireland,13
2021,28,Bernd Leno,-,Germany,13
2021,30,Freddie Woodman,-,England,11
2021,31,Danny Ward,-,Wales,8
2021,32,Wayne Hennessey,Burnley,Wales,7
2021,32,Robin Olsen,Aston Villa,Sweden,7
2021,32,Jed Steer,-,England,7
2021,35,Jonas Lössl,-,Denmark,6
2021,35,Zack Steffen,Manchester City,United States,6
2021,37,Asmir Begovic,-,Bosnia & Herzegovina,5
2021,38,John Ruddy,-,England,4
2021,39,Alphonse Areola,West Ham United,France,3
2021,40,Kristoffer Klaesson,-,Norway,2
2021,40,Jason Steele,Brighton & Hove Albion,England,2
2020,1,Illan Meslier,-,France,286
2020,2,Bernd Leno,-,Germany,183
2020,3,Sam Johnstone,West Bromwich Albion,England,182
2020,4,Kasper Schmeichel,-,Denmark,181
2020,5,Hugo Lloris,Tottenham Hotspur,France,180
2020,6,Emiliano Martínez,Aston Villa,Argentina,177
2020,7,Alphonse Areola,Fulham,France,173
2020,8,Alisson Becker,Liverpool,Brazil,165
2020,9,Ederson,Manchester City,Brazil,161
2020,10,Vicente Guaita,-,Spain,156
2020,11,Lukasz Fabianski,West Ham United,Poland,154
2020,12,Jordan Pickford,Everton,England,151
2020,13,Rui Patrício,-,Portugal,146
2020,14,Nick Pope,Burnley,England,136
2020,15,Alex McCarthy,-,England,131
2020,16,Aaron Ramsdale,-,England,128
2020,17,Édouard Mendy,-,Senegal,126
2020,18,Robert Sánchez,-,Spain,118
2020,19,Karl Darlow,-,England,92
2020,20,David de Gea,-,Spain,88
2020,21,Mathew Ryan,-,Australia,82
2020,22,Martin Dúbravka,Newcastle United,Slovakia,67
2020,23,Dean Henderson,-,England,66
2020,24,Kepa,-,Spain,41
2020,25,Fraser Forster,-,England,28
2020,26,Robin Olsen,-,Sweden,23
2020,27,Kiko Casilla,-,Spain,20
2020,28,Adrián,Liverpool,Spain,19
2020,29,Caoimhín Kelleher,Liverpool,Ireland,12
2020,30,John Ruddy,-,England,10
2020,31,Scott Carson,-,England,6
2020,31,Bailey Peacock-Farrell,-,Northern Ireland,6
2020,31,Marek Rodák,Fulham,Slovakia,6
2020,34,Darren Randolph,West Ham United,Ireland,5
2020,35,Zack Steffen,Manchester City,United States,4
2020,36,João Virgínia,Everton,Portugal,3
2020,37,Jack Butland,-,England,2
2020,37,Willy Caballero,-,Argentina,2
2020,37,Rúnar Rúnarsson,-,Iceland,2
2020,40,David Button,-,England,1
2020,40,Will Norris,-,England,1
2019,1,Mathew Ryan,-,Australia,255
2019,2,Tim Krul,-,Netherlands,198
2019,3,Jordan Pickford,Everton,England,195
2019,4,Bernd Leno,-,Germany,185
2019,4,Aaron Ramsdale,-,England,185
2019,6,Nick Pope,Burnley,England,180
2019,7,Ederson,Manchester City,Brazil,178
2019,8,Vicente Guaita,-,Spain,173
2019,9,Kasper Schmeichel,-,Denmark,159
2019,10,David de Gea,-,Spain,153
2019,11,Kepa,-,Spain,151
2019,12,Alisson Becker,Liverpool,Brazil,140
2019,13,Rui Patrício,-,Portugal,127
2019,14,Martin Dúbravka,Newcastle United,Slovakia,119
2019,15,Ben Foster,-,England,118
2019,16,Dean Henderson,-,England,106
2019,17,Lukasz Fabianski,West Ham United,Poland,100
2019,18,Tom Heaton,-,England,99
2019,19,Hugo Lloris,Tottenham Hotspur,France,97
2019,20,Alex McCarthy,-,England,76
2019,21,Paulo Gazzaniga,-,Argentina,63
2019,22,Pepe Reina,-,Spain,51
2019,22,Adrián,Liverpool,Spain,51
2019,24,Emiliano Martínez,-,Argentina,48
2019,25,Ørjan Nyland,-,Norway,29
2019,26,Angus Gunn,-,Scotland,27
2019,27,Roberto Jiménez,-,Spain,26
2019,28,Claudio Bravo,-,Chile,17
2019,28,Willy Caballero,-,Argentina,17
2019,30,David Martin,-,England,12
2019,31,Michael McGovern,-,Northern Ireland,11
2019,32,Wayne Hennessey,-,Wales,7
2019,33,Mark Travers,Bournemouth,Ireland,5
2019,34,Simon Moore,-,England,4
2019,34,Darren Randolph,West Ham United,Ireland,4
2019,36,Ralf Fährmann,-,Germany,2
2018,1,Alisson Becker,Liverpool,Brazil,212
2018,2,Ederson,Manchester City,Brazil,188
2018,3,Bernd Leno,-,Germany,181
2018,4,Hugo Lloris,Tottenham Hotspur,France,161
2018,5,Kepa,-,Spain,156
