Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Lewis Dunk,Brighton & Hove Albion,England,"3,520"
2022,2,Rodri,Manchester City,Spain,"3,363"
2022,3,Trent Alexander-Arnold,Liverpool,England,"3,267"
2022,4,Kieran Trippier,Newcastle United,England,"3,194"
2022,5,Virgil van Dijk,Liverpool,Netherlands,"2,893"
2022,6,Gabriel Magalhães,Arsenal,Brazil,"2,829"
2022,7,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,"2,762"
2022,8,Moisés Caicedo,-,Ecuador,"2,735"
2022,9,Pascal Groß,Brighton & Hove Albion,Germany,"2,671"
2022,10,Marc Guéhi,Crystal Palace,England,"2,630"
2022,11,Ben White,Arsenal,England,"2,593"
2022,12,Declan Rice,-,England,"2,589"
2022,13,Rúben Neves,-,Portugal,"2,573"
2022,14,James Ward-Prowse,-,England,"2,564"
2022,15,Andy Robertson,Liverpool,Scotland,"2,544"
2022,16,Bruno Fernandes,Manchester United,Portugal,"2,530"
2022,17,Maximilian Kilman,Wolverhampton Wanderers,England,"2,527"
2022,18,Luke Shaw,Manchester United,England,"2,463"
2022,19,Antonee Robinson,Fulham,United States,"2,370"
2022,20,Thomas Partey,Arsenal,Ghana,"2,357"
2022,21,Joachim Andersen,Crystal Palace,Denmark,"2,345"
2022,22,Thiago Silva,Chelsea,Brazil,"2,331"
2022,23,Alexis Mac Allister,-,Argentina,"2,321"
2022,24,Timothy Castagne,-,Belgium,"2,309"
2022,25,Eric Dier,Tottenham Hotspur,England,"2,299"
2022,26,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,"2,298"
2022,27,Fabian Schär,Newcastle United,Switzerland,"2,289"
2022,28,Tyrone Mings,Aston Villa,England,"2,268"
2022,29,Rúben Dias,Manchester City,Portugal,"2,264"
2022,29,Ezri Konsa,Aston Villa,England,"2,264"
2022,31,Manuel Akanji,Manchester City,Switzerland,"2,258"
2022,32,Douglas Luiz,Aston Villa,Brazil,"2,244"
2022,33,Tim Ream,Fulham,United States,"2,231"
2022,34,Martin Ødegaard,Arsenal,Norway,"2,229"
2022,35,Wout Faes,-,Belgium,"2,227"
2022,36,Bruno Guimarães,Newcastle United,Brazil,"2,189"
2022,37,James Tarkowski,Everton,England,"2,175"
2022,38,Oleksandr Zinchenko,Arsenal,Ukraine,"2,169"
2022,39,Ben Mee,Brentford,England,"2,163"
2022,40,Fabinho,-,Brazil,"2,146"
2022,41,Dan Burn,Newcastle United,England,"2,120"
2022,42,Sven Botman,Newcastle United,Netherlands,"2,104"
2022,43,William Saliba,Arsenal,France,"2,095"
2022,44,Bukayo Saka,Arsenal,England,"2,067"
2022,45,Alex Iwobi,-,Nigeria,"2,048"
2022,46,Kyle Walker,Manchester City,England,"2,032"
2022,47,Kenny Tete,Fulham,Netherlands,"2,016"
