Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,João Palhinha,Fulham,Portugal,14
2022,2,Joelinton,Newcastle United,Brazil,12
2022,2,Rúben Neves,-,Portugal,12
2022,4,Nélson Semedo,Wolverhampton Wanderers,Portugal,11
2022,4,Adam Smith,Bournemouth,England,11
2022,4,Fabinho,-,Brazil,11
2022,7,Moisés Caicedo,-,Ecuador,10
2022,7,James Maddison,-,England,10
2022,9,Cheick Doucouré,Crystal Palace,Mali,9
2022,9,Conor Gallagher,Chelsea,England,9
2022,9,Roméo Lavia,-,Belgium,9
2022,9,Amadou Onana,Everton,Belgium,9
2022,9,Boubakary Soumaré,-,France,9
2022,9,Ivan Toney,Brentford,England,9
2022,15,Joachim Andersen,Crystal Palace,Denmark,8
2022,15,Rodrigo Bentancur,Tottenham Hotspur,Uruguay,8
2022,15,Bobby De Cordova-Reid,Fulham,Jamaica,8
2022,15,Marc Guéhi,Crystal Palace,England,8
2022,15,Andreas Pereira,Fulham,Brazil,8
2022,15,Mateo Kovacic,-,Croatia,8
2022,16,Alexis Mac Allister,-,Argentina,8
2022,16,Scott McTominay,Manchester United,Scotland,8
2022,16,Antonee Robinson,Fulham,United States,8
2022,16,Cristian Romero,Tottenham Hotspur,Argentina,8
2022,16,Luke Shaw,Manchester United,England,8
2022,16,Kenny Tete,Fulham,Netherlands,8
2022,27,Casemiro,Manchester United,Brazil,7
2022,27,Wilfried Gnonto,-,Italy,7
2022,27,Anthony Gordon,Newcastle United,England,7
2022,27,Pascal Groß,Brighton & Hove Albion,Germany,7
2022,27,Idrissa Gueye,Everton,Senegal,7
2022,27,Bruno Guimarães,Newcastle United,Brazil,7
2022,27,Aaron Hickey,Brentford,Scotland,7
2022,27,Robin Koch,-,Germany,7
2022,27,Jefferson Lerma,-,Colombia,7
2022,27,Renan Lodi,-,Brazil,7
2022,27,Emiliano Martínez,Aston Villa,Argentina,7
2022,27,John McGinn,Aston Villa,Scotland,7
2022,27,Weston McKennie,-,United States,7
2022,27,Chris Mepham,Bournemouth,Wales,7
2022,27,Tyrone Mings,Aston Villa,England,7
2022,27,Aleksandar Mitrovic,-,Serbia,7
2022,27,Marc Roca,-,Spain,7
2022,27,Fabian Schär,Newcastle United,Switzerland,7
2022,27,Jeffrey Schlupp,Crystal Palace,Ghana,7
2022,27,Marcos Senesi,Bournemouth,Argentina,7
2022,27,Oliver Skipp,Tottenham Hotspur,England,7
2022,27,Neco Williams,Nottingham Forest,Wales,7
2022,27,Ashley Young,-,England,7
2022,50,Stuart Armstrong,-,Scotland,6
2022,50,Yves Bissouma,Tottenham Hotspur,Mali,6
2022,50,Bruno Fernandes,Manchester United,Portugal,6
2022,50,Dan Burn,Newcastle United,England,6
2022,50,Diogo Dalot,Manchester United,Portugal,6
2022,50,Craig Dawson,Wolverhampton Wanderers,England,6
2022,50,Gabriel Jesus,Arsenal,Brazil,6
2022,50,Abdoulaye Doucouré,Everton,Mali,6
2022,50,Morgan Gibbs-White,Nottingham Forest,England,6
2022,50,Toti,Wolverhampton Wanderers,Portugal,6
2022,50,Brennan Johnson,-,Wales,6
2022,50,Harry Kane,-,England,6
2022,50,Ezri Konsa,Aston Villa,England,6
2022,50,Tyrell Malacia,Manchester United,Netherlands,6
2022,50,Lisandro Martínez,Manchester United,Argentina,6
2022,50,Rodrigo,-,Spain,6
2022,50,Christian Nørgaard,Brentford,Denmark,6
2022,50,Ivan Perisic,Tottenham Hotspur,Croatia,6
2022,50,Jordan Pickford,Everton,England,6
2022,50,Fred,-,Brazil,6
2022,50,Bukayo Saka,Arsenal,England,6
2022,50,Douglas Luiz,Aston Villa,Brazil,6
2022,50,James Tarkowski,Everton,England,6
2022,50,Joël Veltman,Brighton & Hove Albion,Netherlands,6
2022,50,Joel Ward,Crystal Palace,England,6
2022,50,James Ward-Prowse,-,England,6
2022,50,Joe Worrall,Nottingham Forest,England,6
2022,77,Trent Alexander-Arnold,Liverpool,England,5
2022,77,Jordan Ayew,Crystal Palace,Ghana,5
2022,77,Jan Bednarek,-,Poland,5
2022,77,Philip Billing,Bournemouth,Denmark,5
2022,77,Daniel Podence,-,Portugal,5
2022,77,Liam Cooper,-,Scotland,5
2022,77,Vladimír Coufal,West Ham United,Czech Republic,5
2022,77,Diego Costa,-,Spain,5
2022,77,Lucas Digne,Aston Villa,France,5
2022,77,Antony,Manchester United,Brazil,5
2022,77,Gabriel Magalhães,Arsenal,Brazil,5
2022,77,Junior Firpo,-,Spain,5
2022,77,João Gomes,Wolverhampton Wanderers,Brazil,5
2022,77,Erling Haaland,Manchester City,Norway,5
2022,77,Kai Havertz,-,Germany,5
2022,77,Rodri,Manchester City,Spain,5
2022,77,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,5
2022,77,Mathias Jensen,Brentford,Denmark,5
2022,77,Ibrahima Konaté,Liverpool,France,5
2022,77,Kalidou Koulibaly,-,Senegal,5
2022,77,Bryan Mbeumo,Brentford,Cameroon,5
2022,77,Dwight McNeil,Everton,England,5
2022,77,Tyrick Mitchell,Crystal Palace,England,5
2022,77,Bernardo Silva,Manchester City,Portugal,5
2021,1,Junior Firpo,-,Spain,11
2021,1,Tyrone Mings,Aston Villa,England,11
2021,1,James Tarkowski,Burnley,England,11
2021,4,Jan Bednarek,-,Poland,10
2021,4,Yves Bissouma,Brighton & Hove Albion,Mali,10
2021,4,Bruno Fernandes,Manchester United,Portugal,10
2021,4,Josh Brownhill,Burnley,England,10
2021,4,Conor Gallagher,Chelsea,England,10
2021,4,Granit Xhaka,-,Switzerland,10
2021,10,Rúben Neves,-,Portugal,9
2021,10,Richarlison,-,Brazil,9
2021,10,Scott McTominay,Manchester United,Scotland,9
2021,10,Rodrigo,-,Spain,9
2021,10,Oriol Romeu,-,Spain,9
2021,10,Antonio Rüdiger,-,Germany,9
2021,16,Max Aarons,-,England,8
2021,16,Marcos Alonso,-,Spain,8
2021,16,Joelinton,Newcastle United,Brazil,8
2021,16,Dan Burn,Newcastle United,England,8
2021,16,Matty Cash,Aston Villa,Poland,8
2021,16,Cristiano Ronaldo,-,Portugal,8
2021,16,John McGinn,Aston Villa,Scotland,8
2021,16,Christian Nørgaard,Brentford,Denmark,8
2021,16,Declan Rice,-,England,8
2021,16,Cristian Romero,Tottenham Hotspur,Argentina,8
2021,16,Mohammed Salisu,-,Ghana,8
2021,16,Luke Shaw,Manchester United,England,8
2021,16,Ivan Toney,Brentford,England,8
2021,16,Joel Ward,Crystal Palace,England,8
2021,16,Brandon Williams,-,England,8
2021,31,João Cancelo,-,Portugal,7
2021,31,Emmanuel Dennis,-,Nigeria,7
2021,31,Raphinha,-,Brazil,7
2021,31,Shane Duffy,-,Ireland,7
2021,31,Mason Holgate,-,England,7
2021,31,Daniel James,-,Wales,7
2021,31,Pontus Jansson,-,Sweden,7
2021,31,Diego Llorente,-,Spain,7
2021,31,Harry Maguire,Manchester United,England,7
2021,31,Allan,-,Brazil,7
2021,31,Neal Maupay,Brighton & Hove Albion,France,7
2021,31,Paul Pogba,-,France,7
2021,31,Douglas Luiz,Aston Villa,Brazil,7
2021,31,Fabinho,-,Brazil,7
2021,31,Ollie Watkins,Aston Villa,England,7
2021,31,Ashley Westwood,-,England,7
2021,47,Michail Antonio,West Ham United,Jamaica,6
2021,47,Jarrod Bowen,West Ham United,England,6
2021,47,Sergi Canós,-,Spain,6
2021,47,Marc Cucurella,Brighton & Hove Albion,Spain,6
2021,47,Ben Davies,Tottenham Hotspur,Wales,6
2021,47,Lucas Digne,Aston Villa,France,6
2021,47,Gabriel Magalhães,Arsenal,Brazil,6
2021,47,Abdoulaye Doucouré,Everton,Mali,6
2021,47,Ben Godfrey,Everton,England,6
2021,47,Will Hughes,Crystal Palace,England,6
2021,47,Imrân Louza,-,Morocco,6
2021,47,Bernardo Silva,Manchester City,Portugal,6
2021,47,Mathias Normann,-,Norway,6
2021,47,Jacob Ramsey,Aston Villa,England,6
2021,47,Allan Saint-Maximin,-,France,6
2021,47,Romain Saïss,-,Morocco,6
2021,47,Bukayo Saka,Arsenal,England,6
2021,47,Oliver Skipp,Tottenham Hotspur,England,6
2021,47,Pascal Struijk,-,Netherlands,6
2021,47,Joël Veltman,Brighton & Hove Albion,Netherlands,6
2021,67,Kristoffer Ajer,Brentford,Norway,5
2021,67,Rodrigo Bentancur,Tottenham Hotspur,Uruguay,5
2021,67,Conor Coady,-,England,5
2021,67,Liam Cooper,-,Scotland,5
2021,67,Stuart Dallas,-,Northern Ireland,5
2021,67,Rúben Dias,Manchester City,Portugal,5
2021,67,Adam Forshaw,-,England,5
2021,67,Jorginho,-,Italy,5
2021,67,Isaac Hayden,-,England,5
2021,67,Rodri,Manchester City,Spain,5
2021,67,Raúl Jiménez,-,Mexico,5
2021,67,Harry Kane,-,England,5
2021,67,Joshua King,-,Norway,5
2021,67,Mateusz Klich,-,Poland,5
2021,67,Emil Krafth,Newcastle United,Sweden,5
2021,67,Aymeric Laporte,-,Spain,5
2021,67,Jamaal Lascelles,Newcastle United,England,5
2021,67,Pierre Lees-Melou,-,France,5
2021,67,Emerson Royal,Tottenham Hotspur,Brazil,5
2021,67,Sadio Mané,-,Senegal,5
2021,67,Javier Manquillo,Newcastle United,Spain,5
2021,67,Marvelous Nakamba,-,Zimbabwe,5
2021,67,Thomas Partey,Arsenal,Ghana,5
2021,67,Matt Ritchie,Newcastle United,Scotland,5
2021,67,Tyler Roberts,-,Wales,5
2021,67,Andy Robertson,Liverpool,Scotland,5
2021,67,Fred,-,Brazil,5
2021,67,Albert Sambi Lokonga,-,Belgium,5
2021,67,Jonjo Shelvey,-,England,5
2021,67,Moussa Sissoko,-,France,5
2021,67,Çaglar Söyüncü,-,Turkey,5
2021,67,Kyle Walker-Peters,-,England,5
2021,67,Adam Webster,Brighton & Hove Albion,England,5
2021,100,Rayan Aït-Nouri,Wolverhampton Wanderers,Algeria,4
2020,1,John McGinn,Aston Villa,Scotland,12
2020,2,Conor Gallagher,West Bromwich Albion,England,11
2020,2,Harry Maguire,Manchester United,England,11
2020,4,Kalvin Phillips,-,England,10
2020,5,Mason Holgate,-,England,9
2020,5,Pierre-Emile Højbjerg,Tottenham Hotspur,Denmark,9
2020,7,Héctor Bellerín,-,Spain,8
2020,7,Yves Bissouma,Brighton & Hove Albion,Mali,8
2020,7,Rúben Neves,-,Portugal,8
2020,7,Isaac Hayden,-,England,8
2020,7,John Lundstram,-,England,8
2020,7,Luka Milivojevic,-,Serbia,8
2020,7,Luke Shaw,Manchester United,England,8
2020,7,Douglas Luiz,Aston Villa,Brazil,8
2020,15,Ezgjan Alioski,-,North Macedonia,7
2020,15,Joachim Andersen,Fulham,Denmark,7
