Initial Year,Rank,Player,Club,Nationality,Stat
2022,1,Mathias Jensen,Brentford,Denmark,27
2022,2,Andreas Pereira,Fulham,Brazil,26
2022,2,Bryan Mbeumo,Brentford,Cameroon,26
2022,4,Miguel Almirón,Newcastle United,Paraguay,23
2022,4,Philip Billing,Bournemouth,Denmark,23
2022,4,Jack Harrison,-,England,23
2022,4,Joe Willock,Newcastle United,England,23
2022,4,Martin Ødegaard,Arsenal,Norway,23
2022,9,Leon Bailey,Aston Villa,Jamaica,22
2022,10,Brenden Aaronson,-,United States,20
2022,10,Lucas Paquetá,West Ham United,Brazil,20
2022,10,Leandro Trossard,Arsenal,Belgium,20
2022,13,Michail Antonio,West Ham United,Jamaica,19
2022,13,Willian,Fulham,Brazil,19
2022,13,Emiliano Buendía,Aston Villa,Argentina,19
2022,13,Dejan Kulusevski,-,Sweden,19
2022,13,Jeffrey Schlupp,Crystal Palace,Ghana,19
2022,13,Callum Wilson,Newcastle United,England,19
2022,19,Bobby De Cordova-Reid,Fulham,Jamaica,18
2022,19,Odsonne Édouard,Crystal Palace,France,18
2022,19,Mohamed Elyounoussi,-,Norway,18
2022,19,Idrissa Gueye,Everton,Senegal,18
2022,19,Gabriel Martinelli,Arsenal,Brazil,18
2022,19,Harrison Reed,Fulham,England,18
2022,19,Oleksandr Zinchenko,Arsenal,Ukraine,18
2022,26,Taiwo Awoniyi,Nottingham Forest,Nigeria,17
2022,26,Ryan Christie,Bournemouth,Scotland,17
2022,26,Antony,Manchester United,Brazil,17
2022,26,Cheick Doucouré,Crystal Palace,Mali,17
2022,26,Christian Eriksen,Manchester United,Denmark,17
2022,27,Marc Roca,-,Spain,17
2022,27,Jadon Sancho,-,England,17
2022,33,Patrick Bamford,-,England,16
2022,33,Rodrigo,-,Spain,16
2022,33,Matheus Nunes,-,Portugal,16
2022,33,Raheem Sterling,Chelsea,England,16
2022,37,Eberechi Eze,Crystal Palace,England,15
2022,37,Kai Havertz,-,Germany,15
2022,37,Aaron Hickey,Brentford,Scotland,15
2022,37,Jacob Ramsey,Aston Villa,England,15
2022,37,Ben White,Arsenal,England,15
2022,37,Yoane Wissa,Brentford,DR Congo,15
2022,43,Adam Armstrong,-,England,14
2022,43,Stuart Armstrong,-,Scotland,14
2022,43,Jordan Ayew,Crystal Palace,Ghana,14
2022,43,Saïd Benrahma,West Ham United,Algeria,14
2022,43,Diego Costa,-,Spain,14
2022,43,Josh Dasilva,Brentford,England,14
2022,43,Harvey Elliott,Liverpool,England,14
2022,43,Pablo Fornals,West Ham United,Spain,14
2022,44,Orel Mangala,Nottingham Forest,Belgium,14
2022,44,Michael Olise,Crystal Palace,France,14
2022,44,Bukayo Saka,Arsenal,England,14
2022,44,João Moutinho,-,Portugal,14
2022,44,Son Heung-Min,Tottenham Hotspur,South Korea,14
2022,44,Danny Welbeck,Brighton & Hove Albion,England,14
2022,57,Gabriel Jesus,Arsenal,Brazil,13
2022,57,Jordan Henderson,-,England,13
2022,57,Ruben Loftus-Cheek,-,England,13
2022,57,Solly March,Brighton & Hove Albion,England,13
2022,57,Mason Mount,-,England,13
2022,57,Jacob Murphy,Newcastle United,England,13
2022,57,Darwin Núñez,Liverpool,Uruguay,13
2022,57,Amadou Onana,Everton,Belgium,13
2022,57,Ivan Perisic,Tottenham Hotspur,Croatia,13
2022,57,Marcus Rashford,Manchester United,England,13
2022,57,Dominic Solanke,Bournemouth,England,13
2022,57,Jamie Vardy,-,England,13
2022,69,Daniel Podence,-,Portugal,12
2022,69,Kevin De Bruyne,Manchester City,Belgium,12
2022,69,Jack Grealish,Manchester City,England,12
2022,69,Erling Haaland,Manchester City,Norway,12
2022,69,Brennan Johnson,-,Wales,12
2022,69,Adam Lallana,Brighton & Hove Albion,England,12
2022,69,Roméo Lavia,-,Belgium,12
2022,69,Luis Sinisterra,-,Colombia,12
2022,69,Harry Wilson,Fulham,Wales,12
2022,69,Granit Xhaka,-,Switzerland,12
2022,79,Carlos Alcaraz,-,Argentina,11
2022,79,Trent Alexander-Arnold,Liverpool,England,11
2022,79,Harvey Barnes,Leicester City,England,11
2022,79,Dominic Calvert-Lewin,Everton,England,11
2022,79,Matheus Cunha,-,Brazil,11
2022,79,Séamus Coleman,Everton,Ireland,11
2022,79,Marc Cucurella,Chelsea,Spain,11
2022,79,Patson Daka,-,Zambia,11
2022,79,Richarlison,Tottenham Hotspur,Brazil,11
2022,79,Kiernan Dewsbury-Hall,-,England,11
2022,79,Pervis Estupiñán,Brighton & Hove Albion,Ecuador,11
2022,79,Phil Foden,Manchester City,England,11
2022,79,Cody Gakpo,Liverpool,Netherlands,11
2022,79,Demarai Gray,-,Jamaica,11
2022,79,Rodri,Manchester City,Spain,11
2022,79,Hwang Hee-Chan,Wolverhampton Wanderers,South Korea,11
2022,79,Danny Ings,West Ham United,England,11
2022,79,Vitaly Janelt,Brentford,Germany,11
2022,79,Pedro Neto,Wolverhampton Wanderers,Portugal,11
2022,79,Riyad Mahrez,-,Algeria,11
2022,79,Anthony Martial,Manchester United,France,11
2022,79,Wilfred Ndidi,-,Nigeria,11
2021,1,Saïd Benrahma,West Ham United,Algeria,22
2021,2,Bukayo Saka,Arsenal,England,20
2021,3,Demarai Gray,-,Jamaica,19
2021,3,Mateusz Klich,-,Poland,19
2021,5,Emiliano Buendía,Aston Villa,Argentina,17
2021,5,Diogo Jota,Liverpool,Portugal,17
2021,7,Armando Broja,Southampton,Albania,16
2021,7,Sergi Canós,-,Spain,16
2021,7,Hwang Hee-Chan,Wolverhampton Wanderers,South Korea,16
2021,10,Tom Cleverley,-,England,15
2021,10,Danny Ings,-,England,15
2021,10,Trincão,-,Portugal,15
2021,10,Jacob Ramsey,Aston Villa,England,15
2021,10,Son Heung-Min,Tottenham Hotspur,South Korea,15
2021,10,Joe Willock,Newcastle United,England,15
2021,16,Miguel Almirón,Newcastle United,Paraguay,14
2021,16,Vitaly Janelt,Brentford,Germany,14
2021,16,Alexandre Lacazette,-,France,14
2021,16,James Maddison,-,England,14
2021,16,Milot Rashica,-,Kosovo,14
2021,16,Josh Sargent,-,United States,14
2021,16,Chris Wood,-,New Zealand,14
2021,23,Jordan Ayew,Crystal Palace,Ghana,13
2021,23,Maxwel Cornet,Burnley,Cote D’Ivoire,13
2021,23,Pablo Fornals,West Ham United,Spain,13
2021,23,Ryan Fraser,-,Scotland,13
2021,23,Ademola Lookman,-,Nigeria,13
2021,23,Lucas Moura,-,Brazil,13
2021,23,Oriol Romeu,-,Spain,13
2021,30,Thiago Alcântara,Liverpool,Spain,12
2021,30,Jarrod Bowen,West Ham United,England,12
2021,30,Emmanuel Dennis,-,Nigeria,12
2021,30,Odsonne Édouard,Crystal Palace,France,12
2021,30,Mason Greenwood,-,England,12
2021,30,Jack Harrison,-,England,12
2021,30,Daniel James,-,Wales,12
2021,30,Manuel Lanzini,-,Argentina,12
2021,30,Pierre Lees-Melou,-,France,12
2021,30,Jean-Philippe Mateta,Crystal Palace,France,12
2021,30,Bryan Mbeumo,Brentford,Cameroon,12
2021,30,Martin Ødegaard,Arsenal,Norway,12
2021,42,Harvey Barnes,Leicester City,England,11
2021,42,Daniel Podence,-,Portugal,11
2021,42,Philippe Coutinho,-,Brazil,11
2021,42,Patson Daka,-,Zambia,11
2021,42,Mohamed Elyounoussi,-,Norway,11
2021,42,Anthony Gordon,Everton,England,11
2021,42,Kai Havertz,-,Germany,11
2021,42,Jordan Henderson,-,England,11
2021,42,Mathias Jensen,Brentford,Denmark,11
2021,42,Gabriel Martinelli,Arsenal,Brazil,11
2021,42,Rodrigo,-,Spain,11
2021,42,Frank Onyeka,Brentford,Nigeria,11
2021,42,Allan Saint-Maximin,-,France,11
2021,42,Emile Smith Rowe,Arsenal,England,11
2021,56,Ché Adams,-,Scotland,10
2021,56,Michail Antonio,West Ham United,Jamaica,10
2021,56,Pascal Groß,Brighton & Hove Albion,Germany,10
2021,56,N'Golo Kanté,-,France,10
2021,56,Naby Keïta,-,Guinea,10
2021,56,Dejan Kulusevski,-,Sweden,10
2021,56,Jakub Moder,Brighton & Hove Albion,Poland,10
2021,56,Mathias Normann,-,Norway,10
2021,56,Marcus Rashford,Manchester United,England,10
2021,56,Fred,-,Brazil,10
2021,56,Wout Weghorst,-,Netherlands,10
2021,67,Marcos Alonso,-,Spain,9
2021,67,Bruno Fernandes,Manchester United,Portugal,9
2021,67,Kevin De Bruyne,Manchester City,Belgium,9
2021,67,Anthony Elanga,-,Sweden,9
2021,67,Kiko Femenía,-,Spain,9
2021,67,Phil Foden,Manchester City,England,9
2021,67,Rico Henry,Brentford,England,9
2021,67,Kelechi Iheanacho,-,Nigeria,9
2021,67,Cheikhou Kouyaté,-,Senegal,9
2021,67,Adam Lallana,Brighton & Hove Albion,England,9
2021,67,Tariq Lamptey,Brighton & Hove Albion,Ghana,9
2021,67,Emerson Royal,Tottenham Hotspur,Brazil,9
2021,67,Aaron Lennon,-,England,9
2021,67,Imrân Louza,-,Morocco,9
2021,67,Nemanja Matic,-,Serbia,9
2021,67,Dwight McNeil,Burnley,England,9
2021,67,Alex Oxlade-Chamberlain,-,England,9
2021,67,Sergio Reguilón,Tottenham Hotspur,Spain,9
2021,67,Jadon Sancho,Manchester United,England,9
2021,67,Ryan Sessegnon,Tottenham Hotspur,England,9
2021,67,Douglas Luiz,Aston Villa,Brazil,9
2021,67,Nathan Tella,-,Nigeria,9
2021,67,Leandro Trossard,Brighton & Hove Albion,Belgium,9
2021,90,César Azpilicueta,-,Spain,8
2021,90,Gabriel Jesus,-,Brazil,8
2021,90,Raphinha,-,Brazil,8
2021,90,Kieran Dowell,-,England,8
2021,90,Junior Firpo,-,Spain,8
2021,90,Jorginho,-,Italy,8
2021,90,Jóhann Gudmundsson,Burnley,Iceland,8
2021,90,Callum Hudson-Odoi,-,England,8
2021,90,Will Hughes,Crystal Palace,England,8
2021,90,Raúl Jiménez,-,Mexico,8
2021,90,Scott McTominay,Manchester United,Scotland,8
2020,1,Jarrod Bowen,West Ham United,England,24
2020,1,Bertrand Traoré,Aston Villa,Burkina Faso,24
2020,3,Tanguy Ndombélé,-,France,22
2020,4,Daniel Podence,-,Portugal,19
2020,5,Roberto Firmino,-,Brazil,17
2020,5,Leandro Trossard,Brighton & Hove Albion,Belgium,17
2020,7,Miguel Almirón,Newcastle United,Paraguay,16
2020,8,Pablo Fornals,West Ham United,Spain,15
2020,8,Alexandre Lacazette,-,France,15
2020,8,Callum Robinson,-,Ireland,15
2020,11,Ché Adams,-,Scotland,14
2020,11,Oliver Burke,-,Scotland,14
2020,11,Bobby De Cordova-Reid,Fulham,Jamaica,14
2020,11,Mason Greenwood,-,England,14
2020,11,James Rodríguez,-,Colombia,14
2020,11,Allan Saint-Maximin,-,France,14
2020,11,Hakim Ziyech,-,Morocco,14
2020,18,Joelinton,Newcastle United,Brazil,13
2020,18,Patrick Bamford,-,England,13
2020,18,Karlan Grant,-,England,13
2020,18,Danny Ings,-,England,13
2020,18,Mateusz Klich,-,Poland,13
2020,18,Ruben Loftus-Cheek,-,England,13
2020,18,James Maddison,-,England,13
2020,18,Son Heung-Min,Tottenham Hotspur,South Korea,13
2020,26,Michail Antonio,West Ham United,Jamaica,12
2020,26,Ross Barkley,Chelsea,England,12
2020,26,Saïd Benrahma,West Ham United,Algeria,12
2020,26,Bruno Fernandes,Manchester United,Portugal,12
2020,26,Jóhann Gudmundsson,Burnley,Iceland,12
2020,26,Jack Harrison,-,England,12
2020,26,Alex Iwobi,-,Nigeria,12
2020,26,Ademola Lookman,-,Nigeria,12
2020,26,David McGoldrick,-,Ireland,12
2020,26,Rodrigo,-,Spain,12
2020,26,Ivan Cavaleiro,-,Angola,12
2020,26,Gylfi Sigurdsson,-,Iceland,12
2020,26,Theo Walcott,-,England,12
2020,39,Stuart Armstrong,-,Scotland,11
2020,39,Jordan Ayew,Crystal Palace,Ghana,11
2020,39,Steven Bergwijn,-,Netherlands,11
2020,39,Richarlison,-,Brazil,11
2020,39,Moussa Djenepo,-,Mali,11
2020,39,Anwar El Ghazi,-,Netherlands,11
2020,39,Mateo Kovacic,-,Croatia,11
2020,39,Mario Lemina,Fulham,Gabon,11
2020,39,Giovani Lo Celso,-,Argentina,11
2020,39,Pedro Neto,Wolverhampton Wanderers,Portugal,11
2020,39,Anthony Martial,Manchester United,France,11
2020,39,Neal Maupay,-,France,11
2020,39,Oliver Norwood,Sheffield United,Northern Ireland,11
2020,39,Matt Phillips,-,Scotland,11
2020,39,Marcus Rashford,Manchester United,England,11
2020,39,Tyler Roberts,-,Wales,11
2020,39,Bukayo Saka,Arsenal,England,11
2020,39,Emile Smith Rowe,Arsenal,England,11
2020,39,Timo Werner,-,Germany,11
